,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Arron Afflalo,SG,22,DET,12,84,.389,18.3,,.889,.056,.056,.111,.667,.111,,.438,1.000,.000,.500,.417,.000,,1.000,,,.000,0,,.000,,,0,0,afflaar01
2,Malik Allen,PF,29,DAL,3,18,.000,14.9,,1.000,.000,.000,1.000,.000,.000,,.000,,,.000,,,,,,,.000,0,,,,,0,0,allenma01
3,Ray Allen*,SG,32,BOS,26,987,.428,15.8,,.553,.260,.064,.100,.129,.447,,.453,.580,.350,.258,.400,.396,,.577,.927,,.016,5,,.259,.528,,1,0,allenra02
4,Tony Allen,SG,26,BOS,15,65,.563,4.7,,.938,.688,.125,.125,.000,.063,,.600,.727,.500,.000,,.000,,.667,,,.125,2,,.000,,,0,0,allento01
5,Rafer Alston,PG,31,HOU,4,126,.438,16.9,,.479,.188,.146,.063,.083,.521,,.435,.556,.429,.000,.500,.440,,.100,.727,,.000,0,,.080,.500,,0,0,alstora01
6,Lou Amundson,PF,25,PHI,2,10,.500,0.0,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,.000,,,.250,1,,,,,0,0,amundlo01
7,Carmelo Anthony,SF,23,DEN,4,146,.364,9.3,,.909,.443,.102,.114,.250,.091,,.375,.410,.222,.400,.364,.250,,.467,1.000,,.034,2,,.125,.000,,0,0,anthoca01
8,Gilbert Arenas,PG,26,WAS,4,94,.389,15.2,,.667,.222,.139,.083,.222,.333,,.375,.625,.200,.333,.250,.417,,.333,.400,,.000,0,,.083,.000,,0,0,arenagi01
9,Trevor Ariza,SF,22,LAL,8,45,.583,13.3,,.667,.417,.000,.000,.250,.333,,.750,.800,,,.667,.250,,.667,1.000,,.167,2,,.750,.333,,0,0,arizatr01
10,Hilton Armstrong,C,23,NOH,8,72,.615,4.9,,1.000,.462,.385,.000,.154,.000,,.615,.833,.400,,.500,,,.250,,,.077,1,,,,,0,0,armsthi01
11,Carlos Arroyo,PG,28,ORL,4,30,.500,10.9,,.750,.500,.000,.000,.250,.250,,.667,.500,,,1.000,.000,,.500,,,.000,0,,.000,,,0,0,arroyca01
12,Chucky Atkins,SG,33,DEN,1,3,.000,25.2,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,atkinch01
13,James Augustine,PF,23,ORL,1,2,1.000,9.2,,1.000,.000,1.000,.000,.000,.000,,1.000,,1.000,,,,,.000,,,.000,0,,,,,0,0,augusja01
14,Leandro Barbosa,SG,25,PHO,5,143,.345,12.3,,.673,.345,.127,.091,.109,.327,,.405,.368,.429,.800,.167,.222,,.200,.750,,.000,0,,.500,.000,,0,0,barbole01
15,J.J. Barea,PG,23,DAL,1,5,.750,18.9,,.500,.000,.250,.000,.250,.500,,.500,,.000,,1.000,1.000,,.000,.000,,.000,0,,.000,,,0,0,bareajo01
16,Andrea Bargnani,PF,22,TOR,5,104,.333,18.0,,.590,.154,.026,.077,.333,.410,,.391,.500,.000,.333,.385,.250,,.778,.750,,.077,2,,.063,.000,,0,0,bargnan01
17,Brent Barry,SF,36,SAS,16,227,.491,21.0,,.226,.094,.075,.000,.057,.774,,.583,.800,.250,,.667,.463,,1.000,.947,,.019,1,,.171,.571,,0,0,barrybr01
