,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
31,Devin Brown,SG,31,CHI,1,2,1.000,0.0,,1.000,1.000,.000,.000,.000,.000,,1.000,1.000,,,,,,1.000,,,.000,0,,,,,0,0,brownde02
32,Shannon Brown,SG,24,LAL,23,324,.393,15.2,,.701,.280,.084,.065,.271,.299,,.440,.567,.333,.286,.379,.281,,.636,1.000,,.056,6,,.281,.333,,2,0,brownsh01
33,Kobe Bryant*,SG,31,LAL,23,923,.458,15.1,,.744,.160,.143,.198,.243,.256,,.487,.549,.521,.475,.435,.374,,.270,.612,,.014,7,,.084,.364,,2,0,bryanko01
34,Caron Butler,SG,29,DAL,6,202,.434,14.1,,.768,.222,.131,.091,.323,.232,,.474,.682,.231,.333,.469,.304,,.556,.571,,.051,4,,.522,.333,,1,0,butleca01
35,Andrew Bynum,C,22,LAL,23,561,.537,2.6,,1.000,.651,.295,.054,.000,.000,,.537,.608,.455,.125,,,,.675,,,.228,33,,,,,0,0,bynuman01
36,Marcus Camby,C,35,POR,6,178,.421,10.0,,.974,.474,.079,.079,.342,.026,,.432,.500,.333,.000,.462,.000,,.563,,,.079,2,,.000,,,1,0,cambyma01
37,Matt Carroll,SG,29,DAL,1,5,1.000,19.3,,1.000,.000,.000,.000,1.000,.000,,1.000,,,,1.000,,,1.000,,,.000,0,,,,,0,0,carroma01
38,Anthony Carter,PG,34,DEN,1,7,.000,21.7,,1.000,.000,.000,.000,1.000,.000,,.000,,,,.000,,,,,,.000,0,,,,,0,0,cartean01
39,Vince Carter,SG,33,ORL,14,480,.402,14.1,,.723,.239,.109,.185,.190,.277,,.466,.545,.600,.324,.429,.235,,.194,.917,,.022,4,,.196,.300,,1,0,cartevi01
40,Mario Chalmers,PG,23,MIA,5,131,.450,18.6,,.500,.175,.100,.075,.150,.500,,.550,.429,.750,.667,.500,.350,,.364,1.000,,.000,0,,.200,.250,,1,0,chalmma01
41,Tyson Chandler,C,27,CHA,4,60,.545,3.1,,1.000,.727,.182,.000,.091,.000,,.545,.750,.000,,.000,,,.833,,,.273,3,,,,,0,0,chandty01
42,Earl Clark,PF,22,PHO,3,13,.333,9.8,,1.000,.333,.000,.333,.333,.000,,.333,1.000,,.000,.000,,,1.000,,,.333,1,,,,,0,0,clarkea01
43,Jarron Collins,C,31,PHO,11,115,.333,9.0,,1.000,.333,.200,.333,.133,.000,,.333,.400,.333,.200,.500,,,1.000,,,.000,0,,,,,0,0,collija03
44,Jason Collins,C,31,ATL,3,10,.600,6.2,,1.000,.600,.000,.200,.200,.000,,.600,.667,,1.000,.000,,,.667,,,.000,0,,,,,0,0,collija04
45,Nick Collison,C,29,OKC,6,129,.333,5.1,,.958,.708,.042,.042,.167,.042,,.348,.412,.000,.000,.250,.000,,.625,,,.083,2,,.000,,,0,0,collini01
46,Jamal Crawford,SG,29,ATL,11,351,.364,15.8,,.675,.195,.071,.117,.292,.325,,.365,.433,.636,.278,.289,.360,,.316,.833,,.006,0,,.360,.333,,0,0,crawfja01
47,Dante Cunningham,PF,22,POR,5,42,.600,11.8,,.933,.333,.067,.133,.400,.067,,.643,.800,1.000,.500,.500,.000,,.667,,,.067,1,,.000,,,0,0,cunnida01
