,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Jaylen Adams,PG,23,POR,3,21,.333,13.1,,.556,.333,.222,.000,.000,.444,,.600,1.000,.000,,,.000,,.333,,,.000,0,,.000,,,0,0,adamsja01
2,Steven Adams,C,26,OKC,7,210,.596,2.9,,.981,.731,.250,.000,.000,.019,,.608,.711,.308,,,.000,,.452,,,.135,6,,1.000,.000,,0,0,adamsst01
3,Bam Adebayo,PF,22,MIA,19,687,.564,6.6,,.995,.427,.305,.182,.082,.005,,.566,.691,.507,.425,.444,.000,,.742,,,.218,44,,.000,,,0,0,adebaba01
4,Jarrett Allen,C,21,BRK,4,132,.583,4.4,,1.000,.625,.167,.167,.042,.000,,.583,.600,.250,.750,1.000,,,1.000,,,.417,7,,,,,0,0,allenja01
5,Justin Anderson,SG,26,BRK,3,28,.417,23.5,,.083,.083,.000,.000,.000,.917,,.000,.000,,,,.455,,,.800,,.000,0,,.455,.400,,0,0,anderju01
6,Giannis Antetokounmpo,PF,25,MIL,9,277,.559,9.3,,.752,.503,.180,.037,.031,.248,,.636,.716,.483,.333,.600,.325,,.442,.538,,.211,33,,.025,1.000,,0,0,antetgi01
7,Carmelo Anthony,PF,35,POR,5,176,.412,16.7,,.721,.103,.074,.221,.324,.279,,.408,.571,.400,.333,.409,.421,,.300,.875,,.029,2,,.368,.571,,0,0,anthoca01
8,OG Anunoby,SF,22,TOR,11,393,.455,12.9,,.534,.420,.080,.023,.011,.466,,.489,.459,.429,1.000,1.000,.415,,.565,.941,,.125,10,,.585,.375,,0,0,anunoog01
9,D.J. Augustin,PG,32,ORL,5,128,.391,15.3,,.630,.217,.109,.174,.130,.370,,.345,.500,.000,.375,.333,.471,,.400,.375,,.000,0,,.118,1.000,,0,0,augusdj01
10,J.J. Barea,PG,35,DAL,1,5,.000,13.2,,1.000,.000,.000,1.000,.000,.000,,.000,,,.000,,,,,,,.000,0,,,,,0,0,bareajo01
11,Keita Bates-Diop,SF,24,DEN,5,24,.200,3.2,,1.000,.800,.000,.200,.000,.000,,.200,.250,,.000,,,,.000,,,.000,0,,,,,0,0,bateske01
12,Darius Bazley,PF,19,OKC,7,126,.419,19.6,,.290,.161,.097,.000,.032,.710,,.222,.400,.000,,.000,.500,,.500,1.000,,.032,1,,.182,.500,,0,0,bazleda01
13,Patrick Beverley,PG,31,LAC,8,166,.513,16.6,,.436,.231,.128,.077,.000,.564,,.706,.889,.600,.333,,.364,,.667,1.000,,.000,0,,.364,.500,,1,0,beverpa01
14,Khem Birch,C,27,ORL,5,89,.500,5.3,,1.000,.429,.286,.286,.000,.000,,.500,.667,.250,.500,,,,.571,,,.071,1,,,,,0,0,birchkh01
15,Eric Bledsoe,PG,30,MIL,9,267,.388,13.6,,.673,.204,.235,.112,.122,.327,,.455,.600,.435,.364,.333,.250,,.300,.500,,.000,0,,.063,.500,,0,0,bledser01
16,Bol Bol,PF,20,DEN,4,21,.556,17.1,,.667,.111,.111,.333,.111,.333,,.500,1.000,.000,.667,.000,.667,,.667,.500,,.111,1,,.000,,,0,0,bolbo01
17,Chris Boucher,C,27,TOR,7,43,.273,13.4,,.545,.455,.000,.091,.000,.455,,.167,.000,,1.000,,.400,,1.000,1.000,,.000,0,,.000,,,0,0,bouchch01
18,Tony Bradley,C,22,UTA,6,48,.222,2.6,,1.000,.667,.333,.000,.000,.000,,.222,.167,.333,,,,,1.000,,,.222,1,,,,,0,0,bradlto01
19,Jarrell Brantley,PF,23,UTA,2,13,.000,16.0,,.400,.400,.000,.000,.000,.600,,.000,.000,,,,.000,,,,,.000,0,,.000,,,0,0,brantja01
20,Malcolm Brogdon,PG,27,IND,4,160,.400,14.5,,.631,.338,.108,.046,.138,.369,,.415,.455,.286,.667,.333,.375,,.118,.444,,.015,1,,.042,.000,,0,0,brogdma01
