,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Álex Abrines,SG,23,OKC,5,80,.348,20.2,,.261,.217,.000,.000,.043,.739,,.500,.400,,,1.000,.294,,.667,1.000,,.043,0,,.176,.667,,1,0,abrinal01
2,Steven Adams,C,23,OKC,5,157,.643,3.7,,1.000,.500,.393,.107,.000,.000,,.643,.786,.545,.333,,,,.611,,,.179,5,,,,,0,0,adamsst01
3,LaMarcus Aldridge,PF,31,SAS,16,537,.458,10.7,,.942,.267,.196,.238,.238,.058,,.478,.719,.489,.368,.316,.143,,.537,1.000,,.063,12,,.500,.000,,0,0,aldrila01
4,Lavoy Allen,PF,27,IND,3,11,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,allenla01
5,Al-Farouq Aminu,PF,26,POR,4,113,.459,14.8,,.541,.297,.108,.054,.081,.459,,.500,.636,.000,.000,1.000,.412,,.600,1.000,,.108,3,,.176,1.000,,0,0,aminual01
6,Kyle Anderson,SF,23,SAS,15,195,.563,9.0,,.844,.391,.234,.125,.063,.156,,.611,.760,.600,.625,.000,.300,,.485,.667,,.109,7,,.700,.286,,0,0,anderky01
7,Ryan Anderson,PF,28,HOU,11,336,.391,19.0,,.348,.217,.022,.065,.043,.652,,.594,.600,.500,.833,.250,.283,,.421,.941,,.022,2,,.183,.364,,0,0,anderry01
8,Giannis Antetokounmpo,SF,22,MIL,6,243,.536,7.5,,.911,.554,.161,.045,.161,.089,,.549,.629,.389,.400,.444,.400,,.464,.750,,.152,16,,.100,1.000,,0,0,antetgi01
9,Joel Anthony,C,34,SAS,3,15,.750,2.2,,1.000,.750,.250,.000,.000,.000,,.750,1.000,.000,,,,,1.000,,,.500,2,,,,,0,0,anthojo01
10,Trevor Ariza,SF,31,HOU,11,413,.423,16.2,,.371,.309,.062,.000,.000,.629,,.500,.567,.167,,,.377,,.722,.913,,.041,4,,.262,.188,,0,0,arizatr01
11,Wade Baldwin,PG,20,MEM,3,12,.000,2.1,,1.000,1.000,.000,.000,.000,.000,,.000,.000,,,,,,,,,.000,0,,,,,0,0,baldwwa01
12,Matt Barnes,SF,36,GSW,12,61,.267,17.4,,.467,.267,.067,.000,.133,.533,,.429,.500,1.000,,.000,.125,,1.000,1.000,,.000,0,,.500,.000,,0,0,barnema02
13,Brandon Bass,PF,31,LAC,1,4,.333,4.5,,1.000,.667,.000,.333,.000,.000,,.333,.500,,.000,,,,.000,,,.000,0,,,,,0,0,bassbr01
14,Kent Bazemore,SF,27,ATL,6,150,.396,15.4,,.547,.264,.151,.038,.094,.453,,.483,.571,.250,.500,.600,.292,,.571,.571,,.019,0,,.250,.500,,0,0,bazemke01
15,Bradley Beal,SG,23,WAS,13,505,.471,15.7,,.610,.212,.112,.131,.154,.390,,.589,.600,.586,.676,.500,.287,,.516,.690,,.008,2,,.129,.231,,0,0,bealbr01
16,Michael Beasley,PF,28,MIL,4,48,.350,11.7,,.750,.200,.300,.150,.100,.250,,.267,.250,.167,.333,.500,.600,,.750,1.000,,.000,0,,.400,.500,,0,0,beaslmi01
17,Dāvis Bertāns,PF,24,SAS,13,112,.444,19.9,,.259,.185,.000,.037,.037,.741,,.571,.800,,.000,.000,.400,,.750,1.000,,.037,1,,.250,.400,,0,0,bertada01
18,Patrick Beverley,SG,28,HOU,11,325,.413,14.6,,.523,.193,.266,.037,.028,.477,,.421,.524,.310,.750,.333,.404,,.208,.952,,.009,1,,.423,.500,,0,0,beverpa01
19,Bojan Bogdanović,SF,27,WAS,13,264,.414,17.1,,.483,.230,.069,.080,.103,.517,,.476,.650,.167,.571,.222,.356,,.750,.875,,.023,2,,.244,.182,,1,0,bogdabo02
20,Joel Bolomboy,PF,23,UTA,2,9,.667,1.0,,1.000,1.000,.000,.000,.000,.000,,.667,.667,,,,,,.500,,,.667,1,,,,,0,0,bolomjo01
21,Avery Bradley,SG,26,BOS,18,645,.441,15.6,,.581,.301,.051,.048,.180,.419,,.506,.610,.429,.385,.388,.351,,.738,.950,,.051,11,,.254,.310,,1,0,bradlav01
22,Malcolm Brogdon,SG,24,MIL,6,183,.400,13.7,,.618,.291,.164,.036,.127,.382,,.353,.500,.222,.000,.286,.476,,.417,.900,,.018,1,,.333,.714,,0,0,brogdma01
