,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Arron Afflalo,SG,25,DEN,3,85,.353,14.2,,.647,.265,.118,.147,.118,.353,,.409,.444,.250,.200,.750,.250,,.333,1.000,,.000,0,,.250,.333,,0,0,afflaar01
2,LaMarcus Aldridge,PF,25,POR,6,258,.461,10.0,,1.000,.243,.261,.226,.270,.000,,.461,.714,.333,.462,.355,,,.604,,,.087,10,,,,,0,0,aldrila01
3,Malik Allen,PF,32,ORL,1,7,.000,14.9,,1.000,.000,.000,1.000,.000,.000,,.000,,,.000,,,,,,,.000,0,,,,,0,0,allenma01
4,Ray Allen*,SG,35,BOS,9,361,.523,17.8,,.486,.165,.046,.064,.211,.514,,.472,.611,.200,.714,.348,.571,,.560,.844,,.018,2,,.286,.688,,0,0,allenra02
5,Tony Allen,SG,29,MEM,13,350,.426,7.3,,.931,.505,.188,.089,.149,.069,,.447,.588,.211,.111,.467,.143,,.571,1.000,,.079,8,,.857,.167,,0,0,allento01
6,Chris Andersen,C,32,DEN,5,73,.636,9.1,,1.000,.545,.000,.091,.364,.000,,.636,.667,,.000,.750,,,.714,,,.364,3,,,,,0,0,anderch01
7,Ryan Anderson,PF,22,ORL,6,147,.267,17.5,,.333,.300,.033,.000,.000,.667,,.200,.222,.000,,,.300,,.000,.833,,.000,0,,.100,.000,,0,0,anderry01
8,Carmelo Anthony,SF,26,NYK,4,156,.375,13.1,,.705,.352,.045,.136,.170,.295,,.387,.484,.000,.250,.400,.346,,.292,.667,,.034,3,,.154,.250,,0,0,anthoca01
9,Joel Anthony,C,28,MIA,21,575,.367,3.4,,1.000,.531,.449,.020,.000,.000,,.367,.538,.182,.000,,,,.667,,,.102,4,,,,,0,0,anthojo01
10,Gilbert Arenas,PG,29,ORL,5,81,.429,13.2,,.714,.333,.143,.048,.190,.286,,.500,.714,.333,.500,.250,.250,,.000,.333,,.000,0,,.083,.000,,0,0,arenagi01
11,Trevor Ariza,SF,25,NOH,6,241,.412,12.4,,.753,.235,.247,.071,.200,.247,,.438,.550,.429,.167,.412,.333,,.500,1.000,,.035,3,,.333,.571,,0,0,arizatr01
12,Hilton Armstrong,C,26,ATL,8,35,.200,1.7,,1.000,.800,.200,.000,.000,.000,,.200,.250,.000,,,,,.000,,,.200,1,,,,,0,0,armsthi01
13,Darrell Arthur,PF,22,MEM,13,201,.459,9.1,,.988,.329,.212,.212,.235,.012,,.452,.500,.389,.611,.300,1.000,,.711,1.000,,.106,6,,.000,,,0,0,arthuda01
14,Ömer Aşık,C,24,CHI,15,148,.462,1.9,,1.000,.846,.154,.000,.000,.000,,.462,.545,.000,,,,,1.000,,,.385,5,,,,,0,0,asikom01
15,J.J. Barea,PG,26,DAL,21,390,.419,12.0,,.709,.320,.262,.064,.064,.291,,.459,.582,.378,.455,.182,.320,,.018,.375,,.000,0,,.100,.600,,2,0,bareajo01
