,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Álex Abrines,SG,24,OKC,75,1134,2%,88%,11%,,,0.1,-4.4,14,7,68,1,15,3,66,4,9,abrinal01
2,Quincy Acy,PF,27,BRK,70,1359,,,,58%,42%,-2.7,1.8,21,13,67,15,23,9,145,1,13,acyqu01
3,Steven Adams,C,24,OKC,76,2487,,,,,100%,5.8,6.8,26,34,76,41,112,4,213,32,47,adamsst01
4,Bam Adebayo,C,20,MIA,69,1368,,,,4%,96%,0.5,-0.7,16,24,67,18,81,10,260,19,29,adebaba01
5,Arron Afflalo,SG,32,ORL,53,682,5%,77%,18%,,,-6.4,-1.7,10,3,31,4,11,2,76,0,8,afflaar01
6,Cole Aldrich,C,29,MIN,21,49,,,,,100%,-2.0,-4.6,0,0,2,1,2,0,7,0,1,aldrico01
7,LaMarcus Aldridge,C,32,SAS,75,2509,,,,38%,62%,5.5,6.7,34,35,96,18,185,3,373,53,44,aldrila01
8,Jarrett Allen,C,19,BRK,72,1441,,,,2%,98%,-4.1,-0.2,28,22,95,23,71,1,122,11,39,allenja01
9,Kadeem Allen,PG,25,BOS,18,107,69%,31%,,,,-5.6,-9.5,5,1,7,3,3,1,27,1,1,allenka01
10,Tony Allen,SF,36,NOP,22,273,,18%,73%,9%,,3.0,1.3,10,2,22,4,11,3,20,1,11,allento01
11,Al-Farouq Aminu,PF,27,POR,69,2072,,,3%,96%,1%,5.2,4.9,34,21,62,8,33,8,197,5,16,aminual01
12,Justin Anderson,SF,24,PHI,38,519,,16%,65%,19%,,-6.3,-12.7,9,1,26,2,18,1,58,4,13,anderju01
13,Kyle Anderson,SF,24,SAS,74,1978,,,63%,37%,,4.3,2.7,58,15,44,3,66,10,481,16,31,anderky01
14,Ryan Anderson,PF,29,HOU,66,1725,,,,76%,24%,6.4,-3.9,11,14,54,9,43,2,155,6,13,anderry01
15,Ike Anigbogu,C,19,IND,11,30,,,,,100%,-24.7,-26.5,1,1,0,0,3,0,0,0,2,anigbik01
16,Giannis Antetokounmpo,PF,23,MIL,75,2756,,,,93%,7%,2.8,9.4,79,67,83,39,316,3,890,78,85,antetgi01
17,Carmelo Anthony,PF,33,OKC,78,2501,,,,90%,10%,5.0,4.8,32,21,89,20,81,8,262,13,54,anthoca01
18,OG Anunoby,SF,20,TOR,74,1481,,,76%,24%,,10.7,4.4,19,13,64,4,34,4,135,10,23,anunoog01
19,Ryan Arcidiacono,PG,23,CHI,24,304,97%,3%,,,,-5.1,2.7,9,4,6,0,1,2,85,0,0,arcidry01
20,Trevor Ariza,SF,32,HOU,67,2269,,14%,81%,5%,,8.3,-0.7,22,17,34,7,36,9,269,13,21,arizatr01
21,Darrell Arthur,PF,29,DEN,19,141,,,,20%,80%,-11.3,-13.0,5,3,14,3,2,0,22,1,2,arthuda01
22,Jamel Artis,SG,25,ORL,15,279,,48%,46%,6%,,-2.3,2.9,3,4,6,1,5,1,47,2,3,artisja01
