,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Precious Achiuwa,PF-C,24,TOT,59,1360,,,,48%,52%,1.9,0.6,27,19,69,11,46,4,195,9,31,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,,,,3%,97%,-5.2,-1.2,12,8,23,5,18,1,105,2,13,achiupr01
1,Precious Achiuwa,PF,24,NYK,34,923,,,,70%,31%,5.2,1.4,15,11,46,6,28,3,90,7,18,achiupr01
2,Bam Adebayo,C,26,MIA,56,1933,,,,,100%,-0.3,-2.6,45,35,69,28,159,6,543,32,42,adebaba01
3,Ochai Agbaji,SG,23,TOT,66,1296,,19%,75%,6%,,-5.8,-3.4,19,10,50,11,20,2,149,8,32,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,1003,,12%,81%,6%,,-5.3,-3.3,14,8,37,6,12,2,119,5,21,agbajoc01
3,Ochai Agbaji,SG,23,TOR,15,293,2%,41%,52%,6%,,-7.5,-3.7,5,2,13,5,8,0,30,3,11,agbajoc01
4,Santi Aldama,PF,23,MEM,54,1391,,,6%,82%,13%,-8.0,-2.1,34,15,45,5,35,3,294,14,24,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,66,1544,51%,47%,2%,,,7.1,1.1,42,12,68,4,20,24,413,3,20,alexani01
6,Grayson Allen,SG,28,PHO,61,2054,29%,68%,3%,,,3.7,3.1,50,14,62,6,50,17,437,12,21,allengr01
7,Jarrett Allen,C,25,CLE,61,1934,,,,1%,100%,7.0,6.0,53,23,72,19,108,15,389,20,59,allenja01
8,Jose Alvarado,PG,25,NOP,45,774,98%,2%,,,,12.4,9.5,20,9,19,1,16,11,203,1,15,alvarjo01
9,Kyle Anderson,PF,30,MIN,63,1411,,,67%,32%,1%,4.4,-3.9,51,18,42,3,52,5,612,8,16,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,64,2240,,,,58%,42%,6.6,10.7,67,62,70,41,338,7,1075,88,80,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,28,133,,,10%,39%,51%,-10.8,-14.7,4,4,11,1,1,1,36,0,3,antetth01
12,Cole Anthony,PG,23,ORL,66,1512,100%,,,,,0.3,-1.8,57,34,78,7,82,11,482,14,25,anthoco01
13,OG Anunoby,SF,26,TOT,43,1465,,1%,73%,24%,1%,11.1,15.3,28,17,47,13,45,4,227,14,35,anunoog01
13,OG Anunoby,SF,26,TOR,27,900,,2%,80%,16%,2%,2.0,8.5,17,11,26,10,24,4,169,9,20,anunoog01
13,OG Anunoby,SF,26,NYK,16,565,,,62%,38%,,25.6,26.1,11,6,21,3,21,0,58,5,15,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,45,,65%,36%,,,7.6,3.4,2,0,3,0,0,2,11,0,0,arcidry01
15,Deni Avdija,SF,23,WAS,63,1830,,,51%,44%,4%,-7.6,4.9,72,33,80,14,112,10,537,36,54,avdijde01
16,Deandre Ayton,C,25,POR,44,1416,,,,,100%,-7.1,2.2,22,34,63,13,31,2,177,5,33,aytonde01
17,Udoka Azubuike,C,24,PHO,14,107,,,,,100%,-14.5,-17.7,0,2,12,2,5,1,6,1,3,azubuud01
18,Ibou Badji,C,21,POR,18,203,,,,,100%,-19.6,-12.1,1,7,27,4,4,0,28,0,3,badjiib01
19,Marvin Bagley III,C,24,TOT,44,932,,,,1%,99%,-7.9,1.0,15,11,41,18,60,8,126,14,33,baglema01
19,Marvin Bagley III,C,24,DET,26,478,,,,1%,99%,-7.9,0.0,10,5,22,10,30,6,65,6,14,baglema01
19,Marvin Bagley III,C,24,WAS,18,454,,,,,100%,-7.8,2.1,5,6,19,8,30,2,61,8,19,baglema01
20,Amari Bailey,PG,19,CHO,4,16,100%,,,,,9.1,19.4,1,0,0,0,0,0,2,0,0,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,23,187,,,5%,41%,54%,7.4,18.1,3,3,14,2,8,1,23,3,3,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,711,69%,29%,1%,,,-9.2,1.3,37,22,26,11,40,5,396,7,14,ballla01
23,Mo Bamba,C,25,PHI,44,517,,,,,100%,-3.7,-7.2,8,4,36,16,16,1,79,4,12,bambamo01
24,Paolo Banchero,PF,21,ORL,65,2270,,,,95%,5%,-0.7,-7.0,96,69,74,20,222,0,845,43,79,banchpa01
25,Desmond Bane,SG,25,MEM,37,1277,10%,48%,38%,3%,,-6.7,0.1,42,25,50,18,53,10,487,11,50,banede01
26,Dalano Banton,PG,24,TOT,39,532,50%,48%,3%,,,-6.3,-4.6,18,9,28,6,35,1,140,9,13,bantoda01
26,Dalano Banton,PG,24,BOS,24,171,38%,54%,8%,,,4.5,-6.9,6,1,11,3,10,1,46,2,3,bantoda01
26,Dalano Banton,PG,24,POR,15,361,55%,45%,,,,-11.4,-3.5,12,8,17,3,25,0,94,7,10,bantoda01
27,Dominick Barlow,PF,20,SAS,29,374,,,2%,21%,77%,-5.4,2.4,4,0,29,3,17,2,75,2,5,barlodo01
28,Harrison Barnes,PF,31,SAC,65,1906,,,11%,89%,1%,-2.8,-8.9,19,14,51,5,62,11,180,14,19,barneha02
29,Scottie Barnes,SG,22,TOR,60,2094,,31%,33%,33%,2%,-3.1,2.8,104,31,40,16,111,16,865,30,48,barnesc01
30,RJ Barrett,SG,23,TOT,53,1675,,10%,74%,16%,,-2.7,-3.3,51,30,62,11,133,8,419,23,79,barrerj01
30,RJ Barrett,SG,23,NYK,26,766,,3%,96%,1%,,-0.3,-6.1,20,14,26,4,64,3,154,8,41,barrerj01
30,RJ Barrett,SG,23,TOR,27,909,,15%,56%,29%,,-4.8,-0.9,31,16,36,7,69,5,265,15,38,barrerj01
31,Charles Bassey,C,23,SAS,19,205,,,,37%,63%,-10.5,-3.2,10,2,20,2,3,0,52,2,1,bassech01
32,Emoni Bates,SF,20,CLE,11,88,,22%,77%,2%,,-34.5,-40.2,1,1,4,0,2,2,17,0,2,batesem01
33,Keita Bates-Diop,SF,28,TOT,50,654,,9%,48%,43%,1%,-4.8,-8.2,4,7,22,1,20,0,90,8,16,bateske01
33,Keita Bates-Diop,SF,28,PHO,39,597,,3%,50%,47%,1%,-3.4,-7.3,4,6,22,0,18,0,83,8,15,bateske01
33,Keita Bates-Diop,SF,28,BRK,11,57,,71%,26%,3%,,-19.8,-17.9,0,1,0,1,2,0,7,0,1,bateske01
34,Nicolas Batum,PF,35,TOT,45,1094,,,,88%,12%,5.2,4.2,21,3,35,1,7,2,215,1,1,batumni01
34,Nicolas Batum,PF,35,LAC,3,54,,,,68%,32%,-1.9,-6.6,1,0,0,0,0,0,13,0,0,batumni01
34,Nicolas Batum,PF,35,PHI,42,1040,,,,89%,11%,5.5,4.8,20,3,35,1,7,2,202,1,1,batumni01
35,Darius Bazley,PF,23,PHI,3,10,,,,66%,34%,-5.9,-8.2,1,0,0,0,0,0,5,0,1,bazleda01
36,Bradley Beal,SG,30,PHO,38,1248,2%,38%,56%,4%,,2.1,-0.9,47,25,54,11,53,10,432,10,26,bealbr01
37,Malik Beasley,SG,27,MIL,64,1900,6%,90%,4%,,,8.8,13.4,22,16,60,1,10,6,224,3,24,beaslma01
