,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Quincy Acy,PF,24,NYK,68,1287,,,13%,81%,7%,-8.4,2.7,25,22,78,9,41,7,158,10,10,acyqu01
2,Jordan Adams,SG,20,MEM,30,248,39%,61%,,,,3.5,0.1,4,5,13,2,9,2,33,2,8,adamsjo01
3,Steven Adams,C,21,OKC,70,1771,,,,,100%,0.9,-2.0,25,30,86,30,84,2,156,22,27,adamsst01
4,Jeff Adrien,PF,28,MIN,17,215,,,,74%,26%,-4.0,5.9,2,1,16,4,16,2,31,4,9,adrieje01
5,Arron Afflalo,SG,29,TOT,78,2502,,85%,15%,,,-0.7,1.2,44,35,73,18,67,8,303,17,63,afflaar01
5,Arron Afflalo,SG,29,DEN,53,1750,,91%,9%,,,-2.8,1.7,32,23,46,12,51,6,232,14,47,afflaar01
5,Arron Afflalo,SG,29,POR,25,752,,72%,28%,,,4.2,-0.1,12,12,27,6,16,2,71,3,16,afflaar01
6,Alexis Ajinça,C,26,NOP,68,957,,,,,100%,-0.1,-1.9,13,29,76,15,44,0,100,7,17,ajincal01
7,Furkan Aldemir,PF,23,PHI,41,540,,,,37%,63%,-9.7,-0.2,5,7,60,4,12,5,69,1,10,aldemfu01
8,Cole Aldrich,C,26,NYK,61,976,,,,52%,48%,-15.7,-7.3,33,9,74,10,30,4,164,8,15,aldrico01
9,LaMarcus Aldridge,PF,29,POR,71,2512,,,,91%,9%,5.9,4.6,33,55,70,20,165,3,308,36,37,aldrila01
10,Lavoy Allen,C,25,IND,63,1070,,,,32%,68%,4.5,6.1,18,9,60,8,17,2,169,3,10,allenla01
11,Tony Allen,SG,33,MEM,63,1648,7%,92%,1%,,,10.0,11.4,34,33,61,10,56,7,186,14,52,allento01
12,Al-Farouq Aminu,SF,24,DAL,74,1366,,1%,79%,20%,,6.2,4.9,15,17,71,9,53,5,143,12,22,aminual01
13,Lou Amundson,PF,32,TOT,53,937,,,,85%,15%,-7.3,2.6,25,15,68,16,41,5,151,7,27,amundlo01
13,Lou Amundson,PF,32,CLE,12,79,,,,93%,7%,-15.9,-20.9,0,2,7,1,3,0,11,1,2,amundlo01
13,Lou Amundson,PF,32,NYK,41,858,,,,84%,16%,-6.5,4.8,25,13,61,15,38,5,140,6,25,amundlo01
14,Chris Andersen,C,36,MIA,60,1132,,,,35%,65%,-0.2,3.5,18,12,58,4,47,8,89,6,21,anderch01
15,Alan Anderson,SG,32,BRK,74,1744,,75%,25%,,,-1.6,2.8,31,15,64,5,38,19,193,8,29,anderal01
16,Kyle Anderson,SF,21,SAS,33,358,3%,17%,69%,12%,,-5.2,-12.9,5,2,13,1,8,1,63,4,6,anderky01
17,Ryan Anderson,PF,26,NOP,61,1675,,,4%,95%,2%,-1.2,-4.5,18,22,57,10,75,6,129,18,29,anderry01
18,Giannis Antetokounmpo,SG,20,MIL,81,2541,,32%,47%,21%,,0.4,-1.0,49,42,93,49,155,9,487,37,65,antetgi01
19,Carmelo Anthony,SF,30,NYK,40,1428,,,79%,21%,,-4.1,9.4,36,20,26,19,99,3,284,24,36,anthoca01
20,Joel Anthony,C,32,DET,49,406,,,,2%,98%,2.2,4.0,3,2,35,7,13,0,13,4,4,anthojo01
21,Pero Antić,C,32,ATL,63,1037,,,,,100%,6.8,1.3,24,11,67,10,38,6,120,10,16,anticpe01
22,Trevor Ariza,SF,29,HOU,82,2930,,1%,85%,14%,,3.9,1.2,78,30,68,17,64,8,510,11,34,arizatr01
23,Darrell Arthur,PF,26,DEN,58,988,,,4%,78%,18%,-0.8,4.1,23,10,85,12,21,8,133,1,10,arthuda01
24,Ömer Aşık,C,28,NOP,76,1982,,,,4%,96%,1.6,0.5,21,30,63,18,108,10,172,19,89,asikom01
25,D.J. Augustin,PG,27,TOT,82,1964,100%,,,,,-2.4,-3.1,82,41,34,9,73,16,827,13,50,augusdj01
25,D.J. Augustin,PG,27,DET,54,1287,100%,,,,,-3.8,-3.5,64,32,22,6,60,12,618,12,38,augusdj01
25,D.J. Augustin,PG,27,OKC,28,677,100%,,,,,0.2,-2.3,18,9,12,3,13,4,209,1,12,augusdj01
26,Jeff Ayres,PF,27,SAS,51,383,,,5%,45%,50%,-6.6,-14.5,12,5,35,8,18,1,31,6,3,pendeje02
27,Luke Babbitt,SF,25,NOP,63,830,,1%,83%,16%,,-5.9,-9.2,12,10,43,2,6,1,56,1,11,babbilu01
28,Cameron Bairstow,PF,24,CHI,18,64,,,8%,92%,,-10.9,-14.5,0,0,6,0,3,0,2,1,2,bairsca01
29,Leandro Barbosa,SG,32,GSW,66,982,15%,83%,2%,,,1.1,-12.9,22,15,39,3,30,6,232,4,16,barbole01
30,J.J. Barea,PG,30,DAL,77,1362,100%,,,,,4.8,2.7,45,16,39,4,36,25,593,6,33,bareajo01
31,Andrea Bargnani,C,29,NYK,29,785,,,,,100%,-18.1,-9.8,17,16,23,7,47,2,99,9,7,bargnan01
32,Harrison Barnes,SF,22,GSW,82,2318,,,61%,39%,,11.9,2.7,27,29,82,9,74,8,276,13,32,barneha02
33,Matt Barnes,SF,34,LAC,76,2271,,,94%,6%,,12.5,12.3,53,18,120,10,49,15,263,7,27,barnema02
34,Earl Barron,C,33,PHO,16,143,,,,,100%,-19.2,-18.8,2,2,13,1,6,2,12,0,2,barroea01
35,Will Barton,SG,24,TOT,58,983,,41%,57%,2%,,-1.2,0.3,29,24,30,3,44,5,187,9,32,bartowi01
35,Will Barton,SG,24,POR,30,300,1%,70%,28%,,,0.7,-3.8,7,6,5,2,9,2,62,3,9,bartowi01
35,Will Barton,SG,24,DEN,28,683,,28%,69%,2%,,-2.0,2.2,22,18,25,1,35,3,125,6,23,bartowi01
36,Brandon Bass,PF,29,BOS,82,1929,,,,92%,8%,-2.5,-4.8,20,28,74,14,103,6,254,23,56,bassbr01
37,Nicolas Batum,SF,26,POR,71,2380,,,89%,11%,,4.3,0.1,96,16,49,5,35,6,772,7,14,batumni01
38,Jerryd Bayless,PG,26,MIL,77,1717,69%,31%,,,,0.1,-1.1,79,27,67,11,44,10,537,8,27,bayleje01
39,Aron Baynes,C,28,SAS,70,1122,,,,21%,79%,6.6,0.1,18,21,85,21,41,3,84,11,34,baynear01
40,Kent Bazemore,SG,25,ATL,75,1324,1%,83%,15%,,,-1.1,-10.4,28,31,81,3,46,6,186,10,23,bazemke01
41,Bradley Beal,SG,21,WAS,63,2107,2%,98%,1%,,,4.5,7.6,63,32,81,13,57,11,428,12,49,bealbr01
42,Michael Beasley,PF,26,MIA,24,505,,,,59%,41%,0.8,4.1,20,7,40,6,14,2,74,4,12,beaslmi01
43,Marco Belinelli,SG,28,SAS,62,1388,11%,84%,5%,,,-0.1,-10.2,33,18,30,4,35,9,226,4,9,belinma01
44,Jerrelle Benimon,PF,23,UTA,2,3,,,,59%,42%,120.0,119.9,0,1,0,0,0,0,0,0,0,benimje01
45,Anthony Bennett,PF,21,MIN,57,894,,,,63%,37%,-16.6,-9.1,9,12,33,8,31,3,109,4,20,bennean01
46,Patrick Beverley,PG,26,HOU,56,1727,100%,,,,,2.2,-2.5,51,15,65,9,17,20,457,2,35,beverpa01
47,Sim Bhullar,C,22,SAC,3,3,,,,,100%,55.0,58.8,0,0,0,0,0,0,2,0,0,bhullsi01
48,Bismack Biyombo,C,22,CHO,64,1243,,,,29%,72%,-1.2,3.2,6,20,69,14,74,4,41,10,26,biyombi01
49,Tarik Black,C,23,TOT,63,1196,,,,31%,69%,-2.8,1.3,7,18,81,15,52,3,99,8,29,blackta01
49,Tarik Black,C,23,HOU,25,393,,,,7%,93%,-1.8,-6.0,4,5,27,8,13,0,23,1,11,blackta01
49,Tarik Black,C,23,LAL,38,803,,,,44%,56%,-3.3,4.8,3,13,54,7,39,3,76,7,18,blackta01
50,DeJuan Blair,PF,25,WAS,29,180,,,,97%,3%,-11.6,-13.1,5,3,21,3,2,2,7,0,7,blairde01
51,Steve Blake,PG,34,POR,81,1529,99%,1%,,,,3.2,-1.7,73,20,39,3,11,10,662,3,6,blakest01
52,Eric Bledsoe,PG,25,PHO,81,2800,81%,19%,,,,0.6,5.6,152,81,67,20,182,23,1145,51,51,bledser01
53,Vander Blue,SG,22,LAL,2,74,66%,34%,,,,-26.0,-19.2,4,0,3,0,3,0,18,1,2,blueva01
54,Bojan Bogdanović,SF,25,BRK,78,1854,,1%,86%,14%,,-4.8,-3.1,30,27,60,2,43,6,156,8,42,bogdabo02
55,Andrew Bogut,C,30,GSW,67,1583,,,,,100%,16.6,9.6,53,21,94,27,20,10,425,10,19,bogutan01
56,Matt Bonner,PF,34,SAS,72,935,,,,81%,19%,0.3,-8.1,4,4,36,2,10,2,110,1,8,bonnema01
57,Trevor Booker,PF,27,UTA,79,1564,,,,95%,5%,0.8,1.1,40,30,70,12,64,3,204,10,21,booketr01
58,Carlos Boozer,PF,33,LAL,71,1692,,,15%,62%,24%,-8.9,-3.0,27,31,80,18,76,0,210,20,64,boozeca01
59,Chris Bosh*,C,30,MIA,44,1556,,,,27%,73%,-3.1,-0.7,33,42,31,6,104,5,213,15,30,boshch01
60,Avery Bradley,SG,24,BOS,77,2428,25%,72%,3%,,,-2.2,-5.7,58,39,54,7,38,12,293,7,49,bradlav01
61,Elton Brand,C,35,ATL,36,486,,,,3%,97%,2.2,-4.1,9,4,29,4,8,2,54,1,4,brandel01
62,Corey Brewer,SF,28,TOT,80,2087,,25%,71%,4%,,-0.8,0.3,62,38,59,14,102,23,396,21,56,breweco01
62,Corey Brewer,SF,28,MIN,24,680,,,92%,8%,,-13.9,-5.2,24,14,19,6,33,6,166,6,15,breweco01
62,Corey Brewer,SF,28,HOU,56,1407,,37%,61%,2%,,5.5,3.0,38,24,40,8,69,17,230,15,41,breweco01
63,Aaron Brooks,PG,30,CHI,82,1885,100%,,,,,4.7,2.6,96,41,79,7,70,7,601,12,52,brookaa01
64,Jabari Brown,SG,22,LAL,19,568,,73%,27%,,,-12.7,-6.5,11,15,19,4,41,2,94,7,12,brownja01
65,Lorenzo Brown,PG,24,MIN,29,549,99%,2%,,,,-9.1,0.6,19,8,26,0,6,3,209,1,9,brownlo01
66,Markel Brown,SG,23,BRK,47,781,1%,99%,1%,,,-1.5,2.0,14,10,33,0,24,11,90,3,13,brownma02
67,Shannon Brown,SG,29,MIA,5,89,,78%,23%,,,-7.0,-4.4,1,2,5,1,1,0,7,0,0,brownsh01
68,Kobe Bryant*,SG,36,LAL,35,1207,2%,89%,9%,,,-12.2,-7.3,74,34,29,11,95,5,441,19,27,bryanko01
69,Chase Budinger,SF,26,MIN,67,1286,,10%,61%,29%,,-10.5,-1.3,29,11,39,3,39,3,140,9,28,budinch01
70,Reggie Bullock,SF,23,TOT,36,338,,11%,87%,2%,,-1.0,-6.8,5,1,12,0,4,0,22,1,3,bullore01
70,Reggie Bullock,SF,23,LAC,25,263,,1%,97%,2%,,1.4,-6.3,5,0,11,0,3,0,16,1,1,bullore01
70,Reggie Bullock,SF,23,PHO,11,75,,47%,50%,3%,,-9.5,-8.6,0,1,1,0,1,0,6,0,2,bullore01
71,Trey Burke,PG,22,UTA,76,2288,100%,,,,,-2.1,-5.5,81,36,57,3,54,5,739,9,50,burketr01
72,Alec Burks,SG,23,UTA,27,899,1%,95%,4%,,,-7.4,-9.8,29,10,38,7,52,11,188,10,24,burksal01
73,Caron Butler,SF,34,DET,78,1623,,12%,88%,,,-1.3,0.2,32,6,67,6,19,3,184,6,8,butleca01
74,Jimmy Butler,SG,25,CHI,65,2513,,70%,30%,,,4.6,3.5,43,19,46,23,203,7,492,30,59,butleji01
75,Rasual Butler,SF,35,WAS,75,1505,,57%,43%,,,-2.1,-4.9,18,19,48,6,26,6,134,6,12,butlera01
76,Dwight Buycks,PG,25,LAL,6,123,100%,,,,,-10.7,-3.7,8,2,2,1,5,0,28,2,5,buyckdw01
77,Will Bynum,SG,32,WAS,7,67,75%,25%,,,,-37.6,-39.2,6,1,5,1,1,0,40,0,2,bynumwi01
78,Bruno Caboclo,SF,19,TOR,8,23,,25%,75%,,,-63.2,-66.8,1,3,3,0,0,0,0,0,0,cabocbr01
79,Nick Calathes,SG,25,MEM,58,838,6%,50%,44%,,,6.7,4.2,43,10,26,4,19,2,318,7,22,calatni01
80,José Calderón,PG,33,NYK,42,1270,41%,57%,2%,,,-14.0,-5.6,62,11,44,1,9,4,446,2,12,caldejo01
81,Kentavious Caldwell-Pope,SG,21,DET,82,2587,,81%,19%,,,1.0,7.1,39,36,83,6,71,12,255,16,32,caldwke01
82,Isaiah Canaan,PG,23,TOT,47,938,90%,10%,,,,-3.6,0.9,40,14,35,2,25,15,240,6,28,canaais01
82,Isaiah Canaan,PG,23,HOU,25,369,96%,4%,,,,1.3,-2.6,15,5,11,0,11,4,70,4,11,canaais01
82,Isaiah Canaan,PG,23,PHI,22,569,87%,13%,,,,-6.7,3.2,25,9,24,2,14,11,170,2,17,canaais01
83,Clint Capela,C,20,HOU,12,90,,,,,100%,4.8,1.2,3,1,9,1,11,1,5,1,4,capelca01
84,DeMarre Carroll,SF,28,ATL,70,2189,,11%,88%,1%,,5.5,-0.9,35,20,80,10,77,11,283,18,39,carrode01
85,Vince Carter,SG,38,MEM,66,1091,,30%,68%,2%,,0.2,-4.5,26,3,55,10,18,6,169,0,15,cartevi01
86,Michael Carter-Williams,PG,23,TOT,66,2149,91%,9%,,,,-4.2,2.0,133,86,64,17,118,24,1018,23,71,cartemi01
86,Michael Carter-Williams,PG,23,PHI,41,1391,99%,1%,,,,-9.7,-0.4,90,63,39,11,71,13,704,14,42,cartemi01
86,Michael Carter-Williams,PG,23,MIL,25,758,77%,22%,1%,,,5.9,6.4,43,23,25,6,47,11,314,9,29,cartemi01
87,Omri Casspi,SF,26,SAC,67,1416,,13%,84%,3%,,-5.8,-3.1,40,33,52,7,81,1,225,12,34,casspom01
88,Mario Chalmers,PG,28,MIA,80,2368,52%,48%,,,,-3.2,-1.1,91,52,97,17,93,39,711,19,42,chalmma01
89,Tyson Chandler,C,32,DAL,75,2286,,,,,100%,4.6,3.8,28,25,67,30,111,9,181,23,28,chandty01
90,Wilson Chandler,SF,27,DEN,78,2471,,5%,85%,10%,,-4.6,-2.2,43,26,103,18,68,8,322,19,48,chandwi01
