,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Jeff Adrien,PF,25,HOU,8,63,,,,100%,,-12.6,-13.2,2,0,3,0,5,1,2,0,2,adrieje01
2,Arron Afflalo,SG,26,DEN,62,2086,2%,71%,26%,1%,,1.1,-6.2,24,24,71,18,95,6,357,19,62,afflaar01
3,Blake Ahearn,PG,27,UTA,4,30,100%,,,,,-19.7,-20.5,4,1,2,0,0,0,2,0,0,ahearbl01
4,Solomon Alabi,C,23,TOR,14,122,,,,,100%,1.7,5.7,3,0,7,1,4,0,7,0,4,alabiso01
5,Cole Aldrich,C,23,OKC,26,173,,,,,100%,-6.9,-14.4,3,5,13,0,4,1,6,0,2,aldrico01
6,LaMarcus Aldridge,PF,26,POR,55,1994,,,,68%,33%,3.5,12.4,22,52,89,21,128,6,340,30,28,aldrila01
7,Lavoy Allen,PF,22,PHI,41,624,,,,64%,36%,6.3,1.9,11,2,47,3,7,2,72,2,10,allenla01
8,Ray Allen*,SG,36,BOS,46,1565,,94%,6%,,,2.8,-0.3,36,19,42,11,34,4,229,9,18,allenra02
9,Tony Allen,SG,30,MEM,58,1525,8%,92%,,,,6.6,8.3,40,33,60,11,79,6,167,16,49,allento01
10,Morris Almond,SG,26,WAS,4,67,,92%,8%,,,27.2,34.0,0,0,1,1,2,0,4,1,0,almonmo01
11,Al-Farouq Aminu,SF,21,NOH,66,1477,,1%,88%,12%,,-0.6,6.8,30,30,71,18,55,3,141,13,39,aminual01
12,Lou Amundson,PF,29,IND,60,753,,,,96%,4%,-2.5,-7.5,15,13,72,6,36,4,32,6,29,amundlo01
13,Chris Andersen,C,33,DEN,32,486,,,,6%,94%,5.4,2.4,3,7,32,3,32,3,13,5,9,anderch01
14,Alan Anderson,SF,29,TOR,17,461,,24%,76%,,,-2.0,2.0,8,8,18,3,13,3,56,3,7,anderal01
15,James Anderson,SG,22,SAS,51,603,,72%,28%,,,8.5,0.8,9,13,20,6,23,1,89,2,14,anderja01
16,Ryan Anderson,PF,23,ORL,61,1964,,,,93%,7%,6.5,14.6,23,17,67,5,73,14,129,16,37,anderry01
17,Carmelo Anthony,SF,27,NYK,55,1876,,1%,73%,26%,,2.5,-2.0,58,37,65,29,153,7,463,30,72,anthoca01
18,Joel Anthony,C,29,MIA,64,1349,,,,,100%,10.3,6.2,8,16,85,9,34,8,20,3,22,anthojo01
19,Gilbert Arenas,PG,30,MEM,17,211,92%,8%,,,,7.1,5.1,9,2,13,1,4,0,41,0,3,arenagi01
20,Trevor Ariza,SF,26,NOH,41,1350,,11%,87%,2%,,-6.9,-4.6,30,27,32,10,45,7,299,9,26,arizatr01
21,Ömer Aşık,C,25,CHI,66,971,,,,,100%,9.6,0.1,14,23,65,9,52,7,75,11,24,asikom01
22,D.J. Augustin,PG,24,CHA,48,1408,77%,23%,,,,-15.4,0.5,65,20,23,15,38,16,659,5,42,augusdj01
23,Gustavo Ayón,PF,26,NOH,54,1088,,,,65%,35%,-1.6,4.0,17,11,48,9,29,6,166,11,32,ayongu01
24,Jeff Ayres,C,24,IND,20,106,,,,7%,94%,4.1,0.9,1,0,9,1,2,2,11,1,4,pendeje02
25,Kelenna Azubuike,SG,28,DAL,3,18,,21%,79%,,,-27.0,-28.4,2,1,0,1,0,0,0,0,0,azubuke01
26,Luke Babbitt,SF,22,POR,40,537,,,50%,50%,,-13.5,-14.8,7,14,25,2,4,1,39,0,5,babbilu01
27,Renaldo Balkman,SF,27,NYK,14,115,,10%,67%,23%,,0.5,-3.0,2,4,9,0,5,0,11,1,0,balkmre01
28,Leandro Barbosa,SG,29,TOT,64,1382,7%,93%,,,,-2.3,-0.9,38,29,52,21,51,9,227,14,36,barbole01
28,Leandro Barbosa,SG,29,TOR,42,946,10%,90%,,,,-3.9,-0.2,27,22,41,14,36,6,149,9,24,barbole01
28,Leandro Barbosa,SG,29,IND,22,436,,99%,1%,,,1.0,-2.6,11,7,11,7,15,3,78,5,12,barbole01
29,J.J. Barea,PG,27,MIN,41,1032,100%,,,,,-4.2,-3.2,64,29,15,7,43,35,530,8,27,bareajo01
30,Andrea Bargnani,C,26,TOR,31,1032,,,,22%,78%,-2.6,1.6,20,21,19,16,79,4,132,15,22,bargnan01
31,Matt Barnes,SF,31,LAL,63,1440,,16%,84%,1%,,2.4,1.6,43,18,76,7,48,6,273,8,30,barnema02
