,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Shareef Abdur-Rahim,PF,28,POR,54,1867,,,23%,64%,13%,-5.9,-2.4,36,39,71,26,103,,247,23,62,abdursh01
2,Cory Alexander,SG,31,CHA,16,201,83%,17%,,,,-14.5,-8.6,13,4,12,2,3,,80,0,4,alexaco01
3,Malik Allen,PF,26,TOT,36,519,,,,70%,30%,-5.9,-6.5,6,8,38,2,10,,41,2,7,allenma01
3,Malik Allen,PF,26,MIA,14,248,,,,87%,13%,-3.1,-11.1,3,4,19,2,4,,24,0,4,allenma01
3,Malik Allen,PF,26,CHA,22,271,,,1%,54%,46%,-8.4,-2.2,3,4,19,0,6,,17,2,3,allenma01
4,Ray Allen*,SG,29,SEA,78,3064,,75%,25%,,,4.1,6.3,79,56,70,25,141,,678,21,71,allenra02
5,Tony Allen,SG,23,BOS,77,1262,4%,93%,4%,,,7.0,8.8,31,25,77,13,68,,143,11,31,allento01
6,Rafer Alston,PG,28,TOR,80,2717,100%,,,,,-1.5,0.1,115,29,86,17,85,,1172,18,42,alstora01
7,Chris Andersen,C,26,NOH,67,1430,,,,3%,97%,-2.1,9.5,23,17,81,14,85,,148,18,24,anderch01
8,Derek Anderson,SG,30,POR,47,1239,,91%,9%,,,-5.7,-1.5,41,16,35,6,31,,318,7,10,anderde01
9,Kenny Anderson,PG,34,TOT,43,743,100%,,,,,-12.0,-2.0,35,9,37,5,12,,223,4,14,anderke01
9,Kenny Anderson,PG,34,ATL,39,717,100%,,,,,-12.0,-1.6,33,9,35,4,12,,213,4,14,anderke01
9,Kenny Anderson,PG,34,LAC,4,26,100%,,,,,-11.1,-10.4,2,0,2,1,0,,10,0,0,anderke01
10,Shandon Anderson,SF-SG,31,TOT,66,1171,,10%,77%,13%,,9.3,3.2,30,12,71,7,28,,156,4,11,andersh01
10,Shandon Anderson,SG,31,NYK,1,20,,67%,33%,,,-23.4,-20.6,1,0,1,0,0,,0,0,0,andersh01
10,Shandon Anderson,SF,31,MIA,65,1151,,9%,77%,14%,,9.9,3.7,29,12,70,7,28,,156,4,11,andersh01
11,Carmelo Anthony,SF,20,DEN,75,2608,,3%,86%,12%,,2.7,1.8,65,60,85,58,203,,402,40,120,anthoca01
12,Rafael Araújo,C,24,TOR,59,736,,,,1%,99%,-2.1,-0.6,10,11,81,17,24,,34,4,12,araujra01
13,Gilbert Arenas,PG,23,WAS,80,3274,88%,12%,,,,1.3,9.3,112,65,96,43,254,,903,59,69,arenagi01
14,Trevor Ariza,SF,19,NYK,80,1382,,19%,80%,1%,,-0.6,3.5,27,21,36,16,77,,188,12,32,arizatr01
15,Darrell Armstrong,PG,36,TOT,66,988,100%,,,,,-2.4,-3.0,42,17,27,3,13,,398,0,17,armstda01
15,Darrell Armstrong,PG,36,NOH,14,412,100%,,,,,-7.8,0.6,17,8,6,1,4,,140,0,4,armstda01
15,Darrell Armstrong,PG,36,DAL,52,576,100%,,,,,1.4,-5.6,25,9,21,2,9,,258,0,13,armstda01
16,Carlos Arroyo,PG,25,TOT,70,1448,94%,6%,,,,-7.5,-8.8,55,25,48,14,49,,592,7,32,arroyca01
16,Carlos Arroyo,PG,25,UTA,30,742,93%,6%,,,,-11.0,-7.3,30,12,24,5,22,,317,4,17,arroyca01
16,Carlos Arroyo,PG,25,DET,40,706,94%,6%,,,,-3.9,-10.3,25,13,24,9,27,,275,3,15,arroyca01
17,Chucky Atkins,PG,30,LAL,82,2903,100%,,,,,-3.1,1.8,98,27,47,22,52,,804,9,33,atkinch01
18,Stacey Augmon,SF,36,ORL,55,663,,44%,54%,1%,,-5.3,-3.1,11,6,42,11,31,,78,3,12,augmost01
19,Maurice Baker,PG,25,TOT,5,19,85%,15%,,,,20.2,24.7,1,0,0,0,0,,3,0,0,bakerma01
19,Maurice Baker,PG,25,LAC,1,1,,100%,,,,50.0,50.8,0,0,0,0,0,,0,0,0,bakerma01
19,Maurice Baker,PG,25,POR,4,18,90%,10%,,,,18.5,23.3,1,0,0,0,0,,3,0,0,bakerma01
20,Vin Baker,PF-C,33,TOT,27,204,,,1%,39%,61%,-19.1,-17.5,3,6,19,4,5,,22,1,4,bakervi01
20,Vin Baker,PF,33,NYK,24,191,,,1%,42%,58%,-19.0,-17.0,3,5,14,3,5,,19,1,2,bakervi01
20,Vin Baker,C,33,HOU,3,13,,,,,100%,-20.5,-25.4,0,1,5,1,0,,3,0,2,bakervi01
21,Marcus Banks,PG,23,BOS,81,1145,100%,,,,,1.6,0.9,30,23,43,12,54,,335,10,19,banksma01
22,Leandro Barbosa,PG,22,PHO,63,1087,98%,2%,,,,-1.3,-12.1,47,23,45,8,30,,298,9,15,barbole01
23,Matt Barnes,SF,24,SAC,43,715,,15%,82%,4%,,4.4,2.3,26,9,37,2,27,,122,4,12,barnema02
24,Andre Barrett,PG,22,TOT,38,483,100%,,,,,2.7,0.5,18,9,13,0,4,,153,1,8,barrean01
24,Andre Barrett,PG,22,HOU,27,314,100%,,,,,3.4,-1.6,12,4,11,0,1,,96,0,5,barrean01
24,Andre Barrett,PG,22,ORL,11,169,100%,,,,,1.3,4.2,6,5,2,0,3,,57,1,3,barrean01
25,Brent Barry,SG,33,SAS,81,1742,1%,96%,4%,,,7.1,-3.4,42,11,66,8,42,,398,13,16,barrybr01
