,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Quincy Acy,PF,22,TOR,29,342,,,,88%,12%,13.9,16.9,4,5,24,6,14,0,29,2,5,acyqu01
2,Jeff Adrien,PF,26,CHA,52,713,,,1%,96%,3%,-7.1,3.6,9,6,40,7,41,4,80,5,17,adrieje01
3,Arron Afflalo,SF,27,ORL,64,2307,1%,48%,49%,3%,,-7.8,-0.1,45,50,68,20,98,5,474,24,59,afflaar01
4,Josh Akognon,PG,26,DAL,3,9,69%,31%,,,,-31.3,-30.6,0,0,0,0,0,0,2,0,0,akognjo01
5,Cole Aldrich,C,24,TOT,45,388,,,,,100%,1.6,2.0,8,6,29,6,8,0,22,2,8,aldrico01
5,Cole Aldrich,C,24,HOU,30,213,,,,,100%,-5.4,-9.6,5,3,16,5,4,0,16,1,3,aldrico01
5,Cole Aldrich,C,24,SAC,15,175,,,,,100%,10.0,16.1,3,3,13,1,4,0,6,1,5,aldrico01
6,LaMarcus Aldridge,PF,27,POR,74,2790,,,,84%,16%,-0.8,9.4,38,54,113,30,167,10,474,38,35,aldrila01
7,Lavoy Allen,C,23,PHI,79,1669,,,,28%,72%,-2.8,1.4,16,18,106,18,27,4,159,4,20,allenla01
8,Ray Allen*,SG,37,MIA,79,2035,2%,68%,30%,,,5.0,-8.3,54,29,69,12,46,6,319,11,21,allenra02
9,Tony Allen,SG,31,MEM,79,2109,1%,89%,10%,,,7.5,5.9,39,31,90,9,88,6,217,18,64,allento01
10,Al-Farouq Aminu,SF,22,NOH,76,2066,,,94%,5%,1%,-1.2,7.4,42,43,66,16,63,5,239,13,38,aminual01
11,Lou Amundson,PF,30,TOT,39,372,,,3%,67%,31%,-11.9,-8.7,3,6,27,7,15,4,22,4,11,amundlo01
11,Lou Amundson,PF,30,MIN,20,161,,,,38%,62%,-17.7,-16.1,3,3,15,4,8,1,6,2,5,amundlo01
