,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Precious Achiuwa,PF,21,MIA,61,737,,,,42%,58%,-6.3,-8.0,14,13,48,14,59,6,79,10,32,achiupr01
2,Jaylen Adams,PG,24,MIL,7,18,97%,3%,,,,-38.3,-44.1,0,0,1,0,0,0,5,0,0,adamsja01
3,Steven Adams,C,27,NOP,58,1605,,,,,100%,-0.2,0.8,25,27,46,19,53,5,256,6,20,adamsst01
4,Bam Adebayo,C,23,MIA,64,2143,,,,30%,70%,0.4,0.8,82,46,64,30,154,9,873,44,39,adebaba01
5,LaMarcus Aldridge,C,35,TOT,26,674,,,,2%,98%,-3.4,-3.6,13,4,34,6,23,0,124,2,9,aldrila01
5,LaMarcus Aldridge,C,35,SAS,21,544,,,,3%,98%,-6.5,-5.7,9,3,26,6,18,0,90,2,7,aldrila01
5,LaMarcus Aldridge,C,35,BRK,5,130,,,,,100%,9.6,4.9,4,1,8,0,5,0,34,0,2,aldrila01
6,Ty-Shon Alexander,SG,22,PHO,15,47,,,89%,11%,,-5.0,-11.3,2,1,1,0,1,0,15,0,0,alexaty01
7,Nickeil Alexander-Walker,SG,22,NOP,46,1007,3%,86%,12%,,,-2.5,-2.7,41,15,47,3,29,11,233,9,34,alexani01
8,Grayson Allen,SG,25,MEM,50,1259,3%,86%,11%,,,0.7,-1.1,29,8,37,6,28,11,258,5,18,allengr01
9,Jarrett Allen,C,22,TOT,63,1864,,,,5%,95%,-5.9,-0.4,47,24,62,15,127,12,256,26,37,allenja01
9,Jarrett Allen,C,22,BRK,12,320,,,,,100%,10.5,6.1,10,5,13,5,31,3,49,9,6,allenja01
9,Jarrett Allen,C,22,CLE,51,1544,,,,6%,94%,-9.3,-1.7,37,19,49,10,96,9,207,17,31,allenja01
10,Al-Farouq Aminu,PF,30,TOT,23,434,,,36%,64%,,-6.9,0.6,15,6,13,4,12,1,75,6,5,aminual01
10,Al-Farouq Aminu,PF,30,ORL,17,367,,,36%,64%,,-11.5,-2.9,14,4,10,4,11,1,70,6,5,aminual01
10,Al-Farouq Aminu,PF,30,CHI,6,67,,,35%,65%,,18.3,19.5,1,2,3,0,1,0,5,0,0,aminual01
11,Kyle Anderson,PF,27,MEM,69,1887,,,3%,70%,27%,1.7,0.8,46,18,58,9,86,4,575,16,32,anderky01
12,Giannis Antetokounmpo,PF,26,MIL,61,2013,,,2%,86%,12%,8.4,6.7,71,50,53,53,295,5,926,79,56,antetgi01
13,Kostas Antetokounmpo,PF,23,LAL,15,56,,,,5%,95%,17.1,14.7,1,5,4,2,3,1,3,1,4,antetko01
14,Thanasis Antetokounmpo,SF,28,MIL,57,551,,8%,60%,32%,1%,3.3,-2.6,14,9,37,9,25,10,118,6,12,antetth01
15,Carmelo Anthony,PF,36,POR,69,1690,,,,71%,29%,-1.4,-6.4,16,16,70,24,68,5,261,13,19,anthoca01
16,Cole Anthony,PG,20,ORL,47,1273,91%,9%,,,,-12.1,-5.0,58,38,46,6,52,13,457,13,49,anthoco01
17,OG Anunoby,SF,23,TOR,43,1433,,5%,63%,31%,1%,3.4,7.0,26,20,53,16,48,7,236,7,38,anunoog01
18,Ryan Arcidiacono,PG,26,CHI,44,450,93%,7%,,,,0.9,1.9,6,2,17,2,9,19,130,4,3,arcidry01
19,Trevor Ariza,SF,35,MIA,30,841,,,3%,96%,1%,3.1,4.0,10,4,23,4,18,10,133,1,9,arizatr01
20,D.J. Augustin,PG,33,TOT,57,1129,100%,,,,,-2.9,-3.9,41,14,18,6,31,10,444,3,27,augusdj01
20,D.J. Augustin,PG,33,MIL,37,713,100%,,,,,6.0,0.5,18,10,11,3,11,6,259,3,15,augusdj01
20,D.J. Augustin,PG,33,HOU,20,416,100%,,,,,-18.2,-11.5,23,4,7,3,20,4,185,0,12,augusdj01
21,Deni Avdija,SF,20,WAS,54,1257,,1%,73%,27%,,-2.5,-1.1,17,7,82,3,21,7,145,6,16,avdijde01
22,Deandre Ayton,C,22,PHO,69,2115,,,,10%,90%,6.0,-0.2,20,36,128,25,97,3,238,30,46,aytonde01
23,Udoka Azubuike,C,21,UTA,15,57,,,,,100%,-49.3,-59.8,1,0,7,1,5,0,0,0,1,azubuud01
24,Dwayne Bacon,SG,25,ORL,72,1853,3%,40%,55%,2%,,-11.1,-4.5,26,9,44,4,85,5,232,19,39,bacondw01
25,Marvin Bagley III,PF,21,SAC,43,1112,,,,69%,31%,-3.2,0.6,12,20,57,15,69,18,106,12,42,baglema01
26,LaMelo Ball,PG,19,CHO,51,1469,70%,30%,,,,-4.1,-3.4,102,26,45,5,74,6,733,23,33,ballla01
27,Lonzo Ball,PG,23,NOP,55,1747,93%,7%,,,,0.8,2.7,78,20,41,16,23,6,717,5,16,balllo01
28,Mo Bamba,C,22,ORL,46,725,,,,,100%,-13.4,-5.6,10,12,57,10,34,3,84,9,18,bambamo01
29,Desmond Bane,SG,22,MEM,68,1519,1%,47%,48%,4%,,-0.3,-2.8,25,12,66,6,16,3,287,7,35,banede01
30,Harrison Barnes,PF,28,SAC,58,2102,,,31%,66%,3%,-1.1,6.5,46,32,36,11,101,11,497,25,24,barneha02
31,RJ Barrett,SG,20,NYK,72,2511,5%,79%,16%,,,2.6,0.4,77,35,85,14,133,13,520,28,86,barrerj01
32,Will Barton,SF,30,DEN,56,1736,,39%,53%,8%,,6.1,2.5,49,28,48,7,46,7,424,15,35,bartowi01
