,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Arron Afflalo,SG,24,DEN,82,2221,,92%,7%,,,3.6,-1.5,20,19,121,11,47,9,297,12,50,afflaar01
2,Alexis Ajinça,C,21,CHA,6,30,,,,,100%,10.6,9.1,0,0,2,1,1,2,0,1,1,ajincal01
3,LaMarcus Aldridge,PF,24,POR,78,2922,,,,88%,12%,4.9,3.6,31,27,129,30,144,12,370,38,42,aldrila01
4,Joe Alexander,SF,23,CHI,8,29,,,86%,14%,,-18.9,-17.5,0,0,5,0,0,0,4,0,0,alexajo01
5,Malik Allen,PF,31,DEN,51,456,,,,50%,50%,-12.9,-19.2,8,7,37,4,6,2,40,1,4,allenma01
6,Ray Allen*,SG,34,BOS,80,2819,,83%,17%,,,7.3,11.5,62,35,104,19,72,14,452,18,41,allenra02
7,Tony Allen,SG,28,BOS,54,889,9%,83%,9%,,,1.4,-3.5,29,19,42,9,58,9,155,13,19,allento01
8,Rafer Alston,PG,33,TOT,52,1421,100%,,,,,-4.7,-0.7,59,29,55,3,39,9,384,10,26,alstora01
8,Rafer Alston,PG,33,NJN,27,766,100%,,,,,-12.3,-2.6,38,19,25,2,25,5,223,7,15,alstora01
8,Rafer Alston,PG,33,MIA,25,655,100%,,,,,4.2,1.5,21,10,30,1,14,4,161,3,11,alstora01
9,Lou Amundson,PF,27,PHO,79,1168,,,14%,80%,6%,4.8,-0.9,18,14,97,11,58,13,69,13,31,amundlo01
10,Chris Andersen,PF,31,DEN,76,1695,,,,55%,45%,10.7,11.4,24,17,116,9,92,20,74,14,17,anderch01
11,David Andersen,C,29,HOU,63,891,,,,,100%,1.9,3.1,12,10,51,8,27,7,100,5,20,anderda03
12,Antonio Anderson,SF,24,OKC,1,15,,,100%,,,-9.2,-13.5,1,0,1,0,0,0,0,0,0,anderan02
13,Ryan Anderson,PF,21,ORL,63,911,,,,95%,5%,9.2,1.2,19,14,38,10,38,6,86,9,22,anderry01
