,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Quincy Acy,PF,25,SAC,59,876,,,19%,79%,3%,-7.1,-5.5,8,6,52,5,28,5,62,9,6,acyqu01
2,Jordan Adams,SG,21,MEM,2,15,,59%,41%,,,9.3,11.7,0,2,0,0,2,0,6,1,0,adamsjo01
3,Steven Adams,C,22,OKC,80,2014,,,,,100%,11.3,8.2,24,22,110,23,83,7,144,20,31,adamsst01
4,Arron Afflalo,SG,30,NYK,71,2371,1%,81%,18%,,,-3.6,-1.9,27,25,53,13,68,4,337,23,47,afflaar01
5,Alexis Ajinça,C,27,NOP,59,861,,,,,100%,-3.3,0.7,13,21,62,13,29,7,77,6,12,ajincal01
6,Cole Aldrich,C,27,LAC,60,800,,,,3%,97%,0.3,-5.0,20,16,79,19,40,2,125,6,18,aldrico01
7,LaMarcus Aldridge,PF,30,SAS,74,2261,,,,54%,46%,11.6,0.1,34,32,92,12,146,5,261,27,37,aldrila01
8,Cliff Alexander,PF,20,POR,8,36,,,,42%,58%,-17.0,-17.9,0,1,1,0,0,0,0,0,1,alexacl01
9,Lavoy Allen,PF,26,IND,79,1599,,,1%,89%,11%,6.3,7.3,39,11,95,11,32,3,183,7,22,allenla01
10,Tony Allen,SG,34,MEM,64,1620,6%,93%,2%,,,-0.6,3.0,34,25,68,8,64,4,151,14,59,allento01
11,Al-Farouq Aminu,SF,25,POR,82,2341,,,56%,44%,1%,1.7,2.2,44,44,70,16,76,15,335,18,35,aminual01
12,Lou Amundson,PF,33,NYK,29,204,,,,65%,35%,-10.4,-8.0,5,4,23,4,15,0,25,6,3,amundlo01
13,Chris Andersen,C,37,TOT,27,402,,,,,100%,-9.1,-7.7,4,2,17,2,12,2,28,0,6,anderch01
13,Chris Andersen,C,37,MIA,7,36,,,,,100%,-21.5,-23.7,1,0,2,1,2,0,7,0,1,anderch01
13,Chris Andersen,C,37,MEM,20,366,,,,,100%,-7.9,-6.1,3,2,15,1,10,2,21,0,5,anderch01
