,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Álex Abrines,SG,25,OKC,31,588,,63%,37%,,,1.8,-1.5,4,6,33,2,4,10,52,0,6,abrinal01
2,Quincy Acy,PF,28,PHO,10,123,,,,33%,67%,2.7,12.1,1,1,12,1,2,6,21,0,0,acyqu01
3,Jaylen Adams,PG,22,ATL,34,428,97%,3%,,,,-5.3,0.6,19,7,24,2,3,3,164,1,7,adamsja01
4,Steven Adams,C,25,OKC,80,2669,,,,,100%,6.1,9.5,44,41,73,31,110,13,297,20,50,adamsst01
5,Bam Adebayo,C,21,MIA,82,1913,,,,1%,99%,0.7,1.6,35,35,91,33,98,8,458,30,31,adebaba01
6,Deng Adel,SF,21,CLE,19,194,,5%,47%,47%,,-8.8,1.4,2,3,9,0,2,4,12,0,1,adelde01
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,22,,73%,27%,,,7.2,3.5,0,1,1,1,1,0,14,0,1,akoonde01
8,LaMarcus Aldridge,C,33,SAS,81,2687,,,,5%,95%,1.6,-1.8,28,55,102,39,183,5,459,49,45,aldrila01
9,Rawle Alkins,SG,21,CHI,10,120,,11%,85%,4%,,-6.1,2.5,1,4,5,0,6,0,31,2,4,alkinra01
10,Grayson Allen,SG,23,UTA,38,416,38%,57%,5%,,,-11.9,-19.3,12,5,25,5,20,4,58,3,6,allengr01
11,Jarrett Allen,C,20,BRK,80,2096,,,,,100%,-2.7,-5.3,38,26,112,26,125,11,283,22,48,allenja01
12,Kadeem Allen,PG,26,NYK,19,416,71%,29%,1%,,,-4.3,5.5,13,6,24,3,22,7,187,1,6,allenka01
13,Al-Farouq Aminu,PF,28,POR,81,2292,,,,99%,1%,8.1,10.0,29,15,58,14,72,15,243,13,29,aminual01
14,Justin Anderson,SF,25,ATL,48,463,,5%,46%,48%,1%,-5.6,0.3,9,6,23,4,17,4,57,4,9,anderju01
15,Kyle Anderson,SF,25,MEM,43,1281,,,74%,25%,1%,-2.5,0.1,28,11,37,9,31,8,295,9,14,anderky01
16,Ryan Anderson,PF,30,TOT,25,322,,,,97%,4%,-11.6,-4.1,6,1,13,2,8,3,45,1,7,anderry01
16,Ryan Anderson,PF,30,PHO,15,278,,,,100%,,-15.5,-6.9,6,0,12,2,7,3,41,1,5,anderry01
16,Ryan Anderson,PF,30,MIA,10,44,,,,74%,26%,13.2,13.4,0,1,1,0,1,0,4,0,2,anderry01
17,Ike Anigbogu,C,20,IND,3,6,,,,,100%,-23.7,-27.1,0,0,0,0,0,0,2,0,0,anigbik01
18,Giannis Antetokounmpo,PF,24,MIL,72,2358,,,,73%,27%,12.1,8.8,80,65,67,68,347,6,1093,103,100,antetgi01
19,Kostas Antetokounmpo,PF,21,DAL,2,11,,,,,100%,18.6,20.4,0,1,0,0,1,0,0,0,1,antetko01
20,Carmelo Anthony,PF,34,HOU,10,294,,,,81%,19%,-11.7,-18.1,2,1,11,4,5,5,13,1,4,anthoca01
21,OG Anunoby,SF,21,TOR,67,1352,,,23%,75%,2%,-2.0,-12.1,21,13,63,11,32,11,113,10,32,anunoog01
22,Ryan Arcidiacono,PG,24,CHI,81,1961,96%,4%,,,,-6.2,4.8,33,15,67,10,38,26,633,6,17,arcidry01
23,Trevor Ariza,SF,33,TOT,69,2349,,2%,70%,28%,,-7.1,-2.2,67,19,57,9,78,16,591,25,33,arizatr01
23,Trevor Ariza,SF,33,PHO,26,884,,,62%,38%,,-15.1,-7.9,19,10,16,5,19,6,208,5,13,arizatr01
23,Trevor Ariza,SF,33,WAS,43,1465,,4%,74%,21%,1%,-2.2,1.2,48,9,41,4,59,10,383,20,20,arizatr01
24,D.J. Augustin,PG,31,ORL,81,2269,100%,,,,,3.1,4.8,82,29,38,11,69,36,994,11,42,augusdj01
25,Deandre Ayton,C,20,PHO,71,2183,,,,,100%,-8.2,1.8,32,41,135,24,90,2,310,24,43,aytonde01
26,Dwayne Bacon,SG,23,CHO,43,759,,29%,66%,4%,,-1.3,0.1,8,4,33,2,23,2,120,4,14,bacondw01
27,Marvin Bagley III,PF,19,SAC,62,1567,,,,45%,54%,-3.1,-3.5,27,32,55,17,121,6,146,19,46,baglema01
28,Ron Baker,SG,25,TOT,15,152,11%,59%,30%,,,-6.4,1.1,3,1,6,1,1,4,36,0,1,bakerro01
28,Ron Baker,SG,25,NYK,11,107,16%,62%,22%,,,-1.7,7.7,2,0,4,1,1,4,30,0,1,bakerro01
28,Ron Baker,SG,25,WAS,4,45,,51%,49%,,,-17.4,-14.6,1,1,2,0,0,0,6,0,0,bakerro01
29,Wade Baldwin,PG,22,POR,16,94,98%,2%,,,,-34.6,-39.4,9,3,4,1,4,1,28,1,5,baldwwa01
30,Lonzo Ball,PG,21,LAL,47,1423,98%,2%,,,,-1.3,0.9,68,19,57,7,17,6,571,4,25,balllo01
31,Mo Bamba,C,20,ORL,47,766,,,,5%,95%,-13.9,-18.5,12,13,69,13,32,2,89,11,15,bambamo01
32,J.J. Barea,PG,34,DAL,38,752,100%,,,,,2.9,5.7,44,17,9,7,26,21,500,7,13,bareajo01
33,Harrison Barnes,PF-SF,26,TOT,77,2533,,,35%,65%,,-1.4,-0.1,37,33,54,14,109,12,287,25,49,barneha02
33,Harrison Barnes,PF,26,DAL,49,1584,,,18%,82%,,-2.6,-1.4,24,27,33,10,75,8,158,19,36,barneha02
33,Harrison Barnes,SF,26,SAC,28,949,,,62%,38%,,0.7,2.2,13,6,21,4,34,4,129,6,13,barneha02
34,Will Barton,SF,28,DEN,43,1189,1%,11%,88%,1%,,0.4,-4.8,34,24,36,2,33,1,284,10,20,bartowi01
35,Keita Bates-Diop,SF,23,MIN,30,503,,1%,89%,9%,1%,-5.3,-4.3,5,5,17,2,9,1,37,2,7,bateske01
36,Nicolas Batum,SF,30,CHO,75,2354,,10%,82%,8%,,-0.3,2.6,82,19,42,9,31,11,599,10,19,batumni01
37,Jerryd Bayless,PG,30,MIN,34,657,79%,21%,,,,-13.4,-14.1,21,8,26,1,14,1,289,4,8,bayleje01
38,Aron Baynes,C,32,BOS,51,821,,,,,100%,7.8,3.9,9,7,71,20,23,20,144,4,12,baynear01
39,Kent Bazemore,SG,29,ATL,67,1643,9%,88%,4%,,,-8.1,-3.8,77,31,79,6,72,20,368,15,34,bazemke01
40,Bradley Beal,SG,25,WAS,82,3028,6%,77%,17%,,,-2.4,2.5,124,66,103,21,185,27,1084,41,64,bealbr01
41,Malik Beasley,SG,22,DEN,81,1879,3%,60%,37%,,,2.8,-1.7,22,23,55,3,29,10,225,10,34,beaslma01
42,Michael Beasley,PF,30,LAL,26,277,,,1%,87%,12%,-6.6,-5.1,14,9,22,2,23,0,56,9,9,beaslmi01
43,Marco Belinelli,SG,32,SAS,79,1815,1%,66%,33%,,,1.8,-0.7,39,21,53,3,48,11,321,13,18,belinma01
44,Jordan Bell,C,24,GSW,68,788,,,,14%,86%,-4.3,-13.8,17,12,54,6,17,9,181,4,11,belljo01
45,DeAndre' Bembry,SG,24,ATL,82,1931,,30%,68%,2%,,-4.9,2.0,72,45,86,9,62,21,496,17,45,bembrde01
46,Dragan Bender,PF,21,PHO,46,826,,,,57%,43%,-9.5,-0.6,18,9,65,5,28,2,138,10,4,bendedr01
47,Dairis Bertāns,SG,29,NOP,12,167,24%,65%,11%,,,-15.7,-15.0,1,0,5,0,0,1,23,0,2,bertada02
48,Dāvis Bertāns,PF,26,SAS,76,1632,,,4%,95%,1%,8.3,10.6,25,9,72,5,24,16,236,8,8,bertada01
49,Patrick Beverley,PG,30,LAC,78,2137,100%,,,,,3.8,6.0,54,11,92,6,33,42,719,8,26,beverpa01
50,Khem Birch,C,26,ORL,50,643,,,,,100%,3.0,2.4,9,4,43,5,40,8,88,5,12,birchkh01
51,Bismack Biyombo,C,26,CHO,54,783,,,,9%,91%,-6.2,-6.0,11,5,53,12,43,3,78,9,23,biyombi01
52,Nemanja Bjelica,PF,30,SAC,77,1788,,,,98%,1%,2.3,5.9,30,23,113,15,40,2,350,11,36,bjeline01
53,Antonio Blakeney,SG,22,CHI,57,829,,69%,31%,,,-9.1,-0.6,13,15,21,0,35,1,101,8,31,blakean01
54,Eric Bledsoe,PG,29,MIL,78,2272,99%,1%,,,,10.6,5.0,94,46,46,14,121,15,1026,37,50,bledser01
55,Jaron Blossomgame,SF,25,CLE,27,439,,,35%,64%,1%,-3.8,7.1,5,2,10,0,6,4,34,1,7,blossja01
56,Bogdan Bogdanović,SG,26,SAC,70,1947,2%,40%,55%,3%,,-0.9,0.1,69,27,65,10,53,17,633,14,39,bogdabo01
57,Bojan Bogdanović,SF,29,IND,81,2573,,2%,94%,4%,,3.2,-0.5,60,34,59,9,120,9,381,25,88,bogdabo02
58,Andrew Bogut,C,34,GSW,11,134,,,,,100%,3.5,-3.4,3,2,11,2,1,3,25,1,1,bogutan01
59,Jonah Bolden,PF,23,PHI,44,639,,,,47%,53%,-1.4,-5.2,20,2,57,10,9,0,97,1,6,boldejo01
60,Isaac Bonga,PG,19,LAL,22,120,24%,72%,4%,,,4.7,6.8,4,1,8,0,4,1,34,0,5,bongais01
61,Devin Booker,SG,22,PHO,64,2242,15%,78%,7%,,,-7.4,3.9,153,69,70,27,187,19,1032,42,76,bookede01
62,Chris Boucher,PF,26,TOR,28,163,,,,36%,64%,-3.1,-9.3,2,2,24,1,4,0,5,0,7,bouchch01
63,Avery Bradley,SG,28,TOT,63,1905,,68%,31%,,,-1.8,-3.2,59,13,71,5,19,27,353,5,48,bradlav01
63,Avery Bradley,SG,28,LAC,49,1463,,64%,36%,,,-2.0,-4.6,43,7,53,4,8,18,225,3,32,bradlav01
63,Avery Bradley,SG,28,MEM,14,442,1%,85%,14%,,,-1.2,1.5,16,6,18,1,11,9,128,2,16,bradlav01
64,Tony Bradley,C,21,UTA,3,36,,,,,100%,-22.2,-27.8,0,0,4,2,1,0,3,0,0,bradlto01
65,Corey Brewer,SF,32,TOT,31,492,,5%,74%,21%,,0.8,0.7,9,4,28,2,19,9,90,2,10,breweco01
65,Corey Brewer,SF,32,PHI,7,140,,8%,55%,37%,,1.9,-1.1,4,1,5,0,5,3,25,0,5,breweco01
65,Corey Brewer,SF,32,SAC,24,352,,4%,82%,14%,,0.4,1.4,5,3,23,2,14,6,65,2,5,breweco01
66,Mikal Bridges,SF,22,PHO,82,2417,,6%,50%,44%,,-7.2,4.7,41,16,93,7,56,11,393,20,32,bridgmi01
67,Miles Bridges,SF,20,CHO,80,1696,,,53%,47%,1%,-3.4,-3.5,21,20,51,8,36,1,224,11,33,bridgmi02
68,Isaiah Briscoe,PG,22,ORL,39,559,99%,1%,,,,2.0,1.2,19,4,30,4,11,17,221,4,7,briscis01
69,Ryan Broekhoff,SG,28,DAL,42,453,1%,39%,57%,3%,,5.8,8.5,9,3,18,1,4,7,52,2,5,broekry01
70,Malcolm Brogdon,SG,26,MIL,64,1832,9%,84%,7%,,,10.9,4.5,50,22,44,8,62,6,500,11,60,brogdma01
71,Dillon Brooks,SF,23,MEM,18,330,,15%,65%,19%,,0.1,2.9,14,1,18,4,13,5,40,2,12,brookdi01
72,MarShon Brooks,SG,30,MEM,29,387,1%,85%,14%,,,-5.0,-2.7,5,8,12,4,13,4,57,2,8,brookma01
73,Bruce Brown,SG,22,DET,74,1449,,53%,47%,,,1.8,3.4,21,14,87,5,29,11,228,8,39,brownbr01
74,Jaylen Brown,SG,22,BOS,74,1913,1%,58%,41%,,,2.8,-3.7,28,36,76,17,100,9,243,22,43,brownja02
75,Lorenzo Brown,PG,28,TOR,26,212,24%,59%,17%,,,-5.8,-12.4,13,2,7,1,2,0,69,1,7,brownlo01
76,Sterling Brown,SG,23,MIL,58,1034,,53%,43%,4%,,0.9,-10.3,29,7,42,3,20,2,198,6,20,brownst02
77,Troy Brown Jr.,SF,19,WAS,52,730,,27%,66%,7%,,0.3,3.9,14,13,33,2,23,3,183,7,26,browntr01
78,Jalen Brunson,PG,22,DAL,73,1591,75%,23%,1%,,,-3.2,-2.4,51,21,53,5,49,40,555,11,43,brunsja01
79,Thomas Bryant,C,21,WAS,72,1496,,,,1%,99%,-3.0,-0.1,25,12,61,12,67,5,218,26,31,bryanth01
80,Reggie Bullock,SG,27,TOT,63,1879,5%,29%,62%,4%,,-1.4,-0.6,34,18,59,7,24,10,307,8,23,bullore01
80,Reggie Bullock,SG,27,DET,44,1355,,24%,72%,4%,,0.4,1.2,28,14,44,6,19,8,262,6,21,bullore01
80,Reggie Bullock,SG,27,LAL,19,524,17%,44%,34%,6%,,-6.2,-5.0,6,4,15,1,5,2,45,2,2,bullore01
81,Trey Burke,PG,26,TOT,58,1125,100%,,,,,-1.6,5.4,28,8,19,7,56,5,386,16,39,burketr01
81,Trey Burke,PG,26,NYK,33,689,100%,,,,,-6.3,3.5,16,3,12,5,35,3,225,14,24,burketr01
81,Trey Burke,PG,26,DAL,25,436,100%,,,,,5.8,8.5,12,5,7,2,21,2,161,2,15,burketr01
82,Alec Burks,SG,27,TOT,64,1375,1%,56%,41%,2%,,-11.0,-5.7,35,18,41,5,69,12,303,20,37,burksal01
82,Alec Burks,SG,27,UTA,17,269,2%,76%,22%,,,-5.3,-11.4,7,3,6,2,21,1,47,7,7,burksal01
82,Alec Burks,SG,27,CLE,34,979,1%,53%,44%,2%,,-13.5,-4.5,27,14,32,2,45,11,232,12,30,burksal01
82,Alec Burks,SG,27,SAC,13,127,,38%,62%,,,-3.6,-2.7,1,1,3,1,3,0,24,1,0,burksal01
83,Deonte Burton,SG,25,OKC,32,240,2%,38%,55%,6%,,8.1,5.3,5,3,19,1,7,5,25,3,7,burtode02
84,Jimmy Butler,SF-SG,29,TOT,65,2185,,12%,77%,12%,,4.0,4.2,44,21,47,16,155,5,632,35,43,butleji01
84,Jimmy Butler,SG,29,MIN,10,361,,38%,62%,,,-8.7,-7.9,5,3,8,4,28,0,105,5,7,butleji01
84,Jimmy Butler,SF,29,PHI,55,1824,,6%,80%,14%,,6.5,6.6,39,18,39,12,127,5,527,30,36,butleji01
85,Bruno Caboclo,PF,23,MEM,34,800,,2%,32%,65%,2%,1.1,4.7,16,13,43,7,21,2,120,4,14,cabocbr01
86,José Calderón,PG,37,DET,49,632,90%,10%,,,,-14.4,-16.8,26,5,26,1,4,3,282,1,8,caldejo01
87,Kentavious Caldwell-Pope,SG,25,LAL,82,2035,27%,66%,8%,,,-3.7,-3.9,34,20,50,5,48,42,251,14,18,caldwke01
88,Isaiah Canaan,PG,27,TOT,30,629,100%,,,,,-12.3,-5.6,21,8,23,3,10,10,198,2,11,canaais01
88,Isaiah Canaan,PG,27,PHO,19,503,100%,,,,,-11.5,-2.9,17,7,18,3,8,8,147,2,9,canaais01
88,Isaiah Canaan,PG,27,MIN,7,95,100%,,,,,-8.6,-7.3,4,0,4,0,2,0,44,0,1,canaais01
88,Isaiah Canaan,PG,27,MIL,4,31,100%,,,,,-35.8,-44.6,0,1,1,0,0,2,7,0,1,canaais01
89,Clint Capela,C,24,HOU,67,2249,,,,,100%,6.2,2.7,22,34,66,16,131,9,243,34,62,capelca01
90,DeMarre Carroll,PF,32,BRK,67,1703,,,23%,72%,5%,1.7,3.3,25,28,49,10,97,10,205,14,33,carrode01
91,Jevon Carter,PG,23,MEM,39,577,83%,17%,,,,-7.7,-6.0,16,8,24,5,11,1,165,2,6,carteje01
92,Vince Carter,PF,42,ATL,76,1330,,1%,44%,56%,,-6.3,-0.6,31,7,74,5,22,14,209,6,9,cartevi01
93,Wendell Carter Jr.,C,19,CHI,44,1110,,,,1%,99%,-13.4,-6.7,20,18,70,19,44,5,195,14,28,cartewe01
