,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Shareef Abdur-Rahim,PF,27,TOT,85,2684,,,6%,93%,1%,-2.5,2.3,56,72,95,29,185,,390,31,94,abdursh01
1,Shareef Abdur-Rahim,PF,27,ATL,53,1956,,,3%,97%,1%,-3.6,2.2,40,52,62,17,137,,286,22,71,abdursh01
1,Shareef Abdur-Rahim,PF,27,POR,32,728,,,15%,83%,2%,0.5,2.5,16,20,33,12,48,,104,9,23,abdursh01
2,Malik Allen,PF,25,MIA,45,616,,,,44%,56%,-4.2,-5.7,3,12,48,8,14,,39,1,10,allenma01
3,Ray Allen*,SG,28,SEA,56,2152,,68%,32%,,,1.9,5.5,74,56,58,18,105,,623,28,46,allenra02
4,Rafer Alston,PG,27,MIA,82,2581,99%,1%,,,,1.4,2.2,89,30,84,4,35,,841,3,16,alstora01
5,Chris Andersen,PF,25,DEN,71,1029,,,,87%,13%,0.5,-0.6,27,11,69,7,39,,72,3,18,anderch01
6,Derek Anderson,SG,29,POR,51,1810,1%,98%,1%,,,2.2,7.1,53,25,34,5,64,,506,11,14,anderde01
7,Kenny Anderson,PG,33,IND,44,905,100%,,,,,4.4,-3.0,30,16,29,1,21,,277,4,15,anderke01
8,Shandon Anderson,SG,30,NYK,80,1974,,62%,37%,,,-4.6,-6.0,51,47,101,13,75,,270,15,39,andersh01
9,Carmelo Anthony,SF,19,DEN,82,2995,,4%,88%,8%,,0.8,-0.8,66,68,67,51,213,,490,40,138,anthoca01
10,Robert Archibald,C-PF,23,TOT,32,256,,,1%,2%,97%,-4.4,-1.1,2,1,19,5,10,,29,0,2,archiro01
10,Robert Archibald,PF,23,PHO,1,6,,,,75%,25%,20.5,24.6,1,0,0,0,0,,2,0,0,archiro01
10,Robert Archibald,PF,23,ORL,1,4,,,82%,18%,,18.2,26.1,0,0,0,0,0,,0,0,0,archiro01
10,Robert Archibald,C,23,TOR,30,246,,,,,100%,-5.4,-2.2,1,1,19,5,10,,27,0,2,archiro01
11,Gilbert Arenas,PG,22,WAS,55,2066,84%,16%,,,,-5.4,1.3,127,59,56,26,120,,605,22,46,arenagi01
12,Brandon Armstrong,SG,23,NJN,56,434,23%,68%,9%,,,-13.7,-18.5,13,8,23,3,2,,34,0,6,armstbr01
