,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Shareef Abdur-Rahim,PF,31,SAC,6,51,,,,69%,32%,-3.3,-1.0,0,0,5,0,1,1,9,0,3,abdursh01
2,Arron Afflalo,SG,22,DET,75,970,,95%,5%,,,8.7,0.2,10,8,32,6,33,2,113,7,31,afflaar01
3,Maurice Ager,SG,23,TOT,26,165,,55%,35%,10%,,-11.8,-11.4,2,1,9,3,6,3,17,2,7,agerma01
3,Maurice Ager,SG,23,DAL,12,77,,68%,31%,1%,,-8.7,-14.2,1,0,5,2,2,0,8,0,3,agerma01
3,Maurice Ager,SG,23,NJN,14,88,,44%,39%,18%,,-14.4,-8.9,1,1,4,1,4,3,9,2,4,agerma01
4,Blake Ahearn,PG,23,MIA,12,177,57%,43%,,,,-23.9,-15.1,11,5,9,0,8,2,43,2,3,ahearbl01
5,LaMarcus Aldridge,PF,22,POR,76,2649,,,,73%,27%,-0.3,2.9,22,46,123,37,144,13,294,29,46,aldrila01
6,Malik Allen,PF,29,TOT,73,1096,,,,79%,20%,-1.6,0.8,12,16,90,7,10,10,105,3,11,allenma01
6,Malik Allen,PF,29,NJN,48,763,,,,76%,24%,-6.8,-1.3,9,12,48,4,7,6,70,3,7,allenma01
6,Malik Allen,PF,29,DAL,25,333,,,1%,88%,12%,10.5,5.8,3,4,42,3,3,4,35,0,4,allenma01
7,Ray Allen*,SG,32,BOS,73,2624,,85%,14%,,,12.6,3.3,59,42,80,13,71,13,501,11,45,allenra02
8,Tony Allen,SG,26,BOS,75,1373,5%,89%,6%,,,9.8,-2.7,34,40,74,16,79,8,266,13,32,allento01
9,Lance Allred,C,26,CLE,3,10,,,,,100%,-91.3,-91.3,0,0,0,0,1,0,0,0,0,allrela01
10,Morris Almond,SG,22,UTA,9,39,,95%,5%,,,-14.2,-21.9,1,1,1,0,2,1,7,0,2,almonmo01
11,Rafer Alston,PG,31,HOU,74,2526,96%,4%,,,,7.2,4.7,111,26,47,8,55,3,866,8,33,alstora01
12,Lou Amundson,PF,25,PHI,16,64,,,,62%,38%,-3.6,-3.8,1,1,8,0,4,1,0,1,2,amundlo01
13,Chris Andersen,C,29,NOH,5,34,,,,,100%,6.1,0.0,0,0,2,1,3,0,0,2,1,anderch01
14,Derek Anderson,SG,33,CHA,28,396,15%,75%,10%,,,-13.8,-9.8,15,6,30,2,14,3,94,2,3,anderde01
15,Carmelo Anthony,SF,23,DEN,77,2806,,16%,82%,2%,,2.6,-3.3,68,63,77,55,224,12,567,43,94,anthoca01
16,Joel Anthony,PF,25,MIA,24,498,,,,43%,57%,-13.6,-4.7,2,8,37,4,20,4,9,4,9,anthojo01
17,Gilbert Arenas,PG,26,WAS,13,425,100%,,,,,0.3,0.9,26,15,9,4,40,0,147,11,6,arenagi01
18,Trevor Ariza,SF,22,TOT,35,546,,3%,94%,3%,,2.7,-5.2,13,2,22,3,31,4,103,5,6,arizatr01
18,Trevor Ariza,SF,22,ORL,11,115,,6%,93%,1%,,6.2,0.4,1,1,5,1,7,3,20,1,1,arizatr01
18,Trevor Ariza,SF,22,LAL,24,431,,2%,95%,3%,,1.8,-6.6,12,1,17,2,24,1,83,4,5,arizatr01
19,Darrell Armstrong,PG,39,NJN,50,549,100%,,,,,-9.2,-4.0,28,7,8,3,5,11,163,1,6,armstda01
20,Hilton Armstrong,C,23,NOH,65,732,,,,5%,95%,-1.8,-9.6,7,21,65,18,34,5,50,5,23,armsthi01
21,Carlos Arroyo,PG,28,ORL,62,1269,100%,,,,,5.1,-1.2,41,15,38,8,41,14,541,11,14,arroyca01
22,Chucky Atkins,SG,33,DEN,24,352,89%,11%,,,,-3.6,-7.8,9,0,10,1,4,1,104,1,3,atkinch01
23,James Augustine,PF,23,ORL,25,149,,,,80%,20%,1.0,-5.1,3,1,10,0,4,0,5,2,3,augusja01
24,Kelenna Azubuike,SG,24,GSW,81,1732,,48%,51%,1%,,-0.1,-3.6,19,19,81,10,58,9,182,14,44,azubuke01
25,Renaldo Balkman,SF,23,NYK,65,952,,10%,64%,26%,,-3.3,5.3,11,7,77,10,43,9,95,5,19,balkmre01
26,Marcus Banks,PG,26,TOT,36,569,89%,11%,1%,,,-7.6,-7.0,19,6,24,1,10,7,141,4,8,banksma01
26,Marcus Banks,PG,26,PHO,24,310,100%,,,,,-8.6,-15.5,8,1,12,1,5,4,62,1,3,banksma01
26,Marcus Banks,PG,26,MIA,12,259,75%,24%,1%,,,-6.5,3.2,11,5,12,0,5,3,79,3,5,banksma01
27,Leandro Barbosa,SG,25,PHO,82,2421,35%,65%,,,,3.3,-6.4,49,38,94,15,93,15,507,24,55,barbole01
28,J.J. Barea,PG,23,DAL,44,460,100%,,,,,4.8,-0.4,16,12,22,4,16,12,135,5,13,bareajo01
29,Andrea Bargnani,PF,22,TOR,78,1861,,,,80%,20%,3.5,0.3,17,20,84,28,78,14,207,11,24,bargnan01
30,Matt Barnes,PF,27,GSW,73,1414,,1%,17%,75%,7%,0.1,-2.9,47,21,85,11,30,6,326,9,19,barnema02
31,Andre Barrett,PG,25,LAC,4,25,100%,,,,,-34.7,-26.6,1,0,1,0,1,0,17,0,0,barrean01
32,Earl Barron,C,26,MIA,46,889,,,,4%,97%,-12.5,-3.9,15,18,58,8,46,15,66,9,22,barroea01
33,Brent Barry,SF,36,SAS,31,554,,27%,55%,18%,,5.9,0.6,12,3,21,1,8,3,125,1,4,barrybr01
34,Brandon Bass,C,22,DAL,79,1557,,,,37%,63%,-0.9,-10.0,24,32,93,12,96,3,127,24,48,bassbr01
35,Maceo Baston,PF,32,TOR,15,103,,,1%,82%,17%,-2.5,-6.0,1,1,10,1,4,4,6,0,2,bastoma01
36,Shane Battier,SF,29,HOU,80,2907,,1%,79%,20%,,6.8,4.7,48,18,134,8,34,39,344,8,15,battish01
37,Marco Belinelli,SG,21,GSW,33,241,38%,60%,2%,,,-9.3,-11.9,3,4,3,3,5,0,35,2,5,belinma01
38,Charlie Bell,SG,28,MIL,68,1628,22%,65%,14%,,,-7.7,-0.3,43,24,46,4,35,11,476,3,31,bellch01
39,Raja Bell,SG,31,PHO,75,2646,,68%,32%,,,7.2,4.5,31,15,99,7,24,31,374,3,21,bellra01
40,Mike Bibby,PG,29,TOT,48,1573,98%,2%,,,,-1.4,1.1,84,28,44,2,31,16,635,8,17,bibbymi01
40,Mike Bibby,PG,29,SAC,15,473,100%,,,,,-2.8,-0.6,25,11,21,0,13,3,174,4,5,bibbymi01
40,Mike Bibby,PG,29,ATL,33,1100,98%,2%,,,,-0.8,1.7,59,17,23,2,18,13,461,4,12,bibbymi01
41,Andris Biedriņš,C,21,GSW,76,2078,,,,,100%,4.9,6.2,16,45,178,10,87,15,169,17,47,biedran01
42,Chauncey Billups,PG,31,DET,78,2522,97%,3%,,,,10.9,6.3,85,45,48,25,156,9,1179,28,25,billuch01
43,Steve Blake,PG,27,POR,81,2424,100%,,,,,1.1,6.2,78,14,60,6,7,21,930,1,11,blakest01
44,Andray Blatche,PF,21,WAS,82,1675,,,4%,69%,27%,-6.4,-10.2,33,39,140,16,78,17,212,20,59,blatcan01
45,Mark Blount,C,32,MIA,69,1542,,,,24%,76%,-11.4,-3.2,17,21,75,11,68,17,97,20,29,blounma01
46,Keith Bogans,SG,27,ORL,82,2198,,93%,7%,,,7.2,3.0,32,11,83,3,43,17,241,9,25,boganke01
47,Andrew Bogut,C,23,MIL,78,2720,,,,,100%,-7.0,1.8,68,49,163,15,146,53,436,29,61,bogutan01
48,Matt Bonner,PF,27,SAS,68,853,,,1%,83%,15%,4.7,-0.9,8,10,48,11,14,4,71,2,8,bonnema01
49,Josh Boone,PF,23,NJN,70,1773,,,1%,63%,36%,-4.9,1.6,20,31,100,5,97,9,123,22,48,boonejo01
50,Calvin Booth,C,31,PHI,31,204,,,,,100%,-2.2,-2.5,0,3,24,0,4,4,18,0,2,boothca01
51,Carlos Boozer,PF,26,UTA,81,2827,,,,74%,26%,7.5,0.1,71,64,146,49,202,5,489,56,92,boozeca01
52,Chris Bosh*,C,23,TOR,67,2425,,,,31%,69%,7.8,11.1,35,56,84,33,257,18,408,46,64,boshch01
53,Bruce Bowen,SF,36,SAS,81,2448,,6%,77%,17%,,5.4,-0.2,31,7,59,5,19,28,213,2,13,bowenbr01
