,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Shareef Abdur-Rahim,C,30,SAC,80,2015,,,,32%,68%,-4.8,-5.9,31,35,122,27,110,7,261,28,68,abdursh01
2,Hassan Adams,SG,22,NJN,61,495,,73%,26%,1%,,0.6,1.3,7,8,21,2,16,4,31,2,11,adamsha01
3,Maurice Ager,SG,22,DAL,32,214,,28%,71%,1%,,-15.2,-24.7,6,4,11,4,12,1,15,1,7,agerma01
4,LaMarcus Aldridge,C,21,POR,63,1392,,,,1%,99%,-1.8,4.9,10,9,107,13,54,9,59,13,22,aldrila01
5,Malik Allen,PF,28,CHI,60,638,,,,43%,57%,5.2,-0.2,7,5,49,2,16,4,41,4,11,allenma01
6,Ray Allen*,SG,31,SEA,55,2219,,91%,9%,,,-1.6,3.9,75,54,52,16,116,4,506,32,34,allenra02
7,Tony Allen,SG,25,BOS,33,805,,79%,20%,1%,,-2.1,2.3,25,19,37,14,61,4,132,19,29,allento01
8,Rafer Alston,PG,30,HOU,82,3040,99%,1%,,,,8.2,11.2,115,29,82,9,44,4,1001,4,31,alstora01
9,Lou Amundson,PF,24,TOT,11,89,,,7%,87%,5%,-11.8,-8.9,1,1,11,0,4,2,2,0,4,amundlo01
9,Lou Amundson,PF,24,UTA,1,2,,,,100%,,13.3,10.1,0,0,0,0,0,0,0,0,0,amundlo01
9,Lou Amundson,PF,24,PHI,10,87,,,8%,87%,5%,-12.4,-9.3,1,1,11,0,4,2,2,0,4,amundlo01
10,Alan Anderson,SG,24,CHA,17,256,,48%,48%,4%,,-3.0,0.9,9,7,17,3,11,3,47,5,5,anderal01
11,Derek Anderson,SF,32,CHA,50,1190,3%,40%,55%,2%,,1.3,7.3,30,13,37,7,34,13,299,12,7,anderde01
12,Carmelo Anthony,SF,22,DEN,65,2486,,15%,81%,5%,,2.0,0.3,71,63,58,53,209,12,544,52,104,anthoca01
13,Rafael Araújo,C,26,UTA,28,248,,,,,100%,10.5,7.7,5,2,18,3,11,0,21,1,7,araujra01
14,Gilbert Arenas,PG,25,WAS,74,2942,100%,,,,,2.5,13.4,103,64,105,46,292,25,982,73,68,arenagi01
15,Trevor Ariza,SG,21,ORL,57,1278,,32%,61%,7%,,2.7,2.5,24,23,58,15,84,10,141,23,29,arizatr01
16,Darrell Armstrong,PG,38,IND,81,1275,100%,,,,,-2.3,1.1,47,17,34,3,19,30,442,5,5,armstda01
17,Hilton Armstrong,C,22,NOK,56,634,,,,16%,84%,-0.8,1.1,6,7,37,8,38,6,23,10,9,armsthi01
18,Carlos Arroyo,PG,27,ORL,72,1304,88%,12%,,,,2.0,1.4,44,15,40,13,72,21,453,21,26,arroyca01
19,Chucky Atkins,PG,32,MEM,75,2064,100%,,,,,-3.5,4.4,76,22,44,18,84,15,762,14,33,atkinch01
20,James Augustine,PF,22,ORL,2,7,,,,,100%,-7.7,-8.7,0,0,1,0,0,0,5,0,1,augusja01
21,Kelenna Azubuike,SG,23,GSW,41,669,2%,86%,12%,,,-11.4,-13.1,15,12,24,2,38,8,63,5,17,azubuke01
22,Renaldo Balkman,SF,22,NYK,68,1064,,11%,64%,25%,1%,1.9,7.4,20,9,69,7,41,7,106,8,18,balkmre01
23,Marcus Banks,PG,25,PHO,45,503,100%,,,,,-13.1,-23.8,12,11,22,11,28,7,135,5,10,banksma01
24,Leandro Barbosa,SG,24,PHO,80,2613,33%,66%,,,,9.3,4.5,70,32,99,23,107,31,756,32,47,barbole01
25,J.J. Barea,PG,22,DAL,33,191,100%,,,,,-7.4,-16.3,10,2,8,1,13,8,57,4,5,bareajo01
26,Andrea Bargnani,PF,21,TOR,65,1629,,,6%,64%,30%,1.4,0.3,27,24,94,21,64,27,113,14,23,bargnan01
27,Matt Barnes,PF,26,GSW,76,1813,,2%,43%,54%,2%,-0.1,0.9,53,26,104,13,56,8,365,16,25,barnema02
28,Andre Barrett,PG,24,CHI,6,29,100%,,,,,-0.2,-5.6,1,2,1,1,0,0,14,0,1,barrean01
29,Earl Barron,C,25,MIA,28,203,,,,2%,98%,-5.4,-4.9,1,4,13,0,8,7,13,2,5,barroea01
30,Brent Barry,SG,35,SAS,75,1631,,94%,6%,,,6.6,-4.6,32,16,48,8,35,10,305,7,12,barrybr01
31,Brandon Bass,PF,21,NOK,21,162,,,15%,85%,,-8.1,-6.6,2,1,4,4,7,2,8,0,3,bassbr01
32,Maceo Baston,PF,31,IND,47,405,,,7%,83%,11%,-3.6,-0.7,10,7,30,9,21,20,34,8,9,bastoma01
33,Esteban Batista,PF,23,ATL,13,81,,,,10%,90%,-18.5,-13.4,0,1,7,1,4,3,8,1,2,batises01
34,Tony Battie,PF,30,ORL,66,1575,,,,94%,6%,0.4,-1.1,22,14,132,5,33,10,76,9,22,battito01
35,Shane Battier,SF,28,HOU,82,2988,,,77%,23%,,6.6,3.8,41,17,127,8,40,51,406,7,26,battish01
36,Charlie Bell,SG,27,MIL,82,2848,5%,82%,13%,,,-5.3,-1.8,50,28,104,7,78,25,557,24,47,bellch01
37,Raja Bell,SG,30,PHO,78,2917,,68%,32%,,,8.9,4.3,37,19,108,14,62,71,475,13,23,bellra01
38,Mike Bibby,PG,28,SAC,82,2784,100%,,,,,-1.2,2.4,106,62,71,12,102,30,867,22,28,bibbymi01
39,Andris Biedriņš,C,20,GSW,82,2382,,,,,100%,2.5,7.5,32,45,202,15,75,23,199,19,69,biedran01
40,Chauncey Billups,PG,30,DET,70,2533,93%,7%,,,,7.6,7.9,68,40,72,21,130,7,1100,18,25,billuch01
41,Steve Blake,PG,26,TOT,82,2225,100%,,,,,-1.0,-1.1,88,17,56,7,13,12,906,3,13,blakest01
41,Steve Blake,PG,26,MIL,33,583,100%,,,,,-11.3,-7.7,19,3,20,2,3,3,192,0,6,blakest01
41,Steve Blake,PG,26,DEN,49,1642,100%,1%,,,,2.6,1.3,69,14,36,5,10,9,714,3,7,blakest01
42,Will Blalock,PG,23,DET,14,166,100%,,,,,-6.4,-11.6,9,2,3,1,3,0,37,0,2,blalowi01
43,Andray Blatche,PF,20,WAS,56,682,,,,78%,22%,-6.8,-7.3,17,14,43,8,21,11,92,5,21,blatcan01
44,Mark Blount,C,31,MIN,82,2544,,,,,100%,-6.3,-5.5,28,40,141,26,100,16,152,22,47,blounma01
45,Keith Bogans,SG,26,ORL,59,990,,64%,35%,,,3.1,2.7,24,6,41,5,23,8,124,2,13,boganke01
46,Andrew Bogut,C,22,MIL,66,2258,,,,,100%,-3.2,3.6,69,37,102,14,88,77,433,21,47,bogutan01
47,Matt Bonner,PF,26,SAS,56,653,,,7%,92%,2%,2.3,-8.3,8,3,34,4,14,1,52,4,7,bonnema01
48,Josh Boone,PF,22,NJN,61,669,,,,62%,38%,2.3,3.4,6,15,49,8,50,4,22,11,16,boonejo01
49,Calvin Booth,C,30,WAS,44,380,,,,14%,86%,5.6,7.1,1,4,42,3,3,10,38,0,2,boothca01
50,Carlos Boozer,PF,25,UTA,74,2557,,,,89%,11%,3.1,-0.5,60,66,98,36,183,5,468,51,91,boozeca01
51,Chris Bosh*,C,22,TOR,69,2658,,,,42%,58%,3.2,6.0,39,68,85,29,263,34,390,54,67,boshch01
