,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Alex Acker,SG,26,TOT,25,199,15%,75%,10%,,,-0.3,8.9,1,5,5,1,5,1,29,0,3,ackeral01
1,Alex Acker,SG,26,DET,7,20,,100%,,,,44.0,44.7,0,0,0,0,1,1,3,0,0,ackeral01
1,Alex Acker,SG,26,LAC,18,179,17%,72%,11%,,,-5.3,4.9,1,5,5,1,4,0,26,0,3,ackeral01
2,Hassan Adams,SG,24,TOR,12,52,,35%,65%,,,-15.0,-12.2,2,1,3,0,3,1,2,0,4,adamsha01
3,Arron Afflalo,SG,23,DET,74,1234,,55%,45%,,,0.1,0.8,14,10,77,3,25,1,95,7,14,afflaar01
4,Maurice Ager,SG,24,NJN,20,97,71%,28%,2%,,,-5.6,-2.9,3,0,8,1,4,2,7,0,4,agerma01
5,Blake Ahearn,PG,24,SAS,3,19,100%,,,,,18.6,14.6,0,1,3,0,0,0,5,0,1,ahearbl01
6,Alexis Ajinça,PF,20,CHA,31,182,,,,72%,28%,1.2,2.7,4,2,14,3,8,4,7,0,5,ajincal01
7,LaMarcus Aldridge,PF,23,POR,81,3004,,,,82%,18%,8.8,10.2,27,42,113,34,156,3,398,33,51,aldrila01
8,Joe Alexander,SF,22,MIL,59,716,,4%,60%,35%,1%,-3.3,-2.5,25,13,60,7,38,11,90,6,20,alexajo01
9,Malik Allen,PF,30,MIL,49,579,,,,56%,44%,-1.2,0.1,7,5,63,4,8,4,85,2,12,allenma01
10,Ray Allen*,SG,33,BOS,79,2876,,81%,19%,,,11.4,10.8,68,47,95,6,81,13,477,20,38,allenra02
11,Tony Allen,SG,27,BOS,46,887,,81%,19%,,,6.7,-2.2,26,18,37,21,59,5,147,23,29,allento01
