,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Jeff Adrien,PF,24,GSW,23,196,,3%,7%,76%,15%,-0.4,2.4,3,2,16,1,8,2,22,3,14,adrieje01
2,Arron Afflalo,SG,25,DEN,69,2324,1%,88%,11%,,,4.0,-2.7,25,19,79,8,65,5,385,12,39,afflaar01
3,Maurice Ager,SG,26,MIN,4,29,83%,17%,,,,-12.6,-5.6,1,1,1,2,0,1,2,0,0,agerma01
4,Alexis Ajinça,C,22,TOT,34,340,,,,,100%,-0.1,4.6,5,4,36,5,10,1,23,2,5,ajincal01
4,Alexis Ajinça,C,22,DAL,10,75,,,,,100%,-7.2,-12.2,1,0,5,0,2,1,5,1,2,ajincal01
4,Alexis Ajinça,C,22,TOR,24,265,,,,,100%,1.9,9.4,4,4,31,5,8,0,18,1,3,ajincal01
5,Solomon Alabi,C,22,TOR,12,59,,,,15%,85%,-17.5,-10.8,0,2,5,0,1,0,4,0,3,alabiso01
6,Cole Aldrich,C,22,OKC,18,142,,,,7%,93%,2.9,-1.3,2,1,21,2,2,0,10,0,2,aldrico01
7,LaMarcus Aldridge,PF,25,POR,81,3211,,,,51%,50%,4.5,15.0,35,64,139,19,197,11,411,46,54,aldrila01
8,Malik Allen,PF,32,ORL,18,178,,,,24%,76%,-11.6,-18.5,1,0,20,1,0,1,12,0,1,allenma01
9,Ray Allen*,SG,35,BOS,80,2890,2%,95%,3%,,,8.3,8.3,56,38,67,15,59,7,461,17,35,allenra02
10,Tony Allen,SG,29,MEM,72,1494,19%,81%,,,,4.0,2.6,34,28,70,12,88,8,219,18,36,allento01
11,Al-Farouq Aminu,SF,20,LAC,81,1452,,,88%,12%,,-7.3,-5.8,47,31,64,16,56,4,132,12,37,aminual01
