,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Álex Abrines,SG,23,OKC,68,1055,,76%,24%,,,-1.2,-2.2,17,7,69,4,15,10,94,4,8,abrinal01
2,Quincy Acy,PF,26,TOT,38,558,,,2%,81%,17%,-3.9,2.8,5,7,31,6,27,5,42,7,8,acyqu01
2,Quincy Acy,PF,26,DAL,6,48,,,26%,70%,5%,-29.0,-26.0,2,0,3,0,2,1,0,1,0,acyqu01
2,Quincy Acy,PF,26,BRK,32,510,,,,82%,18%,-1.6,5.5,3,7,28,6,25,4,42,6,8,acyqu01
3,Steven Adams,C,23,OKC,80,2389,,,,,100%,3.5,7.7,37,57,75,32,118,7,217,28,43,adamsst01
4,Arron Afflalo,SG,31,SAC,61,1580,1%,41%,57%,1%,,-7.5,-5.8,18,10,52,8,32,3,185,7,28,afflaar01
5,Alexis Ajinça,C,28,NOP,39,584,,,,,100%,-5.0,-3.6,7,8,45,8,22,0,27,7,14,ajincal01
6,Cole Aldrich,C,28,MIN,62,531,,,,,100%,-1.6,-0.6,0,6,39,7,10,2,59,3,7,aldrico01
7,LaMarcus Aldridge,PF,31,SAS,72,2335,,,,69%,31%,5.8,-5.0,33,34,95,15,112,4,345,17,32,aldrila01
8,Lavoy Allen,PF,27,IND,61,871,,,,84%,16%,-5.9,-7.3,18,7,51,2,11,0,135,3,13,allenla01
9,Tony Allen,SG,35,MEM,71,1914,2%,77%,21%,,,1.6,1.7,49,30,79,6,59,7,214,13,73,allento01
10,Al-Farouq Aminu,PF,26,POR,61,1773,,,,95%,5%,1.8,3.9,35,30,48,9,69,11,241,13,24,aminual01
11,Chris Andersen,C,38,CLE,12,114,,,,4%,96%,4.5,1.2,3,1,13,1,6,1,14,0,2,anderch01
12,Alan Anderson,SF,34,LAC,30,308,,6%,86%,8%,,-10.7,-16.1,3,2,17,0,7,1,23,2,0,anderal01
13,Justin Anderson,SF,23,TOT,75,1228,,20%,67%,13%,,-7.8,-4.2,24,22,62,10,62,6,156,10,17,anderju01
13,Justin Anderson,SF,23,DAL,51,710,,8%,82%,10%,,-9.6,-7.8,17,12,37,6,43,5,73,6,11,anderju01
13,Justin Anderson,SF,23,PHI,24,518,,36%,46%,18%,,-5.3,0.7,7,10,25,4,19,1,83,4,6,anderju01
14,Kyle Anderson,SF,23,SAS,72,1020,,3%,80%,17%,,10.3,3.2,15,11,28,2,25,7,215,3,15,anderky01
15,Ryan Anderson,PF,28,HOU,72,2116,,,,95%,5%,9.0,6.1,14,23,76,10,62,12,185,11,24,anderry01
16,Giannis Antetokounmpo,SF,22,MIL,80,2845,,3%,66%,31%,,1.0,3.2,83,69,103,40,282,7,1057,62,74,antetgi01
17,Carmelo Anthony,SF,32,NYK,74,2538,,,82%,18%,,-4.7,-2.3,69,42,88,26,156,5,496,31,37,anthoca01
18,Joel Anthony,C,34,SAS,19,122,,,,18%,82%,-6.2,-14.6,2,0,6,1,2,0,7,0,1,anthojo01
19,Trevor Ariza,SF,31,HOU,80,2773,,2%,78%,21%,,6.3,0.4,40,16,66,5,52,10,427,10,22,arizatr01
20,Darrell Arthur,PF,28,DEN,41,639,,,,58%,42%,-0.8,-1.0,20,7,50,6,10,1,99,2,5,arthuda01
21,Ömer Aşık,C,30,NOP,31,482,,,,1%,99%,-5.2,-3.7,7,3,31,2,19,1,38,4,13,asikom01
22,D.J. Augustin,PG,29,ORL,78,1538,100%,,,,,-15.0,-13.1,59,20,35,10,65,14,482,10,35,augusdj01
23,Luke Babbitt,SF,27,MIA,68,1065,,1%,22%,78%,,1.0,-0.2,11,3,58,8,4,3,86,0,7,babbilu01
24,Ron Baker,SG,23,NYK,52,857,23%,62%,15%,,,-3.1,1.0,36,14,35,2,17,10,248,4,16,bakerro01
25,Wade Baldwin,PG,20,MEM,33,405,83%,17%,,,,-16.1,-18.7,23,8,19,4,14,4,152,1,10,baldwwa01
26,Leandro Barbosa,SG,34,PHO,67,963,3%,90%,7%,,,-3.0,3.8,29,14,24,2,18,8,184,6,23,barbole01
27,J.J. Barea,PG,32,DAL,35,771,100%,,,,,0.2,4.3,49,11,9,1,18,24,430,2,15,bareajo01
28,Harrison Barnes,PF,24,DAL,79,2803,,,8%,91%,1%,-3.0,0.7,37,44,67,13,123,6,325,30,50,barneha02
29,Matt Barnes,SF,36,TOT,74,1777,,2%,72%,26%,,-2.0,-1.9,74,18,107,8,31,6,447,4,21,barnema02
