Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers,67,240.4,46.6,92.3,.506,13.3,35.4,.376,33.3,56.9,.586,16.6,21.2,.782,9.9,31.3,41.2,30.7,7.7,5.9,13.2,21.4,123.1
2,Boston Celtics,66,241.9,43.8,90.2,.486,16.4,42.4,.387,27.4,47.8,.573,16.9,20.8,.809,10.6,36.3,46.9,26.5,6.5,6.6,12.1,16.7,120.9
3,Oklahoma City Thunder,66,241.5,44.7,89.5,.500,13.5,34.2,.395,31.2,55.3,.565,17.8,21.4,.833,8.7,32.9,41.7,26.9,8.2,6.7,12.5,19.3,120.8
4,Milwaukee Bucks,67,241.1,43.3,88.4,.490,14.3,38.1,.374,29.1,50.4,.577,19.5,25.2,.773,9.2,34.9,44.0,26.4,6.9,5.0,12.6,19.4,120.4
5,Atlanta Hawks,66,241.5,43.1,93.0,.464,13.6,37.6,.362,29.5,55.4,.533,19.6,24.3,.804,12.9,32.0,44.9,26.1,7.5,4.6,13.3,18.4,119.4
6,Dallas Mavericks,67,240.0,43.3,89.7,.483,14.7,39.7,.371,28.6,50.1,.572,17.6,23.1,.761,9.7,32.4,42.2,25.5,6.8,4.8,12.4,18.6,119.0
7,Sacramento Kings,65,242.3,44.3,91.2,.486,14.4,39.0,.370,29.9,52.2,.572,15.4,20.9,.737,10.5,33.1,43.5,28.8,7.4,3.9,13.3,20.1,118.4
8,Golden State Warriors,65,242.3,43.4,92.2,.471,14.8,39.5,.375,28.6,52.7,.543,16.5,21.2,.781,12.3,34.4,46.7,28.9,6.9,4.3,14.5,20.0,118.2
9,Utah Jazz,66,241.9,42.7,90.8,.470,13.3,37.0,.360,29.4,53.8,.546,18.9,22.8,.826,12.6,33.6,46.2,28.1,6.7,5.9,15.5,19.1,117.7
10,Los Angeles Lakers,67,241.9,43.6,87.5,.498,11.6,30.8,.377,32.0,56.7,.564,18.4,23.8,.772,8.1,34.4,42.5,28.4,7.6,5.6,13.7,15.9,117.1
11,Phoenix Suns,67,241.5,42.5,86.3,.492,12.0,32.0,.375,30.5,54.3,.562,19.8,24.7,.803,10.3,34.0,44.3,26.6,7.3,6.0,14.8,18.2,116.8
12,Los Angeles Clippers,66,240.4,42.7,86.8,.492,13.0,33.5,.388,29.7,53.3,.558,18.4,22.5,.818,9.9,32.7,42.7,25.8,7.8,5.1,13.0,18.8,116.8
13,New Orleans Pelicans,66,240.4,42.8,87.8,.488,12.3,32.4,.381,30.5,55.5,.550,18.0,23.5,.767,10.8,33.8,44.6,27.0,8.2,5.0,13.2,18.8,116.0
14,Philadelphia 76ers,66,240.8,41.6,89.4,.466,11.5,32.3,.358,30.1,57.1,.526,20.4,24.7,.827,11.1,31.6,42.7,24.6,8.5,5.7,11.8,20.7,115.2
15,Denver Nuggets,67,240.4,44.1,88.9,.496,11.5,31.1,.369,32.6,57.8,.565,15.1,19.9,.760,10.7,33.4,44.1,29.3,7.1,5.5,12.6,18.2,114.8
16,Washington Wizards,66,240.4,43.2,91.6,.471,12.2,35.1,.348,30.9,56.5,.547,15.7,20.4,.767,9.2,31.4,40.6,28.2,7.7,5.2,13.8,19.7,114.2
17,Toronto Raptors,67,241.9,42.9,90.4,.475,11.9,33.5,.355,31.0,56.9,.546,16.2,21.8,.746,11.1,32.4,43.5,29.2,7.6,4.9,13.4,18.4,113.9
18,Cleveland Cavaliers,66,241.9,42.2,88.0,.479,13.7,37.4,.366,28.5,50.6,.563,15.7,20.6,.763,10.2,34.2,44.4,27.8,7.4,4.8,13.4,18.2,113.8
19,Minnesota Timberwolves,66,241.9,41.3,85.2,.485,12.4,32.2,.385,28.9,53.0,.545,18.3,23.3,.785,9.5,34.7,44.2,26.3,7.5,6.0,14.5,19.3,113.2
20,Houston Rockets,66,241.9,41.4,90.3,.458,12.2,34.8,.350,29.2,55.6,.526,18.2,23.7,.769,11.3,34.6,45.9,24.7,7.7,4.5,13.0,21.0,113.2
21,New York Knicks,66,240.0,40.8,88.6,.461,13.0,35.8,.363,27.8,52.8,.528,17.4,22.2,.784,12.9,33.0,45.8,23.8,7.3,4.1,13.4,17.7,112.2
22,San Antonio Spurs,67,240.7,42.0,90.7,.463,12.6,35.9,.351,29.4,54.7,.536,15.7,20.0,.783,10.4,33.1,43.5,29.7,7.2,6.3,14.9,17.6,112.2
23,Detroit Pistons,66,241.1,41.7,88.9,.470,11.3,31.8,.354,30.5,57.1,.534,17.4,22.2,.785,11.0,33.0,44.0,26.3,6.2,4.9,15.5,21.6,112.1
24,Chicago Bulls,67,244.1,41.6,89.6,.465,11.7,32.8,.358,29.9,56.8,.526,16.8,21.2,.794,11.1,32.4,43.5,24.7,7.6,4.9,12.3,18.9,111.8
25,Brooklyn Nets,66,241.1,41.2,89.8,.459,13.7,37.4,.368,27.5,52.5,.524,15.7,20.7,.758,11.4,32.3,43.7,26.5,6.9,5.1,12.8,19.1,111.8
26,Orlando Magic,67,241.5,40.4,84.9,.476,10.9,30.9,.354,29.5,54.0,.546,18.9,25.1,.754,10.7,31.9,42.6,24.5,8.1,5.2,14.8,20.5,110.7
27,Miami Heat,66,240.4,39.8,85.5,.465,12.2,32.9,.371,27.5,52.6,.524,18.4,22.6,.813,9.4,32.7,42.1,25.7,7.5,3.5,12.8,17.8,110.1
28,Portland Trail Blazers,66,243.0,39.4,89.5,.441,11.7,33.3,.353,27.7,56.2,.493,17.1,21.4,.797,12.3,29.7,42.1,22.9,7.9,4.5,15.1,20.4,107.7
29,Charlotte Hornets,67,240.7,40.3,88.1,.457,11.9,33.6,.353,28.4,54.5,.521,14.6,18.7,.782,9.8,31.2,41.1,24.6,6.8,4.6,13.7,18.5,106.9
30,Memphis Grizzlies,67,241.1,38.2,87.4,.437,13.3,38.2,.347,25.0,49.1,.508,16.0,21.0,.762,10.3,31.8,42.1,24.8,7.9,6.3,15.1,19.3,105.7
,League Average,66,241.3,42.3,89.1,.475,12.8,35.0,.367,29.5,54.1,.545,17.4,22.2,.783,10.6,33.0,43.6,26.7,7.4,5.2,13.6,19.1,114.8
