,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,29.3,16,5,.762,15,6,115.9,108.9,+7.0,97.3,.293,.407,.595,,.561,14.0,26.1,.222,,.525,13.6,81.9,.251
2,Boston Celtics,25.0,10,7,.588,11,6,111.3,106.3,+5.0,96.4,.285,.429,.572,,.527,12.7,21.0,.233,,.490,11.5,80.5,.234
3,Los Angeles Clippers,27.9,7,6,.538,8,5,115.4,111.1,+4.3,98.0,.291,.380,.585,,.544,11.8,21.5,.232,,.542,12.6,80.6,.209
4,Toronto Raptors,27.1,7,4,.636,7,4,108.3,104.2,+4.1,99.1,.240,.455,.559,,.525,11.8,17.6,.187,,.507,13.7,82.2,.211
5,Utah Jazz,26.8,3,4,.429,4,3,122.2,118.5,+3.7,91.5,.284,.455,.616,,.583,11.5,22.8,.220,,.554,11.4,75.1,.169
6,Miami Heat,27.1,14,7,.667,12,9,113.5,111.5,+2.0,95.9,.322,.433,.587,,.537,12.3,19.1,.266,,.529,13.0,77.3,.215
7,Milwaukee Bucks,29.8,5,5,.500,5,5,109.7,108.5,+1.2,100.3,.279,.426,.568,,.537,13.2,20.5,.202,,.527,13.5,83.8,.241
8,Houston Rockets,30.2,5,7,.417,6,6,108.3,107.5,+0.8,98.6,.235,.545,.569,,.535,12.4,14.6,.186,,.534,15.4,78.0,.209
9,Denver Nuggets,25.2,9,10,.474,8,11,113.6,116.0,-2.4,94.1,.260,.392,.584,,.545,13.2,23.0,.212,,.551,12.7,76.8,.233
10,Oklahoma City Thunder,25.7,3,4,.429,2,5,102.4,108.7,-6.3,100.1,.281,.428,.542,,.500,15.0,20.1,.217,,.535,11.5,84.6,.146
11,Orlando Magic,27.0,1,4,.200,1,4,102.5,111.3,-8.8,104.4,.237,.449,.547,,.505,13.0,13.5,.199,,.572,14.5,82.0,.177
12,Dallas Mavericks,26.2,2,4,.333,1,5,112.7,122.0,-9.3,102.1,.297,.421,.580,,.549,11.2,16.9,.215,,.579,10.5,80.4,.248
13,Portland Trail Blazers,26.6,1,4,.200,1,4,104.6,115.0,-10.4,101.9,.283,.347,.537,,.492,13.9,21.4,.224,,.552,13.0,72.7,.222
14,Indiana Pacers,26.2,0,4,.000,1,3,104.2,115.1,-10.9,96.7,.252,.399,.565,,.530,14.6,13.7,.196,,.545,13.2,76.9,.288
15,Philadelphia 76ers,26.4,0,4,.000,1,3,105.5,117.9,-12.4,95.2,.381,.360,.512,,.443,10.9,26.8,.310,,.523,9.7,77.6,.255
16,Brooklyn Nets,25.4,0,4,.000,0,4,102.2,122.0,-19.8,103.5,.268,.504,.518,,.482,12.4,18.1,.195,,.592,10.6,79.1,.203
,League Average,27.2,,,,5,5,111.3,111.3,,97.6,.281,.427,.574,,.534,12.8,20.4,.221,,.534,12.8,79.6,.221
