,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Miami Heat,28.8,16,7,.696,17,6,109.6,101.6,+8.0,88.0,.364,.258,.552,,.505,12.8,26.1,.271,,.466,14.0,74.0,.229
2,San Antonio Spurs,28.9,10,4,.714,10,4,110.3,103.9,+6.4,92.4,.290,.287,.574,,.541,13.8,21.8,.212,,.480,12.6,74.8,.216
3,Oklahoma City Thunder,25.7,13,7,.650,13,7,111.8,107.4,+4.4,90.6,.306,.240,.558,,.508,11.3,23.6,.251,,.491,13.7,74.7,.262
4,Indiana Pacers,26.4,6,5,.545,6,5,102.4,100.9,+1.5,88.0,.289,.225,.507,,.461,14.4,29.8,.223,,.469,13.2,75.2,.217
5,Boston Celtics,30.1,11,9,.550,11,9,100.4,99.2,+1.2,87.8,.280,.211,.516,,.468,13.0,20.1,.224,,.464,13.4,75.1,.203
6,Memphis Grizzlies,26.1,3,4,.429,4,3,102.8,102.0,+0.8,87.7,.403,.155,.509,,.449,14.7,32.6,.300,,.493,15.0,75.9,.244
7,Denver Nuggets,26.0,3,4,.429,4,3,107.1,106.6,+0.5,90.3,.227,.213,.492,,.460,10.2,33.0,.163,,.461,11.0,66.7,.186
8,Philadelphia 76ers,24.7,7,6,.538,6,7,96.9,98.3,-1.4,88.5,.312,.168,.482,,.436,11.5,23.9,.225,,.459,14.1,76.8,.198
9,Chicago Bulls,27.8,2,4,.333,3,3,95.7,97.6,-1.9,88.1,.229,.157,.475,,.448,13.9,26.8,.149,,.428,9.9,78.2,.248
10,Los Angeles Lakers,28.5,5,7,.417,4,8,105.4,110.0,-4.6,89.2,.285,.207,.502,,.454,11.8,31.0,.221,,.474,9.7,69.7,.200
11,Los Angeles Clippers,26.8,4,7,.364,4,7,101.3,106.5,-5.2,88.9,.315,.217,.530,,.499,14.7,22.2,.210,,.491,14.5,71.0,.268
12,Atlanta Hawks,28.1,2,4,.333,2,4,91.8,97.1,-5.3,87.9,.204,.237,.475,,.438,15.1,22.6,.160,,.461,13.0,82.3,.211
13,Dallas Mavericks,32.6,0,4,.000,1,3,102.9,110.1,-7.2,90.6,.343,.276,.519,,.455,13.9,24.7,.285,,.520,12.8,80.5,.265
14,Orlando Magic,27.8,1,4,.200,1,4,94.8,107.0,-12.2,86.6,.244,.316,.486,,.452,14.0,22.6,.172,,.480,13.3,68.4,.196
15,New York Knicks,27.9,1,4,.200,1,4,95.2,111.3,-16.1,86.9,.297,.248,.499,,.451,18.1,30.1,.226,,.511,13.7,74.1,.315
16,Utah Jazz,25.0,0,4,.000,0,4,93.9,111.3,-17.4,91.9,.306,.131,.443,,.395,12.2,32.0,.216,,.533,11.6,80.7,.213
,League Average,27.6,,,,5,5,103.6,103.6,,89.0,.300,.225,.520,,.476,13.1,25.6,.226,,.476,13.1,74.4,.226
