,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Milwaukee Bucks,27.6,10,5,.667,11,4,111.1,102.5,+8.6,100.1,.317,.431,.560,,.523,11.3,21.5,.231,,.474,10.8,83.0,.207
2,Toronto Raptors,28.4,16,8,.667,16,8,110.0,104.4,+5.6,96.0,.275,.406,.561,,.514,11.2,18.9,.228,,.491,14.0,77.7,.233
3,Golden State Warriors,29.1,14,8,.636,13,9,115.3,111.9,+3.4,98.1,.282,.380,.589,,.548,13.3,24.8,.230,,.522,13.1,76.6,.243
4,Houston Rockets,29.5,6,5,.545,7,4,110.9,107.6,+3.3,97.0,.290,.510,.574,,.537,14.3,23.1,.221,,.499,12.9,75.0,.217
5,Philadelphia 76ers,27.2,7,5,.583,7,5,109.9,106.8,+3.1,98.9,.301,.331,.559,,.514,14.4,27.2,.238,,.488,11.4,79.5,.246
6,Denver Nuggets,25.4,7,7,.500,8,6,114.4,112.5,+1.9,92.6,.279,.308,.538,,.495,8.7,27.3,.218,,.497,8.8,74.8,.212
7,Boston Celtics,26.2,5,4,.556,4,5,102.2,103.6,-1.4,99.9,.288,.392,.539,,.491,13.5,16.6,.231,,.491,10.9,82.4,.199
8,Portland Trail Blazers,26.6,8,8,.500,7,9,110.6,112.0,-1.4,96.0,.274,.363,.541,,.501,11.3,24.4,.210,,.503,11.3,72.4,.234
9,San Antonio Spurs,28.3,3,4,.429,3,4,112.4,114.5,-2.1,91.9,.270,.233,.542,,.503,8.1,24.2,.208,,.516,8.7,76.8,.177
10,Oklahoma City Thunder,26.2,1,4,.200,2,3,105.4,111.2,-5.8,99.9,.295,.365,.541,,.500,13.5,22.7,.223,,.519,12.7,75.7,.209
11,Indiana Pacers,27.7,0,4,.000,1,3,96.3,104.2,-7.9,95.3,.246,.356,.496,,.461,11.5,16.6,.177,,.517,15.2,81.1,.206
12,Utah Jazz,27.0,1,4,.200,1,4,99.2,108.5,-9.3,98.6,.296,.414,.501,,.455,13.5,24.9,.222,,.526,13.8,80.5,.219
13,Los Angeles Clippers,26.7,2,4,.333,1,5,111.5,121.0,-9.5,102.9,.323,.355,.563,,.511,12.8,21.9,.264,,.574,12.5,74.5,.251
14,Brooklyn Nets,25.3,1,4,.200,1,4,106.7,117.3,-10.6,104.4,.319,.372,.534,,.480,12.0,22.6,.258,,.542,13.3,67.9,.230
15,Orlando Magic,25.9,1,4,.200,1,4,96.2,111.2,-15.0,95.7,.267,.419,.496,,.451,14.4,20.3,.207,,.550,11.8,82.8,.161
16,Detroit Pistons,26.5,0,4,.000,0,4,96.8,120.2,-23.4,101.3,.171,.344,.471,,.444,9.2,19.8,.124,,.583,12.8,76.4,.246
,League Average,27.5,,,,5,5,109.4,109.4,,97.5,.284,.379,.550,,.508,12.0,22.7,.223,,.508,12.0,77.3,.223
