,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors,28.4,16,5,.762,17,4,113.9,103.6,+10.3,96.5,.237,.365,.581,,.545,11.9,21.8,.195,,.481,12.3,77.6,.186
2,Indiana Pacers,26.2,3,4,.429,5,2,110.9,104.6,+6.3,90.7,.241,.339,.567,,.542,12.9,21.6,.171,,.503,14.3,77.7,.238
3,Philadelphia 76ers,26.5,5,5,.500,6,4,110.4,106.5,+3.9,97.5,.320,.331,.539,,.493,12.6,29.1,.243,,.514,12.7,80.8,.232
4,Houston Rockets,29.8,11,6,.647,10,7,109.6,107.7,+1.9,95.7,.261,.466,.552,,.514,11.3,20.0,.201,,.530,13.2,80.1,.188
5,Boston Celtics,24.8,11,8,.579,10,9,107.7,107.0,+0.7,93.1,.283,.367,.541,,.500,11.1,20.4,.217,,.518,12.9,79.5,.202
6,Milwaukee Bucks,25.3,3,4,.429,3,4,108.8,109.4,-0.6,92.3,.254,.328,.585,,.561,13.1,14.7,.179,,.503,12.1,75.5,.219
7,New Orleans Pelicans,26.8,5,4,.556,4,5,107.1,107.8,-0.7,102.7,.204,.301,.562,,.533,12.9,17.7,.160,,.514,12.0,78.8,.169
8,Cleveland Cavaliers,30.3,12,10,.545,10,12,109.4,111.2,-1.8,91.6,.282,.370,.550,,.512,12.1,23.5,.212,,.529,11.5,79.4,.195
9,Washington Wizards,27.0,2,4,.333,3,3,110.3,112.3,-2.0,97.2,.274,.256,.561,,.513,12.4,21.2,.233,,.539,13.1,78.1,.239
10,Utah Jazz,25.6,5,6,.455,5,6,104.7,106.9,-2.2,97.8,.284,.361,.549,,.520,14.3,20.8,.195,,.505,11.6,80.8,.196
11,Oklahoma City Thunder,27.9,2,4,.333,2,4,103.5,107.9,-4.4,97.8,.245,.333,.528,,.490,12.7,20.8,.189,,.521,13.7,75.4,.212
12,Toronto Raptors,26.2,4,6,.400,4,6,112.0,116.6,-4.6,94.8,.290,.324,.578,,.536,13.1,23.2,.232,,.541,10.5,79.1,.217
13,Portland Trail Blazers,25.6,0,4,.000,1,3,106.9,116.0,-9.1,98.7,.173,.354,.539,,.512,12.9,23.9,.135,,.582,13.0,81.1,.203
14,Minnesota Timberwolves,27.6,1,4,.200,1,4,107.0,116.2,-9.2,95.0,.276,.264,.548,,.515,12.0,20.1,.201,,.531,7.9,80.3,.193
15,San Antonio Spurs,30.2,1,4,.200,1,4,103.7,113.1,-9.4,93.3,.274,.337,.515,,.463,10.5,18.5,.229,,.535,12.9,73.7,.205
16,Miami Heat,27.5,1,4,.200,1,4,103.0,113.7,-10.7,100.4,.345,.333,.542,,.507,14.4,20.7,.234,,.514,13.6,70.4,.279
,League Average,27.5,,,,5,5,108.9,108.9,,95.4,.267,.355,.555,,.518,12.3,21.4,.204,,.518,12.3,78.6,.204
