,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Detroit Pistons,28.1,15,10,.600,17,8,105.0,99.5,+5.5,85.3,.286,.176,.508,,.466,12.1,29.8,.212,,.470,14.5,74.8,.219
2,San Antonio Spurs,28.6,16,7,.696,15,8,110.0,105.1,+4.9,87.3,.367,.240,.546,,.500,14.1,31.1,.267,,.471,12.1,71.4,.218
3,Miami Heat,28.2,11,4,.733,10,5,107.2,102.5,+4.7,90.2,.409,.211,.568,,.533,15.1,22.5,.273,,.449,11.2,73.1,.241
4,Phoenix Suns,26.2,9,6,.600,9,6,118.2,113.8,+4.4,94.1,.304,.233,.582,,.544,11.8,29.2,.233,,.508,11.0,68.4,.190
5,Boston Celtics,26.7,3,4,.429,3,4,100.6,101.3,-0.7,85.9,.306,.200,.520,,.475,15.4,26.2,.231,,.444,15.6,73.6,.359
6,Dallas Mavericks,27.7,6,7,.462,6,7,113.3,115.0,-1.7,92.1,.338,.207,.544,,.492,12.0,32.5,.266,,.525,13.0,70.1,.251
7,Chicago Bulls,26.4,2,4,.333,3,3,106.3,108.2,-1.9,96.4,.368,.274,.521,,.472,13.4,30.0,.266,,.472,12.6,70.3,.321
8,Seattle Supersonics,26.3,6,5,.545,5,6,111.1,113.0,-1.9,88.7,.369,.203,.547,,.489,13.3,33.3,.295,,.493,12.6,69.2,.286
9,Washington Wizards,25.5,4,6,.400,4,6,105.6,108.2,-2.6,95.1,.409,.228,.515,,.459,12.3,28.9,.298,,.505,14.6,70.5,.260
10,Houston Rockets,29.8,3,4,.429,3,4,111.7,114.9,-3.2,87.3,.344,.236,.564,,.513,14.2,27.8,.272,,.498,12.9,66.8,.316
11,Indiana Pacers,29.2,6,7,.462,5,8,97.7,101.1,-3.4,85.3,.361,.243,.496,,.434,15.1,26.4,.283,,.463,14.4,71.6,.235
12,Sacramento Kings,27.6,1,4,.200,2,3,113.0,117.9,-4.9,90.4,.285,.241,.527,,.479,10.3,30.4,.227,,.508,12.9,63.9,.338
13,Philadelphia 76ers,26.5,1,4,.200,1,4,101.2,110.1,-8.9,87.9,.256,.244,.513,,.479,12.6,23.1,.183,,.512,15.7,69.6,.260
14,Denver Nuggets,26.5,1,4,.200,1,4,97.4,108.5,-11.1,90.7,.387,.107,.490,,.431,12.4,23.1,.285,,.487,13.4,73.4,.316
15,Memphis Grizzlies,26.2,0,4,.000,1,3,112.0,124.0,-12.0,91.7,.194,.225,.539,,.517,10.1,26.6,.137,,.570,10.6,72.5,.301
16,New Jersey Nets,27.5,0,4,.000,1,3,100.6,113.9,-13.3,91.4,.369,.254,.491,,.432,11.7,26.5,.277,,.570,14.7,77.3,.316
,League Average,27.6,,,,5,5,107.8,107.8,,89.3,.339,.218,.534,,.487,13.1,28.7,.253,,.487,13.1,71.3,.253
