,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Orlando Magic,28.0,10,4,.714,11,3,110.8,100.9,+9.9,86.5,.426,.380,.574,,.533,14.0,24.8,.299,,.458,13.6,77.3,.269
2,Phoenix Suns,28.9,10,6,.625,10,6,117.8,112.7,+5.1,90.9,.353,.307,.582,,.536,12.0,27.4,.273,,.512,11.1,72.6,.242
3,Los Angeles Lakers,29.0,16,7,.696,15,8,112.8,108.6,+4.2,89.6,.320,.255,.546,,.502,11.9,30.9,.241,,.475,12.0,72.4,.277
4,Boston Celtics,29.4,15,9,.625,14,10,104.8,101.7,+3.1,89.2,.341,.211,.539,,.491,13.8,23.1,.258,,.473,15.2,74.6,.285
5,Cleveland Cavaliers,29.2,6,5,.545,6,5,108.2,106.8,+1.4,92.6,.420,.277,.568,,.517,14.5,22.1,.311,,.481,11.0,75.7,.240
6,Dallas Mavericks,31.2,2,4,.333,3,3,105.1,105.6,-0.5,88.4,.294,.244,.518,,.468,12.7,28.1,.233,,.486,12.3,74.0,.224
7,Denver Nuggets,27.5,2,4,.333,3,3,113.9,115.1,-1.2,96.0,.469,.231,.577,,.517,12.6,25.8,.359,,.548,13.5,76.9,.357
8,Oklahoma City Thunder,22.9,2,4,.333,3,3,103.6,105.4,-1.8,90.6,.412,.236,.506,,.426,11.9,26.7,.344,,.488,12.4,73.6,.196
9,Utah Jazz,24.8,4,6,.400,4,6,114.0,116.4,-2.4,93.9,.421,.219,.568,,.520,12.3,26.5,.307,,.522,12.1,71.0,.327
10,San Antonio Spurs,29.1,4,6,.400,4,6,105.7,109.4,-3.7,90.9,.339,.181,.533,,.494,12.3,24.0,.236,,.499,12.7,73.6,.245
11,Milwaukee Bucks,27.8,3,4,.429,3,4,105.0,109.3,-4.3,85.7,.250,.268,.510,,.465,12.3,27.9,.201,,.482,11.9,66.9,.201
12,Atlanta Hawks,26.3,4,7,.364,3,8,104.3,112.2,-7.9,85.8,.276,.171,.501,,.453,11.6,29.8,.217,,.515,12.3,72.4,.224
13,Miami Heat,27.0,1,4,.200,1,4,96.2,105.2,-9.0,91.1,.241,.236,.513,,.479,17.3,22.6,.176,,.523,15.6,79.2,.266
14,Chicago Bulls,25.6,1,4,.200,1,4,105.0,115.0,-10.0,92.4,.265,.125,.504,,.457,9.4,25.0,.211,,.558,13.2,77.0,.249
15,Charlotte Bobcats,27.6,0,4,.000,1,3,100.2,111.0,-10.8,85.4,.362,.241,.523,,.477,15.9,23.0,.259,,.522,13.3,75.2,.335
16,Portland Trail Blazers,26.6,2,4,.333,1,5,106.5,118.3,-11.8,87.3,.364,.217,.522,,.471,11.0,26.5,.269,,.536,12.4,71.0,.247
,League Average,28.0,,,,5,5,108.6,108.6,,89.7,.349,.244,.543,,.496,12.8,26.3,.262,,.496,12.8,73.7,.262
