,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Cleveland Cavaliers,27.2,10,4,.714,11,3,112.6,102.7,+9.9,86.1,.383,.263,.556,,.507,12.3,27.6,.284,,.480,12.5,78.3,.230
2,Denver Nuggets,27.8,10,6,.625,12,4,116.8,107.5,+9.3,92.4,.426,.269,.579,,.526,11.5,26.4,.324,,.493,14.8,74.7,.326
3,Los Angeles Lakers,27.3,16,7,.696,17,6,111.4,103.5,+7.9,91.1,.342,.229,.553,,.508,12.3,27.1,.255,,.471,13.7,73.8,.270
4,Orlando Magic,27.3,13,11,.542,14,10,107.3,105.3,+2.0,89.2,.360,.309,.555,,.513,13.1,21.6,.260,,.488,12.7,77.2,.232
5,Miami Heat,25.6,3,4,.429,4,3,106.7,105.6,+1.1,82.6,.324,.287,.554,,.501,14.4,25.2,.265,,.464,12.5,73.1,.261
6,Boston Celtics,27.4,7,7,.500,7,7,106.3,106.3,0.0,91.4,.309,.222,.535,,.485,12.5,25.1,.245,,.493,13.3,77.8,.265
7,Dallas Mavericks,29.1,5,5,.500,5,5,113.0,114.0,-1.0,89.9,.375,.272,.576,,.518,12.8,24.7,.305,,.525,11.0,77.4,.271
8,Houston Rockets,26.9,7,6,.538,6,7,104.7,106.4,-1.7,87.4,.288,.265,.533,,.490,14.2,24.8,.221,,.487,11.6,73.7,.210
9,Chicago Bulls,25.5,3,4,.429,3,4,105.9,110.1,-4.2,92.6,.343,.221,.540,,.483,13.9,24.3,.277,,.495,11.6,73.2,.243
10,Portland Trail Blazers,24.5,2,4,.333,2,4,103.9,110.2,-6.3,83.9,.264,.190,.524,,.484,12.0,23.7,.201,,.517,12.8,76.1,.222
11,San Antonio Spurs,30.6,1,4,.200,1,4,105.4,112.4,-7.0,85.7,.269,.230,.528,,.495,11.4,21.3,.191,,.516,12.1,76.6,.274
12,Atlanta Hawks,26.2,4,7,.364,3,8,102.0,110.6,-8.6,82.4,.323,.238,.499,,.450,12.6,26.1,.241,,.514,14.4,69.8,.263
13,Philadelphia 76ers,26.6,2,4,.333,1,5,100.5,109.2,-8.7,88.0,.276,.211,.526,,.492,14.9,21.3,.196,,.514,12.9,74.2,.237
14,Utah Jazz,25.6,1,4,.200,1,4,104.2,114.1,-9.9,93.4,.373,.180,.517,,.463,13.4,30.4,.277,,.546,14.6,73.5,.271
15,Detroit Pistons,28.3,0,4,.000,0,4,93.6,112.2,-18.6,83.3,.188,.159,.468,,.429,11.9,19.7,.156,,.498,11.7,73.2,.349
16,New Orleans Hornets,28.3,1,4,.200,0,5,93.7,120.7,-27.0,89.8,.399,.262,.510,,.439,18.2,22.4,.322,,.563,12.3,73.5,.290
,League Average,27.2,,,,5,5,107.7,107.7,,88.7,.341,.249,.544,,.496,13.0,24.9,.259,,.496,13.0,75.1,.259
