,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Detroit Pistons,27.3,16,7,.696,17,6,99.3,92.0,+7.3,86.1,.359,.182,.493,,.439,14.4,30.2,.263,,.423,15.4,74.6,.227
2,Indiana Pacers,26.7,10,6,.625,11,5,98.9,93.7,+5.2,86.5,.330,.237,.497,,.448,13.6,25.5,.242,,.422,15.6,74.4,.270
3,San Antonio Spurs,26.8,6,4,.600,6,4,102.4,98.8,+3.6,87.2,.314,.248,.515,,.485,15.2,30.1,.202,,.482,15.3,77.1,.256
4,New Jersey Nets,27.7,7,4,.636,7,4,96.4,93.7,+2.7,88.9,.416,.225,.512,,.454,17.7,26.5,.303,,.419,15.0,72.0,.245
5,Dallas Mavericks,26.7,1,4,.200,3,2,103.4,102.0,+1.4,96.3,.245,.180,.466,,.422,11.3,36.7,.189,,.481,14.7,71.6,.204
6,Los Angeles Lakers,30.2,13,9,.591,12,10,100.8,99.8,+1.0,86.6,.375,.207,.508,,.477,12.7,24.4,.229,,.456,14.3,72.2,.237
7,Miami Heat,25.9,6,7,.462,7,6,97.3,97.1,+0.2,86.4,.343,.179,.489,,.433,14.1,27.2,.258,,.445,15.8,72.8,.257
8,Sacramento Kings,29.0,7,5,.583,6,6,101.0,100.9,+0.1,93.4,.299,.202,.507,,.460,13.2,24.8,.227,,.447,13.4,69.3,.208
9,Minnesota Timberwolves,30.0,10,8,.556,9,9,101.9,101.9,0.0,89.8,.302,.198,.527,,.479,14.7,24.2,.236,,.463,12.1,73.3,.211
10,New Orleans Hornets,30.1,3,4,.429,3,4,92.5,95.9,-3.4,87.1,.272,.243,.472,,.422,16.7,28.5,.212,,.431,14.9,71.4,.249
11,Denver Nuggets,26.5,1,4,.200,2,3,99.2,103.6,-4.4,91.4,.193,.149,.479,,.452,13.1,31.7,.135,,.503,15.9,75.8,.253
12,Houston Rockets,28.0,1,4,.200,1,4,94.5,100.5,-6.0,87.7,.306,.204,.501,,.458,16.6,24.0,.220,,.458,10.2,77.7,.226
13,New York Knicks,28.5,0,4,.000,0,4,90.4,104.1,-13.7,92.9,.316,.181,.461,,.411,15.1,26.3,.228,,.505,18.1,73.9,.333
14,Milwaukee Bucks,27.5,1,4,.200,1,4,95.3,109.3,-14.0,89.9,.278,.185,.490,,.447,15.8,25.8,.206,,.494,13.3,68.3,.240
15,Memphis Grizzlies,26.0,0,4,.000,0,4,97.1,113.4,-16.3,86.0,.324,.176,.504,,.450,14.7,23.8,.252,,.561,16.4,68.5,.233
16,Boston Celtics,26.2,0,4,.000,0,4,92.1,110.4,-18.3,91.7,.383,.223,.513,,.445,19.3,23.1,.309,,.501,11.9,72.2,.195
,League Average,28.0,,,,5,5,98.8,98.8,,88.4,.328,.203,.500,,.454,14.5,27.0,.237,,.454,14.5,73.0,.237
