,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Philadelphia 76ers,27.3,7,5,.583,9,3,116.0,108.5,+7.5,100.2,.342,.331,.589,,.561,11.5,21.3,.234,,.502,11.2,78.8,.235
2,Brooklyn Nets,28.7,7,5,.583,8,4,116.1,109.6,+6.5,96.1,.235,.413,.592,,.551,10.9,19.7,.204,,.502,11.6,75.0,.190
3,Milwaukee Bucks,29.2,16,7,.696,15,8,112.9,107.6,+5.3,96.9,.228,.384,.550,,.524,11.3,27.8,.164,,.523,12.2,81.6,.160
4,Phoenix Suns,26.6,14,8,.636,14,8,114.7,110.0,+4.7,95.1,.219,.350,.585,,.547,11.3,19.6,.188,,.507,10.9,76.1,.194
5,Los Angeles Clippers,29.3,10,9,.526,12,7,120.2,115.9,+4.3,92.8,.290,.444,.604,,.562,10.4,21.5,.238,,.543,11.1,76.9,.173
6,Utah Jazz,28.6,6,5,.545,5,6,121.4,122.3,-0.9,96.3,.288,.518,.616,,.579,12.4,23.7,.231,,.562,9.6,76.7,.208
7,Portland Trail Blazers,28.5,2,4,.333,3,3,121.6,122.9,-1.3,95.0,.257,.443,.608,,.567,10.7,22.2,.219,,.555,9.9,73.5,.216
8,Atlanta Hawks,25.6,10,8,.556,8,10,109.8,111.3,-1.5,96.8,.241,.394,.554,,.516,11.5,20.9,.192,,.520,11.6,75.0,.197
9,Dallas Mavericks,26.2,3,4,.429,2,5,115.5,121.1,-5.6,91.8,.233,.407,.559,,.534,10.4,23.7,.164,,.571,10.9,77.4,.246
10,Denver Nuggets,26.3,4,6,.400,3,7,116.8,122.4,-5.6,96.3,.227,.418,.566,,.536,9.9,25.1,.172,,.576,10.6,79.6,.223
11,Los Angeles Lakers,29.1,2,4,.333,2,4,104.0,110.9,-6.9,93.8,.295,.396,.520,,.473,12.9,23.7,.229,,.530,12.1,80.3,.212
12,New York Knicks,27.3,1,4,.200,1,4,103.5,111.0,-7.5,93.7,.252,.352,.505,,.458,11.3,24.6,.206,,.519,10.4,81.2,.189
13,Memphis Grizzlies,24.0,1,4,.200,1,4,115.6,124.0,-8.4,99.5,.216,.335,.556,,.523,9.1,23.8,.172,,.586,12.2,75.4,.257
14,Boston Celtics,25.0,1,4,.200,1,4,117.1,128.7,-11.6,95.8,.311,.415,.560,,.508,11.5,28.8,.256,,.582,10.6,73.5,.296
15,Washington Wizards,27.4,1,4,.200,1,4,107.6,121.3,-13.7,102.2,.327,.273,.543,,.498,11.7,23.1,.246,,.575,10.3,77.4,.234
16,Miami Heat,28.8,0,4,.000,0,4,96.6,116.8,-20.2,98.9,.227,.401,.499,,.462,12.5,17.1,.174,,.538,12.6,68.6,.177
,League Average,27.6,,,,5,5,114.3,114.3,,96.1,.256,.395,.571,,.534,11.2,22.8,.201,,.534,11.2,77.2,.201
