,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,30.7,6,4,.600,8,2,111.0,101.1,+9.9,91.9,.248,.232,.557,,.519,11.2,20.3,.199,,.467,14.2,71.7,.208
2,Cleveland Cavaliers,28.0,16,5,.762,16,5,115.5,106.0,+9.5,90.7,.267,.370,.573,,.544,12.0,26.8,.193,,.510,12.8,79.0,.189
3,Oklahoma City Thunder,25.6,11,7,.611,12,6,111.8,106.2,+5.6,95.2,.326,.295,.551,,.501,12.6,29.6,.256,,.499,11.5,78.7,.191
4,Golden State Warriors,27.4,15,9,.625,15,9,110.5,106.1,+4.4,97.0,.272,.379,.562,,.529,12.7,23.9,.200,,.481,13.1,72.4,.226
5,Miami Heat,28.7,7,7,.500,9,5,105.1,101.7,+3.4,90.2,.264,.238,.539,,.500,12.8,23.0,.202,,.451,10.4,80.5,.241
6,Indiana Pacers,26.4,3,4,.429,4,3,105.5,103.9,+1.6,88.8,.319,.284,.549,,.495,14.5,23.5,.261,,.437,12.8,67.2,.246
7,Los Angeles Clippers,29.3,2,4,.333,3,3,104.9,103.9,+1.0,93.7,.345,.229,.502,,.471,9.0,23.5,.216,,.467,12.0,71.3,.193
8,Atlanta Hawks,28.3,4,6,.400,5,5,103.5,104.5,-1.0,95.7,.242,.375,.533,,.494,13.3,20.7,.192,,.487,12.7,75.0,.175
9,Portland Trail Blazers,24.8,5,6,.455,5,6,108.1,110.7,-2.6,96.2,.287,.351,.523,,.483,11.5,26.6,.212,,.507,10.1,75.5,.220
10,Toronto Raptors,26.1,10,10,.500,7,13,102.8,107.5,-4.7,89.4,.301,.282,.507,,.463,12.4,25.1,.222,,.514,13.6,77.3,.237
11,Boston Celtics,25.0,2,4,.333,2,4,93.8,100.5,-6.7,98.3,.235,.352,.475,,.432,12.9,21.5,.184,,.481,13.3,80.6,.191
12,Charlotte Hornets,26.9,3,4,.429,1,6,99.2,109.0,-9.8,91.0,.309,.231,.494,,.432,9.4,15.9,.259,,.517,11.8,75.9,.186
13,Detroit Pistons,24.1,0,4,.000,1,3,109.4,119.2,-9.8,86.8,.292,.309,.559,,.537,11.0,18.4,.189,,.546,8.6,75.5,.147
14,Houston Rockets,28.5,1,4,.200,0,5,92.7,111.8,-19.1,98.4,.320,.332,.467,,.430,16.3,29.9,.206,,.552,12.9,77.1,.199
15,Dallas Mavericks,30.4,1,4,.200,0,5,102.1,122.0,-19.9,91.8,.298,.264,.511,,.474,11.4,21.5,.207,,.537,12.0,65.5,.278
16,Memphis Grizzlies,30.8,0,4,.000,0,4,90.9,115.6,-24.7,89.1,.215,.197,.455,,.423,14.8,28.8,.151,,.552,13.7,77.3,.246
,League Average,27.4,,,,6,5,106.7,106.7,,93.0,.283,.310,.534,,.495,12.4,24.4,.212,,.495,12.4,75.6,.212
