,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,29.6,16,7,.696,18,5,114.2,104.2,+10.0,92.7,.291,.267,.583,,.546,12.1,23.6,.223,,.492,13.4,77.2,.197
2,Los Angeles Clippers,28.2,6,7,.462,7,6,113.3,111.3,+2.0,96.0,.334,.302,.555,,.515,11.4,26.2,.244,,.521,14.9,70.4,.272
3,Miami Heat,31.1,13,7,.650,11,9,112.8,110.8,+2.0,86.2,.305,.326,.594,,.555,12.9,17.1,.238,,.539,14.2,75.3,.220
4,Washington Wizards,26.8,6,5,.545,6,5,102.0,100.9,+1.1,87.8,.285,.211,.504,,.468,12.5,27.9,.198,,.471,12.7,79.7,.227
5,Houston Rockets,25.2,2,4,.333,3,3,114.8,114.4,+0.4,92.7,.325,.280,.534,,.490,11.7,35.3,.242,,.507,10.6,72.8,.258
6,Atlanta Hawks,27.9,3,4,.429,3,4,101.9,103.0,-1.1,90.7,.316,.417,.515,,.456,13.1,20.4,.261,,.500,14.6,76.2,.220
7,Indiana Pacers,27.1,10,9,.526,9,10,103.7,104.8,-1.1,88.3,.314,.258,.540,,.500,13.8,21.1,.228,,.493,13.6,77.0,.218
8,Oklahoma City Thunder,26.6,10,9,.526,9,10,108.1,109.2,-1.1,92.3,.327,.287,.551,,.496,14.0,27.1,.268,,.485,10.5,74.2,.212
9,Brooklyn Nets,30.7,5,7,.417,5,7,110.5,112.0,-1.5,86.4,.330,.302,.555,,.514,12.5,25.1,.243,,.516,13.3,77.0,.306
10,Toronto Raptors,25.2,3,4,.429,3,4,108.2,110.0,-1.8,88.8,.391,.283,.553,,.486,15.0,26.8,.326,,.506,11.8,77.0,.291
11,Dallas Mavericks,31.3,3,4,.429,3,4,110.0,112.1,-2.1,92.0,.217,.259,.532,,.500,10.7,26.4,.166,,.542,13.4,76.6,.245
12,Golden State Warriors,26.2,3,4,.429,3,4,110.2,114.8,-4.6,96.6,.335,.316,.558,,.518,15.3,30.8,.244,,.529,12.9,72.1,.290
13,Chicago Bulls,28.6,1,4,.200,2,3,103.0,108.3,-5.3,85.6,.290,.244,.508,,.463,13.0,27.9,.219,,.479,10.2,72.2,.225
14,Memphis Grizzlies,29.7,3,4,.429,2,5,102.8,108.5,-5.7,88.8,.293,.173,.486,,.442,10.1,27.0,.214,,.483,14.1,69.0,.263
15,Portland Trail Blazers,25.8,5,6,.455,3,8,107.2,113.6,-6.4,94.6,.281,.260,.529,,.482,12.3,26.1,.224,,.508,10.4,70.6,.208
16,Charlotte Hornets,25.5,0,4,.000,1,3,101.5,112.3,-10.8,90.6,.312,.282,.537,,.500,14.9,20.8,.223,,.539,10.7,85.7,.260
,League Average,28.2,,,,6,6,108.7,108.7,,90.6,.308,.279,.548,,.505,12.8,24.9,.235,,.505,12.8,75.1,.235
