,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
19,Maurice Baker,PG,25,POR,4,18,.000,13.9,,1.000,.000,.000,1.000,.000,.000,,.000,,,.000,,,,,,,.000,0,,,,,0,0,bakerma01
20,Vin Baker,PF-C,33,TOT,27,204,.310,9.4,,.976,.405,.190,.119,.262,.024,,.317,.294,.375,.200,.364,.000,,.462,,,.000,0,,.000,,,1,0,bakervi01
20,Vin Baker,PF,33,NYK,24,191,.342,9.3,,.974,.421,.184,.132,.237,.026,,.351,.313,.429,.200,.444,.000,,.462,,,.000,0,,.000,,,1,0,bakervi01
20,Vin Baker,C,33,HOU,3,13,.000,9.9,,1.000,.250,.250,.000,.500,.000,,.000,.000,.000,,.000,,,,,,.000,0,,,,,0,0,bakervi01
21,Marcus Banks,PG,23,BOS,81,1145,.402,11.6,,.794,.430,.052,.094,.217,.206,,.414,.520,.200,.259,.323,.356,,.245,.905,,.014,4,,.203,.500,,2,0,banksma01
22,Leandro Barbosa,PG,22,PHO,63,1087,.475,13.5,,.607,.364,.071,.068,.105,.393,,.544,.667,.360,.292,.405,.367,,.410,.667,,.003,1,,.209,.345,,2,0,barbole01
23,Matt Barnes,SF,24,SAC,43,715,.411,10.8,,.854,.311,.252,.040,.252,.146,,.442,.553,.395,.333,.368,.227,,.702,.800,,.040,5,,.364,.125,,1,0,barnema02
24,Andre Barrett,PG,22,TOT,38,483,.363,16.7,,.581,.169,.081,.113,.218,.419,,.431,.476,.200,.571,.407,.269,,.452,.857,,.000,0,,.538,.321,,1,0,barrean01
24,Andre Barrett,PG,22,HOU,27,314,.290,17.4,,.464,.159,.116,.043,.145,.536,,.344,.364,.250,.667,.300,.243,,.727,.889,,.000,0,,.568,.238,,1,0,barrean01
24,Andre Barrett,PG,22,ORL,11,169,.455,15.8,,.727,.182,.036,.200,.309,.273,,.500,.600,.000,.545,.471,.333,,.300,.800,,.000,0,,.467,.571,,0,0,barrean01
25,Brent Barry,SG,33,SAS,81,1742,.423,18.3,,.390,.174,.094,.020,.102,.610,,.525,.713,.395,.333,.362,.357,,.670,.940,,.017,6,,.246,.275,,2,0,barrybr01
26,Jon Barry,SG,35,TOT,69,1505,.438,18.1,,.552,.136,.052,.087,.277,.448,,.443,.580,.316,.344,.431,.430,,.644,.803,,.003,1,,.303,.480,,0,0,barryjo01
26,Jon Barry,SG,35,ATL,16,275,.403,16.8,,.584,.195,.065,.065,.260,.416,,.444,.667,.400,.200,.350,.344,,.750,1.000,,.013,1,,.281,.444,,0,0,barryjo01
26,Jon Barry,SG,35,HOU,53,1230,.447,18.5,,.543,.120,.048,.093,.282,.457,,.443,.543,.286,.370,.451,.451,,.614,.767,,.000,0,,.308,.488,,0,0,barryjo01
27,Tony Battie,C,28,ORL,81,1894,.460,10.0,,.983,.277,.175,.285,.246,.017,,.468,.612,.387,.416,.425,.000,,.730,,,.099,33,,.333,.000,,1,0,battito01
28,Shane Battier,SG,26,MEM,80,2516,.442,11.0,,.711,.378,.140,.098,.095,.289,,.461,.552,.430,.367,.241,.395,,.552,.957,,.039,21,,.548,.412,,1,0,battish01
29,Lonny Baxter,PF,26,NOH,4,36,.273,5.0,,1.000,.545,.273,.000,.182,.000,,.273,.333,.333,,.000,,,.667,,,.000,0,,,,,0,0,baxtelo01
30,Raja Bell,SG,28,UTA,63,1790,.454,17.0,,.799,.135,.049,.091,.523,.201,,.467,.567,.455,.410,.453,.403,,.783,.963,,.009,5,,.493,.439,,3,0,bellra01
31,Jonathan Bender,SF,24,IND,7,93,.400,10.7,,.875,.325,.175,.175,.200,.125,,.429,.692,.143,.429,.250,.200,,.467,1.000,,.100,4,,.200,.000,,0,0,bendejo01
32,Travis Best,PG,32,NJN,76,1461,.420,15.3,,.812,.232,.044,.108,.427,.188,,.447,.552,.400,.347,.420,.306,,.439,.962,,.000,0,,.212,.444,,4,0,besttr01
33,Mike Bibby,PG,26,SAC,80,3084,.443,16.1,,.712,.184,.085,.051,.392,.288,,.477,.677,.435,.375,.405,.360,,.464,.840,,.000,0,,.159,.397,,0,0,bibbymi01
34,Andris Biedriņš,C,18,GSW,30,384,.577,2.6,,.987,.692,.256,.038,.000,.013,,.584,.722,.300,.000,,.000,,.667,,,.218,17,,.000,,,0,0,biedran01
35,Chauncey Billups,PG,28,DET,80,2866,.442,16.8,,.576,.205,.043,.113,.216,.424,,.454,.503,.385,.437,.431,.426,,.339,.727,,.002,2,,.163,.444,,1,0,billuch01
36,Steve Blake,PG,24,WAS,44,648,.328,19.8,,.500,.097,.054,.070,.280,.500,,.269,.389,.200,.077,.288,.387,,.440,.750,,.000,0,,.387,.306,,2,0,blakest01
37,Mark Blount,C,29,BOS,82,2130,.529,9.0,,.998,.356,.155,.228,.259,.002,,.530,.668,.354,.426,.538,.000,,.752,,,.060,36,,1.000,.000,,0,0,blounma01
38,Tony Bobbitt,SG,25,LAL,2,12,.400,22.0,,.600,.000,.000,.000,.600,.400,,.333,,,,.333,.500,,1.000,1.000,,.000,0,,.500,.000,,0,0,bobbito01
39,Keith Bogans,SG,24,CHA,74,1791,.381,13.0,,.749,.297,.119,.105,.228,.251,,.398,.456,.329,.306,.401,.329,,.527,.877,,.004,3,,.358,.403,,1,0,boganke01
40,Matt Bonner,C,24,TOR,82,1553,.533,14.3,,.801,.201,.132,.117,.352,.199,,.561,.602,.557,.519,.552,.424,,.635,1.000,,.019,9,,.272,.440,,0,0,bonnema01
41,Calvin Booth,C,28,TOT,51,451,.454,10.2,,.991,.324,.102,.222,.343,.009,,.458,.657,.364,.333,.378,.000,,.776,,,.130,14,,.000,,,0,0,boothca01
41,Calvin Booth,C,28,DAL,34,262,.430,11.1,,.987,.304,.076,.215,.392,.013,,.436,.625,.333,.294,.387,.000,,.765,,,.114,9,,.000,,,0,0,boothca01
41,Calvin Booth,C,28,MIL,17,189,.517,7.8,,1.000,.379,.172,.241,.207,.000,,.517,.727,.400,.429,.333,,,.800,,,.172,5,,,,,0,0,boothca01
42,Carlos Boozer,PF,23,UTA,51,1772,.521,7.7,,.999,.420,.160,.201,.218,.001,,.522,.670,.441,.403,.404,.000,,.679,,,.082,54,,.000,,,0,0,boozeca01
43,Curtis Borchardt,C,24,UTA,67,859,.430,4.3,,1.000,.605,.203,.081,.110,.000,,.430,.519,.229,.357,.368,,,.608,,,.145,21,,,,,0,0,borchcu01
44,Chris Bosh*,PF,20,TOR,81,3017,.471,8.9,,.990,.357,.164,.242,.227,.010,,.472,.588,.430,.395,.404,.300,,.613,1.000,,.116,103,,.200,.500,,1,0,boshch01
45,Bruce Bowen,SF,33,SAS,82,2627,.420,16.0,,.577,.161,.105,.095,.216,.423,,.432,.625,.286,.281,.426,.403,,.785,1.000,,.003,2,,.881,.413,,0,0,bowenbr01
46,Ryan Bowen,SF,29,HOU,66,604,.423,12.2,,.946,.324,.036,.072,.514,.054,,.419,.444,.250,.250,.439,.500,,.886,1.000,,.000,0,,1.000,.500,,0,0,bowenry01
47,Earl Boykins,PG,28,DEN,82,2162,.413,14.7,,.799,.170,.112,.150,.367,.201,,.432,.571,.446,.419,.368,.337,,.408,.714,,.000,0,,.133,.409,,0,0,boykiea01
48,Michael Bradley,PF,25,TOT,18,119,.625,6.2,,.958,.500,.292,.000,.167,.042,,.652,.750,.571,,.500,.000,,.600,,,.042,1,,.000,,,0,0,bradlmi01
48,Michael Bradley,PF,25,ORL,8,55,.429,7.7,,1.000,.429,.286,.000,.286,.000,,.429,.333,1.000,,.000,,,.667,,,.000,0,,,,,0,0,bradlmi01
48,Michael Bradley,PF,25,SAC,8,48,.667,5.9,,1.000,.417,.417,.000,.167,.000,,.667,.800,.400,,1.000,,,.375,,,.000,0,,,,,0,0,bradlmi01
48,Michael Bradley,PF,25,PHI,2,16,.800,5.1,,.800,.800,.000,.000,.000,.200,,1.000,1.000,,,,.000,,1.000,,,.200,1,,.000,,,0,0,bradlmi01
49,Shawn Bradley,C,32,DAL,77,885,.452,7.4,,1.000,.430,.220,.081,.269,.000,,.452,.475,.415,.467,.440,,,.762,,,.075,12,,,,,0,0,bradlsh01
50,Torraye Braggs,PF,28,HOU,7,24,.429,2.1,,1.000,.857,.000,.143,.000,.000,,.429,.333,,1.000,,,,.333,,,.000,0,,,,,0,0,braggto01
51,Elton Brand,PF,25,LAC,81,3001,.503,8.1,,.998,.332,.237,.291,.137,.002,,.504,.643,.478,.442,.343,.000,,.641,,,.059,71,,.333,.000,,1,0,brandel01
52,Jamison Brewer,PG,24,NYK,18,185,.297,13.4,,.595,.351,.081,.054,.108,.405,,.364,.538,.000,.500,.000,.200,,.625,1.000,,.054,2,,.333,.200,,0,0,breweja01
53,Primož Brezec,C,25,CHA,72,2276,.512,7.7,,1.000,.448,.148,.169,.234,.000,,.512,.640,.473,.383,.384,,,.643,,,.040,29,,,,,0,0,brezepr01
54,Damone Brown,SF,25,WAS,14,152,.371,12.6,,.823,.306,.129,.097,.290,.177,,.373,.579,.375,.000,.278,.364,,.526,.500,,.081,5,,.000,,,0,0,brownda02
55,Devin Brown,SG,26,SAS,67,1238,.423,13.8,,.704,.271,.120,.071,.242,.296,,.444,.604,.388,.345,.323,.372,,.703,.933,,.039,16,,.471,.386,,1,0,brownde02
56,Kedrick Brown,SF,23,PHI,8,55,.333,17.0,,.500,.333,.167,.000,.000,.500,,.667,1.000,.000,,,.000,,1.000,,,.167,1,,.333,.000,,1,0,brownke01
57,Kwame Brown,PF,22,WAS,42,908,.460,6.6,,1.000,.346,.354,.224,.076,.000,,.460,.659,.321,.434,.278,,,.578,,,.110,23,,,,,0,0,brownkw01
58,P.J. Brown,PF,35,NOH,82,2817,.446,9.9,,1.000,.323,.109,.247,.321,.000,,.446,.535,.337,.390,.436,,,.713,,,.050,30,,,,,0,0,brownpj01
59,Tierre Brown,PG,25,LAL,76,1066,.356,11.5,,.793,.322,.158,.152,.161,.207,,.355,.384,.345,.302,.357,.361,,.245,.923,,.000,0,,.139,.400,,1,0,brownti01
60,Rick Brunson,PG,32,LAC,80,1945,.376,18.0,,.706,.113,.018,.111,.464,.294,,.378,.400,.375,.327,.385,.369,,.542,.854,,.000,0,,.462,.433,,2,0,brunsri01
61,Kobe Bryant*,SG,26,LAL,66,2689,.433,13.9,,.708,.272,.113,.124,.199,.292,,.472,.606,.427,.360,.384,.339,,.247,.664,,.045,53,,.127,.327,,6,0,bryanko01
62,Greg Buckner,SG,28,DEN,70,1522,.528,12.3,,.601,.432,.056,.026,.086,.399,,.610,.718,.353,.250,.346,.405,,.784,.959,,.013,4,,.421,.431,,1,0,buckngr01
63,Rodney Buford,SF,27,NJN,64,1313,.382,16.3,,.779,.166,.045,.100,.468,.221,,.402,.457,.455,.327,.393,.315,,.712,.941,,.031,11,,.472,.333,,0,0,buforro01
64,Antonio Burks,PG,24,MEM,24,219,.467,15.1,,.817,.250,.067,.100,.400,.183,,.510,.600,.000,.833,.458,.273,,.400,.667,,.000,0,,.091,.000,,2,0,burksan01
65,Caron Butler,SF,24,LAL,77,2746,.445,10.5,,.874,.415,.091,.093,.275,.126,,.465,.560,.389,.402,.370,.304,,.620,.974,,.078,69,,.528,.348,,5,0,butleca01
66,Jackie Butler,C,19,NYK,3,5,1.000,1.2,,1.000,.750,.250,.000,.000,.000,,1.000,1.000,1.000,,,,,.500,,,.000,0,,,,,0,0,butleja01
67,Rasual Butler,SF,25,MIA,65,1203,.399,18.1,,.626,.093,.044,.152,.337,.374,,.414,.526,.333,.468,.370,.373,,.717,.877,,.020,8,,.261,.375,,0,0,butlera01
68,Žarko Čabarkapa,PF,23,TOT,40,475,.486,11.4,,.797,.282,.243,.056,.215,.203,,.518,.680,.395,.500,.447,.361,,.616,1.000,,.051,9,,.361,.308,,1,0,cabarza01
68,Žarko Čabarkapa,PF,23,PHO,3,11,.571,3.3,,1.000,.714,.286,.000,.000,.000,,.571,.800,.000,,,,,.250,,,.143,1,,,,,0,0,cabarza01
68,Žarko Čabarkapa,PF,23,GSW,37,464,.482,11.7,,.788,.265,.241,.059,.224,.212,,.515,.667,.415,.500,.447,.361,,.638,1.000,,.047,8,,.361,.308,,1,0,cabarza01
69,Marcus Camby,C,30,DEN,66,2015,.465,9.9,,.993,.393,.077,.142,.382,.007,,.468,.623,.239,.365,.393,.000,,.720,,,.112,59,,.250,.000,,0,0,cambyma01
70,Elden Campbell,C,36,TOT,40,390,.317,8.6,,.984,.341,.195,.350,.098,.016,,.322,.405,.292,.279,.250,.000,,.718,,,.081,7,,.000,,,1,0,campbel01
70,Elden Campbell,C,36,NJN,10,50,.000,6.0,,1.000,.429,.286,.286,.000,.000,,.000,.000,.000,.000,,,,,,,.000,0,,,,,0,0,campbel01
70,Elden Campbell,C,36,DET,30,340,.336,8.8,,.983,.336,.190,.353,.103,.017,,.342,.436,.318,.293,.250,.000,,.718,,,.086,7,,.000,,,1,0,campbel01
71,Brian Cardinal,PF,27,MEM,58,1433,.370,14.6,,.711,.231,.102,.111,.266,.289,,.378,.430,.386,.375,.330,.352,,.578,.955,,.005,2,,.272,.353,,2,0,cardibr01
72,Geno Carlisle,SG,28,POR,6,16,.667,6.3,,1.000,.667,.000,.000,.333,.000,,.667,1.000,,,.000,,,.500,,,.000,0,,,,,0,0,carlige01
73,Matt Carroll,SG,24,CHA,25,430,.389,15.3,,.783,.161,.094,.133,.394,.217,,.404,.552,.353,.208,.423,.333,,.754,1.000,,.011,2,,.487,.368,,0,0,carroma01
74,Anthony Carter,PG,29,MIN,66,742,.407,13.4,,.904,.339,.034,.045,.486,.096,,.438,.600,.333,.125,.360,.118,,.571,1.000,,.000,0,,.118,.000,,3,0,cartean01
75,Vince Carter,SF-SG,28,TOT,77,2828,.452,12.8,,.797,.252,.171,.130,.243,.203,,.463,.591,.405,.353,.430,.406,,.508,.835,,.051,70,,.115,.361,,2,0,cartevi01
75,Vince Carter,SG,28,TOR,20,608,.411,13.6,,.805,.215,.172,.116,.301,.195,,.432,.554,.346,.314,.440,.322,,.495,.842,,.036,11,,.203,.250,,0,0,cartevi01
75,Vince Carter,SF,28,NJN,57,2220,.462,12.7,,.795,.262,.171,.134,.228,.205,,.471,.599,.420,.361,.428,.425,,.511,.833,,.055,59,,.094,.417,,2,0,cartevi01
76,Sam Cassell,PG,35,MIN,59,1522,.464,16.9,,.850,.086,.049,.227,.488,.150,,.500,.661,.588,.436,.493,.262,,.318,.815,,.000,0,,.155,.563,,5,0,cassesa01
77,Kelvin Cato,C,30,ORL,62,1525,.539,5.5,,1.000,.576,.128,.178,.118,.000,,.539,.655,.500,.321,.343,,,.775,,,.293,78,,,,,0,0,catoke01
78,Lionel Chalmers,PG,24,LAC,36,433,.336,16.1,,.608,.272,.088,.024,.224,.392,,.395,.353,.364,.000,.500,.245,,.233,.750,,.016,0,,.122,.000,,2,0,chalmli01
79,Tyson Chandler,C,22,CHI,80,2189,.494,4.3,,.995,.635,.184,.074,.103,.005,,.496,.605,.286,.258,.372,.000,,.507,,,.136,53,,.000,,,0,0,chandty01
80,Calbert Cheaney,SG,33,GSW,55,951,.426,12.5,,.989,.200,.128,.192,.468,.011,,.431,.698,.441,.373,.339,.000,,.726,,,.026,6,,.333,.000,,1,0,cheanca01
81,Josh Childress,SG,21,ATL,80,2376,.470,6.6,,.913,.621,.073,.053,.165,.087,,.493,.589,.255,.324,.292,.232,,.547,.923,,.134,83,,.589,.303,,4,0,childjo01
82,Doug Christie,SG,34,TOT,52,1525,.392,15.1,,.813,.238,.039,.078,.458,.187,,.426,.468,.308,.231,.447,.242,,.783,.933,,.042,13,,.452,.214,,2,0,chrisdo01
82,Doug Christie,SG,34,SAC,31,996,.407,14.7,,.809,.279,.034,.049,.446,.191,,.442,.491,.286,.300,.440,.256,,.753,.900,,.044,9,,.410,.188,,2,0,chrisdo01
82,Doug Christie,SG,34,ORL,21,529,.367,15.9,,.820,.172,.047,.125,.477,.180,,.400,.409,.333,.188,.459,.217,,.833,1.000,,.039,4,,.522,.250,,0,0,chrisdo01
83,Speedy Claxton,PG,26,TOT,62,1866,.421,11.2,,.900,.280,.188,.139,.293,.100,,.447,.579,.330,.447,.397,.180,,.244,.909,,.000,0,,.246,.200,,2,0,claxtsp01
83,Speedy Claxton,PG,26,GSW,46,1501,.431,11.2,,.896,.275,.198,.142,.281,.104,,.459,.601,.303,.479,.418,.192,,.228,.900,,.000,0,,.269,.214,,1,0,claxtsp01
83,Speedy Claxton,PG,26,NOH,16,365,.373,11.5,,.918,.300,.145,.127,.345,.082,,.396,.485,.500,.286,.316,.111,,.325,1.000,,.000,0,,.111,.000,,1,0,claxtsp01
84,Mateen Cleaves,PG,27,SEA,14,65,.357,13.2,,.857,.286,.071,.071,.429,.143,,.417,.250,.000,.000,.667,.000,,.800,,,.000,0,,.000,,,0,0,cleavma01
85,Derrick Coleman,C,37,DET,5,50,.214,9.7,,.857,.286,.286,.143,.143,.143,,.250,.000,.500,.000,.500,.000,,.667,,,.000,0,,.000,,,0,0,colemde01
86,Jason Collier,C,27,ATL,70,942,.463,9.9,,.963,.327,.157,.184,.295,.037,,.464,.650,.390,.304,.396,.429,,.696,1.000,,.013,5,,.786,.455,,0,0,collija02
87,Jarron Collins,C,26,UTA,50,961,.414,8.3,,.994,.414,.121,.242,.217,.006,,.417,.492,.263,.368,.412,.000,,.723,,,.006,1,,.000,,,1,0,collija03
88,Jason Collins,C,26,NJN,80,2542,.412,9.9,,.987,.361,.104,.191,.330,.013,,.413,.479,.340,.314,.423,.333,,.750,1.000,,.038,17,,.000,,,1,0,collija04
89,Nick Collison,C,24,SEA,82,1396,.537,3.3,,.992,.675,.186,.076,.051,.008,,.541,.640,.409,.259,.111,.000,,.568,,,.093,29,,.333,.000,,0,0,collini01
90,Brian Cook,C,24,LAL,72,1087,.417,17.9,,.528,.171,.038,.085,.235,.472,,.439,.528,.438,.417,.384,.392,,.745,.974,,.019,7,,.171,.294,,0,0,cookbr01
91,Omar Cook,PG,23,TOR,5,74,.417,16.9,,.833,.167,.083,.042,.542,.167,,.500,.250,1.000,1.000,.462,.000,,.100,,,.000,0,,.250,.000,,1,0,cookom01
92,Jamal Crawford,SG,24,NYK,70,2688,.398,17.9,,.533,.144,.072,.086,.232,.467,,.431,.519,.468,.362,.390,.361,,.310,.800,,.014,14,,.268,.431,,2,0,crawfja01
93,Austin Croshere,PF,29,IND,73,1827,.378,13.7,,.650,.340,.064,.080,.165,.350,,.443,.556,.375,.200,.354,.259,,.580,.956,,.064,28,,.224,.333,,0,0,croshau01
94,Eddy Curry,C,22,CHI,63,1808,.538,4.0,,1.000,.560,.300,.110,.030,.000,,.538,.677,.411,.225,.364,,,.723,,,.199,137,,,,,0,0,curryed01
95,Michael Curry,SF,36,IND,18,249,.448,13.2,,1.000,.276,.000,.103,.621,.000,,.448,.500,,.667,.389,,,.846,,,.000,0,,,,,0,0,currymi01
96,Samuel Dalembert,C,23,PHI,72,1785,.524,5.4,,1.000,.514,.205,.212,.069,.000,,.524,.731,.306,.327,.242,,,.752,,,.216,100,,,,,0,0,dalemsa01
97,Erick Dampier,C,29,DAL,59,1609,.550,2.9,,.992,.670,.240,.054,.027,.008,,.555,.614,.420,.500,.400,.000,,.683,,,.223,72,,.333,.000,,0,0,dampier01
98,Antonio Daniels,PG,29,SEA,75,2026,.438,13.8,,.735,.244,.124,.140,.228,.265,,.489,.625,.429,.437,.408,.297,,.219,.694,,.021,12,,.127,.524,,2,0,daniean01
99,Erik Daniels,SF,22,SAC,21,72,.333,9.8,,.889,.278,.333,.056,.222,.111,,.313,.600,.333,.000,.000,.500,,.000,1.000,,.000,0,,.000,,,0,0,danieer01
100,Marquis Daniels,SG,24,DAL,60,1412,.437,8.2,,.931,.383,.256,.153,.139,.069,,.454,.560,.465,.325,.286,.200,,.418,1.000,,.040,20,,.314,.273,,2,0,daniema01
101,Antonio Davis,PF,36,CHI,72,1843,.461,8.4,,1.000,.389,.165,.200,.246,.000,,.461,.571,.304,.464,.388,,,.710,,,.081,31,,,,,0,0,davisan01
