,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Álex Abrines,SG,24,OKC,75,1134,.395,20.3,,.241,.127,.041,.027,.041,.759,,.443,.595,.250,.625,.083,.380,,.548,1.000,,.034,9,,.253,.375,,1,0,abrinal01
2,Quincy Acy,PF,27,BRK,70,1359,.356,20.7,,.200,.115,.027,.025,.033,.800,,.384,.500,.000,.333,.333,.349,,.857,.990,,.036,9,,.305,.404,,0,0,acyqu01
3,Steven Adams,C,24,OKC,76,2487,.629,2.6,,.997,.708,.233,.052,.004,.003,,.631,.688,.494,.514,.000,.000,,.690,,,.242,150,,.000,,,2,0,adamsst01
4,Bam Adebayo,C,20,MIA,69,1368,.512,4.3,,.979,.624,.232,.082,.041,.021,,.523,.642,.329,.321,.214,.000,,.701,,,.294,91,,.000,,,4,0,adebaba01
5,Arron Afflalo,SG,32,ORL,53,682,.401,17.1,,.568,.093,.123,.154,.198,.432,,.413,.733,.450,.360,.281,.386,,.632,.926,,.000,0,,.414,.276,,0,0,afflaar01
6,Cole Aldrich,C,29,MIN,21,49,.333,3.2,,1.000,.533,.467,.000,.000,.000,,.333,.250,.429,,,,,.800,,,.067,1,,,,,0,0,aldrico01
7,LaMarcus Aldridge,C,32,SAS,75,2509,.510,9.8,,.932,.275,.212,.256,.189,.068,,.526,.735,.446,.438,.431,.293,,.502,.963,,.036,46,,.163,.467,,1,0,aldrila01
8,Jarrett Allen,C,19,BRK,72,1441,.589,3.7,,.962,.668,.232,.038,.023,.038,,.599,.698,.380,.333,.333,.333,,.843,1.000,,.353,117,,.867,.385,,2,1,allenja01
9,Kadeem Allen,PG,25,BOS,18,107,.273,14.4,,.500,.318,.091,.091,.000,.500,,.545,.571,.500,.500,,.000,,.500,,,.045,1,,.364,.000,,0,0,allenka01
10,Tony Allen,SF,36,NOP,22,273,.484,6.1,,.868,.659,.154,.000,.055,.132,,.506,.567,.357,,.200,.333,,.700,1.000,,.022,2,,.333,.750,,1,0,allento01
11,Al-Farouq Aminu,PF,27,POR,69,2072,.395,16.5,,.418,.215,.120,.026,.057,.582,,.432,.608,.314,.133,.152,.369,,.486,.960,,.041,23,,.280,.474,,0,0,aminual01
12,Justin Anderson,SF,24,PHI,38,519,.431,14.8,,.490,.302,.104,.040,.045,.510,,.535,.672,.238,.375,.444,.330,,.679,.941,,.104,17,,.291,.300,,1,0,anderju01
13,Kyle Anderson,SF,24,SAS,74,1978,.527,8.4,,.870,.388,.249,.128,.105,.130,,.556,.688,.459,.482,.391,.333,,.514,.947,,.039,15,,.649,.405,,1,0,anderky01
14,Ryan Anderson,PF,29,HOU,66,1725,.431,20.4,,.294,.142,.044,.040,.069,.706,,.539,.647,.143,.579,.545,.386,,.342,.992,,.019,9,,.109,.405,,0,0,anderry01
15,Ike Anigbogu,C,19,IND,11,30,.444,10.4,,1.000,.222,.111,.333,.333,.000,,.444,.500,.000,.333,.667,,,.500,,,.222,1,,,,,0,0,anigbik01
16,Giannis Antetokounmpo,PF,23,MIL,75,2756,.529,8.4,,.900,.454,.173,.114,.160,.100,,.554,.756,.355,.350,.339,.307,,.429,.907,,.122,161,,.107,.333,,1,0,antetgi01
17,Carmelo Anthony,PF,33,OKC,78,2501,.404,17.1,,.594,.120,.063,.184,.228,.406,,.437,.571,.329,.456,.380,.357,,.376,.876,,.020,17,,.116,.327,,0,0,anthoca01
18,OG Anunoby,SF,20,TOR,74,1481,.471,14.5,,.431,.353,.049,.014,.014,.569,,.604,.697,.235,.200,.000,.371,,.711,.945,,.136,42,,.528,.452,,0,0,anunoog01
19,Ryan Arcidiacono,PG,23,CHI,24,304,.415,21.1,,.244,.098,.098,.000,.049,.756,,.800,1.000,.500,,1.000,.290,,.500,.889,,.000,0,,.323,.600,,1,0,arcidry01
20,Trevor Ariza,SF,32,HOU,67,2269,.412,18.0,,.290,.220,.052,.008,.011,.710,,.519,.636,.176,.000,.143,.368,,.592,.953,,.029,19,,.392,.431,,2,0,arizatr01
21,Darrell Arthur,PF,29,DEN,19,141,.468,17.8,,.511,.128,.064,.149,.170,.489,,.583,1.000,.000,.286,.750,.348,,.929,1.000,,.021,1,,.174,.250,,0,0,arthuda01
22,Jamel Artis,SG,25,ORL,15,279,.392,14.6,,.633,.152,.228,.076,.177,.367,,.460,.667,.444,.333,.357,.276,,.696,.875,,.013,0,,.310,.222,,0,0,artisja01
23,Ömer Aşık,C,31,TOT,18,182,.409,2.9,,1.000,.818,.091,.045,.045,.000,,.409,.389,.500,1.000,.000,,,1.000,,,.045,1,,,,,0,0,asikom01
23,Ömer Aşık,C,31,NOP,14,121,.438,3.3,,1.000,.813,.063,.063,.063,.000,,.438,.385,1.000,1.000,.000,,,1.000,,,.063,1,,,,,0,0,asikom01
23,Ömer Aşık,C,31,CHI,4,61,.333,1.7,,1.000,.833,.167,.000,.000,.000,,.333,.400,.000,,,,,1.000,,,.000,0,,,,,0,0,asikom01
24,D.J. Augustin,PG,30,ORL,75,1760,.452,15.6,,.496,.241,.146,.054,.054,.504,,.485,.569,.367,.414,.517,.419,,.231,.675,,.000,0,,.154,.357,,2,0,augusdj01
25,Luke Babbitt,SF,28,TOT,50,715,.423,20.9,,.274,.042,.056,.102,.074,.726,,.525,.444,.667,.455,.563,.385,,.548,.983,,.009,2,,.276,.395,,0,0,babbilu01
25,Luke Babbitt,SF,28,ATL,37,570,.476,20.0,,.339,.054,.071,.125,.089,.661,,.544,.444,.667,.476,.600,.441,,.548,.980,,.012,2,,.270,.433,,0,0,babbilu01
25,Luke Babbitt,SF,28,MIA,13,145,.234,24.2,,.043,.000,.000,.021,.021,.957,,.000,,,.000,.000,.244,,,1.000,,.000,0,,.289,.308,,0,0,babbilu01
26,Dwayne Bacon,SG,22,CHO,53,713,.375,14.3,,.776,.182,.104,.193,.302,.224,,.409,.629,.400,.324,.328,.256,,.525,1.000,,.026,3,,.372,.375,,0,0,bacondw01
27,Ron Baker,SG,24,NYK,29,385,.339,15.9,,.441,.288,.068,.000,.085,.559,,.346,.471,.000,,.200,.333,,.556,.727,,.000,0,,.333,.364,,0,0,bakerro01
28,Wade Baldwin,PG,21,POR,7,80,.667,10.7,,.762,.286,.238,.190,.048,.238,,.625,.833,.800,.250,.000,.800,,.000,1.000,,.048,1,,.000,,,0,0,baldwwa01
29,Lonzo Ball,PG,20,LAL,52,1780,.360,16.1,,.477,.273,.092,.053,.059,.523,,.420,.494,.269,.400,.333,.305,,.327,.744,,.030,15,,.115,.235,,3,0,balllo01
30,J.J. Barea,PG,33,DAL,69,1603,.439,15.6,,.546,.168,.184,.117,.077,.454,,.499,.664,.449,.420,.377,.367,,.154,.626,,.000,0,,.067,.238,,3,0,bareajo01
31,Harrison Barnes,PF,25,DAL,77,2634,.445,13.2,,.724,.210,.205,.136,.172,.276,,.478,.630,.440,.354,.438,.357,,.366,.832,,.031,34,,.255,.412,,3,0,barneha02
32,Will Barton,SG,27,DEN,81,2683,.452,13.3,,.589,.284,.201,.057,.047,.411,,.510,.661,.377,.407,.292,.370,,.392,.731,,.040,38,,.090,.421,,3,0,bartowi01
33,Nicolas Batum,SG,29,CHO,64,1981,.415,17.5,,.578,.109,.063,.197,.209,.422,,.473,.704,.439,.445,.390,.336,,.388,.848,,.015,10,,.109,.267,,1,0,batumni01
34,Jerryd Bayless,SG,29,PHI,39,925,.416,17.0,,.443,.168,.118,.050,.107,.557,,.474,.682,.419,.308,.286,.370,,.727,.963,,.004,1,,.329,.396,,0,0,bayleje01
35,Aron Baynes,C,31,BOS,81,1485,.471,7.9,,.953,.399,.195,.188,.170,.047,,.487,.562,.379,.464,.461,.143,,.744,1.000,,.126,40,,.571,.083,,0,0,baynear01
36,Kent Bazemore,SG,28,ATL,65,1789,.420,14.7,,.595,.226,.139,.080,.149,.405,,.438,.608,.266,.333,.396,.394,,.472,.833,,.031,19,,.285,.436,,1,0,bazemke01
37,Bradley Beal,SG,24,WAS,82,2977,.460,15.2,,.643,.206,.104,.146,.187,.357,,.507,.682,.394,.463,.414,.375,,.355,.784,,.034,42,,.098,.404,,3,0,bealbr01
38,Malik Beasley,SG,21,DEN,62,583,.410,14.6,,.539,.242,.163,.051,.084,.461,,.469,.605,.345,.333,.400,.341,,.711,.929,,.056,10,,.354,.310,,0,0,beaslma01
39,Michael Beasley,PF,29,NYK,74,1653,.507,9.0,,.893,.328,.268,.171,.124,.107,,.520,.675,.463,.428,.370,.395,,.467,.912,,.052,37,,.267,.304,,1,0,beaslmi01
40,Marco Belinelli,SG,31,TOT,80,1947,.441,18.9,,.483,.126,.050,.064,.242,.517,,.509,.667,.342,.510,.465,.377,,.803,.879,,.008,4,,.144,.404,,2,0,belinma01
40,Marco Belinelli,SG,31,ATL,52,1210,.410,18.9,,.491,.122,.045,.074,.247,.509,,.450,.576,.273,.472,.417,.372,,.738,.837,,.010,3,,.150,.432,,2,0,belinma01
40,Marco Belinelli,SG,31,PHI,28,737,.495,19.0,,.470,.133,.057,.047,.233,.530,,.618,.811,.438,.615,.554,.385,,.889,.947,,.004,1,,.135,.350,,0,0,belinma01
41,Jordan Bell,C,23,GSW,57,809,.627,4.0,,.978,.703,.130,.103,.043,.022,,.641,.700,.417,.632,.375,.000,,.733,,,.292,44,,.000,,,0,0,belljo01
42,DeAndre' Bembry,SF,23,ATL,26,455,.414,8.7,,.766,.500,.148,.109,.008,.234,,.429,.516,.211,.286,1.000,.367,,.405,1.000,,.070,9,,.333,.400,,0,0,bembrde01
43,Dragan Bender,PF,20,PHO,82,2069,.386,17.8,,.335,.180,.099,.025,.031,.665,,.426,.575,.313,.167,.133,.366,,.507,.992,,.021,9,,.255,.378,,0,0,bendedr01
