,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Álex Abrines,SG,25,OKC,31,588,.357,22.3,,.191,.102,.025,.019,.045,.809,,.500,.500,.500,.333,.571,.323,,.800,.951,,.006,1,,.205,.385,,2,0,abrinal01
2,Quincy Acy,PF,28,PHO,10,123,.222,21.7,,.167,.111,.000,.056,.000,.833,,.667,1.000,,.000,,.133,,1.000,1.000,,.000,0,,.333,.200,,0,0,acyqu01
3,Jaylen Adams,PG,22,ATL,34,428,.345,20.2,,.327,.118,.082,.073,.055,.673,,.361,.538,.111,.250,.500,.338,,.231,.840,,.000,0,,.149,.182,,1,0,adamsja01
4,Steven Adams,C,25,OKC,80,2669,.595,3.5,,.998,.645,.294,.058,.000,.002,,.596,.667,.458,.511,,.000,,.642,,,.190,131,,.000,,,2,0,adamsst01
5,Bam Adebayo,C,21,MIA,82,1913,.576,5.2,,.969,.572,.243,.121,.033,.031,,.588,.716,.415,.373,.438,.200,,.700,.667,,.257,117,,.267,.000,,2,0,adebaba01
6,Deng Adel,SF,21,CLE,19,194,.306,19.2,,.361,.139,.083,.111,.028,.639,,.385,.400,.333,.250,1.000,.261,,.600,1.000,,.000,0,,.217,.200,,0,0,adelde01
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,22,.300,12.9,,.600,.500,.000,.000,.100,.400,,.500,.600,,,.000,.000,,.667,,,.100,1,,.250,.000,,0,0,akoonde01
8,LaMarcus Aldridge,C,33,SAS,81,2687,.519,9.7,,.968,.270,.246,.252,.201,.032,,.528,.716,.485,.437,.442,.238,,.588,.900,,.042,51,,.095,.250,,0,0,aldrila01
9,Rawle Alkins,SG,21,CHI,10,120,.333,10.1,,.692,.385,.282,.026,.000,.308,,.370,.533,.182,.000,,.250,,.700,1.000,,.026,1,,.333,.500,,0,0,alkinra01
10,Grayson Allen,SG,23,UTA,38,416,.376,17.5,,.444,.157,.140,.079,.067,.556,,.443,.571,.360,.286,.500,.323,,.400,.938,,.045,6,,.303,.400,,1,0,allengr01
11,Jarrett Allen,C,20,BRK,80,2096,.590,4.3,,.921,.678,.220,.021,.002,.079,,.629,.725,.384,.167,.000,.133,,.830,1.000,,.343,170,,.867,.154,,0,0,allenja01
12,Kadeem Allen,PG,26,NYK,19,416,.461,12.0,,.745,.298,.184,.191,.071,.255,,.457,.643,.308,.370,.300,.472,,.208,.882,,.000,0,,.139,.200,,1,0,allenka01
13,Al-Farouq Aminu,PF,28,POR,81,2292,.433,13.9,,.528,.351,.105,.029,.044,.472,,.514,.611,.419,.118,.231,.343,,.516,1.000,,.079,42,,.311,.356,,0,0,aminual01
14,Justin Anderson,SF,25,ATL,48,463,.408,14.8,,.510,.293,.127,.070,.019,.490,,.500,.674,.300,.273,.000,.312,,.525,.917,,.096,14,,.221,.353,,1,0,anderju01
15,Kyle Anderson,SF,25,MEM,43,1281,.543,7.9,,.877,.464,.261,.051,.101,.123,,.583,.680,.486,.357,.500,.265,,.539,1.000,,.011,2,,.618,.381,,0,0,anderky01
16,Ryan Anderson,PF,30,TOT,25,322,.304,19.4,,.420,.203,.000,.101,.116,.580,,.414,.500,,.143,.500,.225,,.500,1.000,,.029,1,,.175,.143,,1,0,anderry01
16,Ryan Anderson,PF,30,PHO,15,278,.317,18.7,,.433,.200,.000,.117,.117,.567,,.462,.583,,.143,.571,.206,,.500,1.000,,.033,1,,.147,.000,,0,0,anderry01
16,Ryan Anderson,PF,30,MIA,10,44,.222,24.3,,.333,.222,.000,.000,.111,.667,,.000,.000,,,.000,.333,,,1.000,,.000,0,,.333,.500,,1,0,anderry01
17,Ike Anigbogu,C,20,IND,3,6,.000,12.8,,1.000,.333,.000,.000,.667,.000,,.000,.000,,,.000,,,,,,.000,0,,,,,0,0,anigbik01
18,Giannis Antetokounmpo,PF,24,MIL,72,2358,.578,7.7,,.837,.573,.152,.051,.063,.163,,.641,.769,.339,.381,.410,.256,,.472,.673,,.246,279,,.044,.222,,1,0,antetgi01
19,Kostas Antetokounmpo,PF,21,DAL,2,11,.000,4.0,,1.000,.333,.667,.000,.000,.000,,.000,.000,.000,,,,,,,,.000,0,,,,,0,0,antetko01
20,Carmelo Anthony,PF,34,HOU,10,294,.405,18.5,,.471,.149,.066,.124,.132,.529,,.491,.611,.500,.467,.375,.328,,.429,.905,,.017,2,,.047,.333,,0,0,anthoca01
21,OG Anunoby,SF,21,TOR,67,1352,.453,14.0,,.500,.347,.109,.022,.022,.500,,.574,.693,.273,.333,.444,.332,,.491,.985,,.114,39,,.465,.266,,0,0,anunoog01
22,Ryan Arcidiacono,PG,24,CHI,81,1961,.447,16.8,,.481,.172,.165,.091,.053,.519,,.527,.597,.449,.579,.455,.373,,.264,.864,,.000,0,,.226,.469,,0,0,arcidry01
23,Trevor Ariza,SF,33,TOT,69,2349,.399,16.6,,.410,.262,.091,.023,.034,.590,,.493,.611,.224,.294,.440,.334,,.617,.917,,.042,29,,.297,.395,,1,0,arizatr01
23,Trevor Ariza,SF,33,PHO,26,884,.379,16.8,,.388,.251,.097,.013,.026,.612,,.409,.491,.227,.000,.500,.360,,.472,.940,,.040,9,,.288,.400,,0,0,arizatr01
23,Trevor Ariza,SF,33,WAS,43,1465,.409,16.5,,.420,.267,.088,.028,.037,.580,,.528,.662,.222,.357,.421,.322,,.664,.905,,.043,20,,.302,.393,,1,0,arizatr01
24,D.J. Augustin,PG,31,ORL,81,2269,.470,15.2,,.541,.267,.137,.075,.061,.459,,.511,.646,.333,.353,.512,.421,,.182,.641,,.001,0,,.174,.519,,4,0,augusdj01
25,Deandre Ayton,C,20,PHO,71,2183,.585,6.7,,.995,.478,.217,.154,.146,.005,,.588,.733,.556,.410,.346,.000,,.711,,,.163,135,,.250,.000,,0,0,aytonde01
26,Dwayne Bacon,SG,23,CHO,43,759,.475,13.0,,.661,.288,.179,.121,.074,.339,,.494,.730,.304,.355,.263,.437,,.607,.737,,.027,7,,.299,.462,,0,0,bacondw01
27,Marvin Bagley III,PF,19,SAC,62,1567,.504,8.7,,.864,.363,.310,.126,.065,.136,,.534,.691,.434,.393,.413,.313,,.515,.900,,.112,75,,.219,.190,,1,0,baglema01
28,Ron Baker,SG,25,TOT,15,152,.200,18.4,,.350,.250,.000,.000,.100,.650,,.429,.400,,,.500,.077,,.333,1.000,,.000,0,,.385,.000,,0,0,bakerro01
28,Ron Baker,SG,25,NYK,11,107,.250,16.6,,.438,.313,.000,.000,.125,.563,,.429,.400,,,.500,.111,,.333,1.000,,.000,0,,.333,.000,,0,0,bakerro01
28,Ron Baker,SG,25,WAS,4,45,.000,25.5,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.500,.000,,0,0,bakerro01
29,Wade Baldwin,PG,22,POR,16,94,.303,12.1,,.727,.303,.182,.091,.152,.273,,.333,.300,.333,.333,.400,.222,,.125,.000,,.000,0,,.000,,,0,0,baldwwa01
30,Lonzo Ball,PG,21,LAL,47,1423,.406,15.4,,.500,.309,.096,.046,.048,.500,,.482,.596,.295,.238,.364,.329,,.427,.760,,.061,25,,.171,.231,,2,0,balllo01
31,Mo Bamba,C,20,ORL,47,766,.481,12.5,,.712,.350,.144,.078,.140,.288,,.555,.788,.286,.263,.412,.300,,.656,.952,,.148,34,,.257,.333,,1,0,bambamo01
32,J.J. Barea,PG,34,DAL,38,752,.418,14.1,,.668,.203,.221,.138,.106,.332,,.479,.654,.341,.472,.439,.297,,.163,.447,,.000,0,,.055,.286,,0,0,bareajo01
33,Harrison Barnes,PF-SF,26,TOT,77,2533,.420,14.9,,.571,.195,.212,.096,.067,.429,,.439,.650,.358,.313,.261,.395,,.506,.868,,.031,28,,.297,.450,,2,0,barneha02
33,Harrison Barnes,PF,26,DAL,49,1584,.404,15.0,,.566,.197,.195,.099,.075,.434,,.416,.617,.336,.296,.259,.389,,.485,.876,,.024,14,,.277,.442,,0,0,barneha02
33,Harrison Barnes,SF,26,SAC,28,949,.455,14.8,,.581,.190,.252,.090,.048,.419,,.489,.729,.397,.357,.267,.408,,.545,.849,,.048,14,,.346,.467,,2,0,barneha02
34,Will Barton,SF,28,DEN,43,1189,.402,15.1,,.574,.215,.187,.093,.078,.426,,.447,.596,.349,.395,.333,.342,,.458,.791,,.015,6,,.122,.375,,2,0,bartowi01
35,Keita Bates-Diop,SF,23,MIN,30,503,.423,13.2,,.634,.345,.127,.077,.085,.366,,.522,.735,.278,.273,.250,.250,,.745,1.000,,.035,5,,.365,.211,,1,0,bateske01
36,Nicolas Batum,SF,30,CHO,75,2354,.450,17.1,,.470,.210,.077,.084,.100,.530,,.519,.661,.442,.383,.393,.389,,.540,.828,,.044,22,,.309,.457,,1,0,batumni01
37,Jerryd Bayless,PG,30,MIN,34,657,.357,17.1,,.574,.170,.096,.087,.222,.426,,.402,.462,.364,.200,.451,.296,,.321,.724,,.000,0,,.133,.231,,1,0,bayleje01
38,Aron Baynes,C,32,BOS,51,821,.471,9.9,,.726,.462,.157,.072,.036,.274,,.519,.573,.429,.500,.250,.344,,.667,1.000,,.121,22,,.180,.364,,0,0,baynear01
39,Kent Bazemore,SG,29,ATL,67,1643,.402,15.0,,.566,.279,.109,.078,.100,.434,,.465,.611,.213,.296,.464,.320,,.478,.844,,.023,15,,.353,.340,,4,0,bazemke01
40,Bradley Beal,SG,25,WAS,82,3028,.475,14.7,,.630,.281,.100,.103,.145,.370,,.548,.697,.422,.464,.406,.351,,.425,.718,,.042,61,,.141,.417,,1,0,bealbr01
41,Malik Beasley,SG,22,DEN,81,1879,.474,16.8,,.450,.202,.115,.064,.069,.550,,.560,.732,.365,.553,.392,.402,,.758,.982,,.072,45,,.188,.461,,1,0,beaslma01
