,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Shareef Abdur-Rahim,PF,31,SAC,6,51,.214,8.8,,1.000,.429,.214,.000,.357,.000,,.214,.167,.333,,.200,,,.333,,,.000,0,,,,,0,0,abdursh01
2,Arron Afflalo,SG,22,DET,75,970,.411,12.7,,.801,.332,.054,.129,.286,.199,,.461,.525,.308,.419,.435,.208,,.652,.800,,.008,2,,.458,.091,,1,0,afflaar01
3,Maurice Ager,SG,23,TOT,26,165,.323,13.7,,.708,.338,.062,.046,.262,.292,,.391,.455,.250,.000,.412,.158,,.722,1.000,,.077,5,,.211,.250,,0,0,agerma01
3,Maurice Ager,SG,23,DAL,12,77,.185,13.9,,.704,.296,.074,.111,.222,.296,,.263,.375,.500,.000,.167,.000,,.800,,,.074,2,,.000,,,0,0,agerma01
3,Maurice Ager,SG,23,NJN,14,88,.421,13.6,,.711,.368,.053,.000,.289,.289,,.481,.500,.000,,.545,.273,,.692,1.000,,.079,3,,.364,.250,,0,0,agerma01
4,Blake Ahearn,PG,23,MIA,12,177,.263,18.6,,.404,.140,.070,.088,.105,.596,,.217,.250,.500,.200,.000,.294,,.200,1.000,,.000,0,,.235,.375,,0,0,ahearbl01
5,LaMarcus Aldridge,PF,22,POR,76,2649,.484,10.9,,.994,.197,.272,.218,.308,.006,,.486,.693,.463,.443,.403,.143,,.645,1.000,,.079,86,,.143,.000,,2,0,aldrila01
6,Malik Allen,PF,29,TOT,73,1096,.480,14.8,,.994,.128,.070,.196,.599,.006,,.480,.524,.174,.469,.510,.500,,.750,1.000,,.009,3,,.000,,,1,0,allenma01
6,Malik Allen,PF,29,NJN,48,763,.475,15.0,,.992,.123,.069,.195,.605,.008,,.475,.531,.111,.451,.513,.500,,.756,1.000,,.004,1,,.000,,,1,0,allenma01
6,Malik Allen,PF,29,DAL,25,333,.500,13.9,,1.000,.152,.076,.197,.576,.000,,.500,.500,.400,.538,.500,,,.727,,,.030,2,,,,,0,0,allenma01
7,Ray Allen*,SG,32,BOS,73,2624,.445,16.7,,.542,.200,.080,.092,.169,.458,,.485,.604,.329,.330,.503,.398,,.537,.806,,.009,9,,.263,.403,,3,0,allenra02
8,Tony Allen,SG,26,BOS,75,1373,.434,8.6,,.853,.491,.149,.067,.147,.147,,.455,.524,.379,.346,.351,.316,,.490,1.000,,.049,17,,.456,.385,,1,0,allento01
9,Lance Allred,C,26,CLE,3,10,.250,17.9,,1.000,.000,.000,.000,1.000,.000,,.250,,,,.250,,,1.000,,,.000,0,,,,,0,0,allrela01
