,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Quincy Acy,PF,24,NYK,68,1287,.459,12.4,,.819,.296,.094,.133,.296,.181,,.494,.673,.419,.409,.378,.300,,.724,1.000,,.106,33,,.383,.261,,1,0,acyqu01
2,Jordan Adams,SG,20,MEM,30,248,.407,12.5,,.709,.291,.151,.081,.186,.291,,.410,.560,.231,.714,.188,.400,,.600,.900,,.000,0,,.360,.222,,0,0,adamsjo01
3,Steven Adams,C,21,OKC,70,1771,.544,2.9,,.995,.604,.351,.038,.003,.005,,.547,.643,.407,.333,.000,.000,,.650,,,.213,72,,.000,,,1,0,adamsst01
4,Jeff Adrien,PF,28,MIN,17,215,.432,4.9,,1.000,.523,.250,.114,.114,.000,,.432,.522,.273,.400,.400,,,.632,,,.068,2,,,,,0,0,adrieje01
5,Arron Afflalo,SG,29,TOT,78,2502,.424,15.9,,.623,.124,.136,.161,.202,.377,,.466,.573,.375,.486,.447,.354,,.549,.958,,.000,0,,.387,.341,,0,0,afflaar01
5,Arron Afflalo,SG,29,DEN,53,1750,.428,15.7,,.630,.117,.148,.170,.195,.370,,.481,.571,.361,.500,.500,.337,,.543,.976,,.000,0,,.383,.355,,0,0,afflaar01
5,Arron Afflalo,SG,29,POR,25,752,.414,16.3,,.604,.145,.101,.132,.225,.396,,.423,.576,.435,.433,.314,.400,,.569,.917,,.000,0,,.400,.306,,0,0,afflaar01
6,Alexis Ajinça,C,26,NOP,68,957,.550,6.7,,1.000,.353,.340,.198,.106,.000,,.550,.603,.563,.508,.429,,,.613,,,.088,28,,,,,0,0,ajincal01
7,Furkan Aldemir,PF,23,PHI,41,540,.513,5.6,,.936,.628,.154,.013,.141,.064,,.548,.694,.083,1.000,.364,.000,,.450,,,.128,10,,.000,,,0,0,aldemfu01
8,Cole Aldrich,C,26,NYK,61,976,.478,4.3,,1.000,.359,.575,.060,.007,.000,,.478,.676,.376,.333,.000,,,.653,,,.093,26,,,,,0,0,aldrico01
9,LaMarcus Aldridge,PF,29,POR,71,2512,.466,12.3,,.926,.193,.163,.206,.365,.074,,.475,.700,.448,.392,.415,.352,,.468,.919,,.020,27,,.295,.355,,1,0,aldrila01
10,Lavoy Allen,C,25,IND,63,1070,.472,9.8,,1.000,.314,.217,.090,.378,.000,,.472,.702,.400,.259,.372,,,.674,,,.030,8,,,,,0,0,allenla01
11,Tony Allen,SG,33,MEM,63,1648,.495,4.3,,.936,.690,.165,.031,.051,.064,,.505,.564,.333,.500,.261,.345,,.595,1.000,,.053,22,,.621,.333,,0,0,allento01
12,Al-Farouq Aminu,SF,24,DAL,74,1366,.412,10.9,,.653,.412,.134,.036,.070,.347,,.485,.619,.250,.538,.120,.274,,.673,1.000,,.132,42,,.500,.306,,0,0,aminual01
13,Lou Amundson,PF,32,TOT,53,937,.427,4.9,,.996,.502,.318,.122,.055,.004,,.429,.477,.358,.387,.500,.000,,.670,,,.071,16,,.000,,,1,0,amundlo01
13,Lou Amundson,PF,32,CLE,12,79,.333,3.2,,1.000,.500,.500,.000,.000,.000,,.333,.333,.333,,,,,.750,,,.167,1,,,,,0,0,amundlo01
13,Lou Amundson,PF,32,NYK,41,858,.432,5.0,,.996,.502,.309,.128,.058,.004,,.434,.484,.360,.387,.500,.000,,.667,,,.066,15,,.000,,,1,0,amundlo01
14,Chris Andersen,C,36,MIA,60,1132,.580,5.2,,.937,.705,.087,.043,.101,.063,,.598,.671,.389,.333,.381,.308,,.784,1.000,,.271,52,,.538,.571,,3,0,anderch01
15,Alan Anderson,SG,32,BRK,74,1744,.443,15.6,,.523,.230,.111,.095,.084,.477,,.530,.683,.449,.452,.297,.348,,.541,.822,,.025,10,,.367,.429,,5,0,anderal01
16,Kyle Anderson,SF,21,SAS,33,358,.348,10.9,,.876,.258,.213,.180,.225,.124,,.359,.565,.316,.250,.250,.273,,.357,1.000,,.022,2,,.545,.500,,0,0,anderky01
17,Ryan Anderson,PF,26,NOP,61,1675,.399,16.5,,.508,.214,.092,.082,.119,.492,,.457,.558,.463,.333,.356,.340,,.379,.943,,.010,6,,.148,.340,,3,0,anderry01
18,Giannis Antetokounmpo,SG,20,MIL,81,2541,.491,7.2,,.944,.506,.178,.067,.192,.056,,.511,.646,.288,.423,.393,.159,,.519,.857,,.129,95,,.159,.143,,1,0,antetgi01
