,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Precious Achiuwa,PF,21,MIA,61,737,.544,3.3,,.996,.667,.263,.039,.026,.004,,.546,.645,.367,.333,.167,.000,,.734,,,.259,48,,.000,,,0,0,achiupr01
2,Jaylen Adams,PG,24,MIL,7,18,.125,11.0,,.750,.250,.375,.125,.000,.250,,.167,.000,.000,1.000,,.000,,.000,,,.000,0,,.000,,,0,0,adamsja01
3,Steven Adams,C,27,NOP,58,1605,.614,3.9,,.990,.646,.276,.068,.000,.010,,.620,.693,.494,.429,,.000,,.598,,,.182,51,,.000,,,3,0,adamsst01
4,Bam Adebayo,C,23,MIA,64,2143,.570,7.6,,.990,.353,.303,.225,.110,.010,,.573,.794,.471,.456,.386,.250,,.656,1.000,,.188,137,,.125,.000,,0,0,adebaba01
5,LaMarcus Aldridge,C,35,TOT,26,674,.473,15.5,,.730,.152,.122,.152,.304,.270,,.505,.622,.472,.444,.489,.388,,.688,.968,,.044,12,,.175,.429,,0,0,aldrila01
5,LaMarcus Aldridge,C,35,SAS,21,544,.464,16.6,,.698,.109,.129,.125,.335,.302,,.509,.630,.438,.452,.518,.360,,.705,.963,,.024,6,,.160,.417,,0,0,aldrila01
5,LaMarcus Aldridge,C,35,BRK,5,130,.521,9.9,,.896,.375,.083,.292,.146,.104,,.488,.611,.750,.429,.143,.800,,.619,1.000,,.146,6,,.400,.500,,0,0,aldrila01
6,Ty-Shon Alexander,SG,22,PHO,15,47,.250,22.3,,.250,.083,.000,.000,.167,.750,,.333,1.000,,,.000,.222,,.000,.500,,.083,1,,.111,.000,,0,0,alexaty01
7,Nickeil Alexander-Walker,SG,22,NOP,46,1007,.419,15.5,,.522,.236,.164,.041,.081,.478,,.485,.481,.520,.421,.459,.347,,.345,.921,,.015,7,,.283,.387,,1,1,alexani01
8,Grayson Allen,SG,25,MEM,50,1259,.418,19.2,,.338,.123,.126,.070,.019,.662,,.471,.667,.365,.414,.125,.391,,.606,.907,,.029,11,,.172,.340,,0,0,allengr01
9,Jarrett Allen,C,22,TOT,63,1864,.618,4.5,,.961,.600,.276,.056,.029,.039,,.631,.761,.436,.407,.214,.316,,.723,1.000,,.288,127,,.368,.286,,0,0,allenja01
9,Jarrett Allen,C,22,BRK,12,320,.677,2.9,,1.000,.723,.185,.046,.046,.000,,.677,.809,.333,.333,.333,,,.750,,,.277,17,,,,,0,0,allenja01
9,Jarrett Allen,C,22,CLE,51,1544,.609,4.7,,.954,.580,.290,.058,.026,.046,,.623,.752,.446,.417,.182,.316,,.718,1.000,,.290,110,,.368,.286,,0,0,allenja01
10,Al-Farouq Aminu,PF,30,TOT,23,434,.384,13.2,,.626,.273,.242,.030,.081,.374,,.484,.519,.417,.000,.750,.216,,.467,.875,,.030,3,,.216,.500,,0,0,aminual01
10,Al-Farouq Aminu,PF,30,ORL,17,367,.404,12.7,,.652,.281,.247,.034,.090,.348,,.500,.560,.409,.000,.750,.226,,.448,.857,,.034,3,,.194,.667,,0,0,aminual01
10,Al-Farouq Aminu,PF,30,CHI,6,67,.200,17.2,,.400,.200,.200,.000,.000,.600,,.250,.000,.500,,,.167,,1.000,1.000,,.000,0,,.333,.000,,0,0,aminual01
11,Kyle Anderson,PF,27,MEM,69,1887,.468,14.8,,.603,.158,.220,.149,.076,.397,,.539,.654,.497,.541,.420,.360,,.449,.862,,.012,7,,.425,.369,,1,0,anderky01
12,Giannis Antetokounmpo,PF,26,MIL,61,2013,.569,9.5,,.799,.451,.193,.094,.062,.201,,.636,.837,.401,.359,.324,.303,,.428,.299,,.169,178,,.045,.300,,0,0,antetgi01
13,Kostas Antetokounmpo,PF,23,LAL,15,56,.300,4.1,,1.000,.400,.600,.000,.000,.000,,.300,.750,.000,,,,,.333,,,.400,2,,,,,0,0,antetko01
14,Thanasis Antetokounmpo,SF,28,MIL,57,551,.489,8.4,,.788,.620,.139,.015,.015,.212,,.556,.671,.105,.000,.500,.241,,.583,.714,,.255,29,,.310,.333,,4,0,antetth01
15,Carmelo Anthony,PF,36,POR,69,1690,.421,18.1,,.582,.062,.080,.236,.205,.418,,.429,.500,.403,.448,.396,.409,,.278,.782,,.012,8,,.197,.438,,0,0,anthoca01
16,Cole Anthony,PG,20,ORL,47,1273,.397,13.3,,.688,.185,.292,.129,.083,.312,,.424,.588,.298,.493,.391,.337,,.112,.621,,.013,4,,.093,.313,,0,0,anthoco01
17,OG Anunoby,SF,23,TOR,43,1433,.480,14.8,,.497,.256,.173,.040,.027,.503,,.562,.759,.344,.381,.357,.398,,.510,.971,,.116,55,,.467,.410,,1,0,anunoog01
18,Ryan Arcidiacono,PG,26,CHI,44,450,.419,18.3,,.427,.154,.137,.085,.051,.573,,.480,.556,.375,.700,.167,.373,,.542,1.000,,.000,0,,.224,.467,,1,0,arcidry01
19,Trevor Ariza,SF,35,MIA,30,841,.411,16.1,,.407,.286,.095,.008,.017,.593,,.500,.609,.261,.000,.250,.350,,.776,.940,,.041,9,,.413,.373,,1,0,arizatr01
20,D.J. Augustin,PG,33,TOT,57,1129,.394,19.0,,.367,.146,.102,.073,.047,.633,,.413,.540,.371,.280,.313,.382,,.212,.711,,.000,0,,.194,.310,,0,0,augusdj01
20,D.J. Augustin,PG,33,MIL,37,713,.370,20.0,,.328,.109,.094,.073,.052,.672,,.349,.476,.333,.214,.300,.380,,.136,.755,,.000,0,,.240,.355,,0,0,augusdj01
20,D.J. Augustin,PG,33,HOU,20,416,.424,17.8,,.417,.192,.113,.073,.040,.583,,.476,.586,.412,.364,.333,.386,,.267,.647,,.000,0,,.125,.182,,0,0,augusdj01
21,Deni Avdija,SF,20,WAS,54,1257,.417,16.6,,.462,.144,.237,.045,.035,.538,,.535,.733,.473,.214,.545,.315,,.727,.962,,.048,11,,.274,.283,,1,0,avdijde01
22,Deandre Ayton,C,22,PHO,69,2115,.626,5.5,,.971,.530,.259,.137,.045,.029,,.639,.766,.517,.479,.323,.200,,.714,1.000,,.166,109,,.000,,,0,0,aytonde01
23,Udoka Azubuike,C,21,UTA,15,57,.444,2.9,,1.000,.778,.222,.000,.000,.000,,.444,.571,.000,,,,,.750,,,.444,3,,,,,0,0,azubuud01
24,Dwayne Bacon,SG,25,ORL,72,1853,.402,12.9,,.715,.236,.226,.143,.110,.285,,.449,.579,.402,.394,.338,.285,,.408,.593,,.014,8,,.155,.219,,0,0,bacondw01
25,Marvin Bagley III,PF,21,SAC,43,1112,.504,8.8,,.780,.373,.341,.041,.024,.220,,.550,.727,.383,.550,.167,.343,,.624,.919,,.151,67,,.426,.413,,0,0,baglema01
26,LaMelo Ball,PG,19,CHO,51,1469,.436,13.7,,.612,.302,.174,.095,.040,.388,,.489,.576,.419,.375,.407,.352,,.284,.728,,.018,8,,.161,.357,,1,0,ballla01
27,Lonzo Ball,PG,23,NOP,55,1747,.414,19.4,,.350,.153,.057,.063,.077,.650,,.482,.626,.300,.386,.407,.378,,.415,.837,,.011,8,,.200,.396,,2,0,balllo01
