,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Precious Achiuwa,C,22,TOR,73,1725,.439,10.2,,.741,.348,.274,.085,.035,.259,,.468,.614,.345,.373,.190,.359,,.598,.964,,.143,67,,.429,.313,,0,0,achiupr01
2,Steven Adams,C,28,MEM,76,1999,.547,2.9,,.997,.693,.260,.042,.003,.003,,.548,.632,.350,.438,.000,.000,,.490,,,.143,48,,.000,,,1,0,adamsst01
3,Bam Adebayo,C,24,MIA,56,1825,.557,7.0,,.992,.395,.309,.200,.088,.008,,.562,.771,.467,.404,.313,.000,,.608,,,.181,119,,.000,,,2,0,adebaba01
4,Santi Aldama,PF,21,MEM,32,360,.402,12.0,,.636,.333,.205,.091,.008,.364,,.560,.682,.444,.417,.000,.125,,.638,1.000,,.076,10,,.229,.364,,0,0,aldamsa01
5,LaMarcus Aldridge,C,36,BRK,47,1050,.550,12.3,,.900,.210,.170,.240,.279,.100,,.578,.729,.513,.509,.563,.304,,.748,1.000,,.039,18,,.283,.308,,0,0,aldrila01
6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,.372,15.8,,.503,.213,.162,.071,.057,.497,,.433,.579,.318,.375,.282,.311,,.399,.876,,.015,8,,.240,.370,,2,0,alexani01
6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,.375,15.6,,.517,.217,.166,.074,.060,.483,,.434,.584,.333,.362,.263,.311,,.408,.895,,.014,8,,.230,.371,,2,0,alexani01
6,Nickeil Alexander-Walker,SG,23,UTA,15,149,.333,18.4,,.313,.167,.104,.021,.021,.688,,.400,.500,.000,1.000,1.000,.303,,.167,.700,,.021,0,,.333,.364,,0,0,alexani01
7,Grayson Allen,SG,26,MIL,66,1805,.448,19.2,,.316,.158,.097,.047,.014,.684,,.533,.678,.400,.370,.375,.409,,.646,.912,,.023,10,,.260,.455,,0,0,allengr01
8,Jarrett Allen,C,23,CLE,56,1810,.677,3.8,,.982,.624,.294,.046,.018,.018,,.688,.809,.469,.480,.600,.100,,.734,.000,,.343,164,,.600,.000,,0,0,allenja01
9,Jose Alvarado,PG,23,NOP,54,834,.446,13.6,,.626,.235,.248,.099,.044,.374,,.538,.609,.507,.483,.462,.291,,.303,.969,,.000,0,,.227,.320,,1,0,alvarjo01
10,Justin Anderson,SF,28,TOT,16,316,.379,18.9,,.379,.147,.095,.042,.095,.621,,.583,.714,.444,.250,.667,.254,,.667,.933,,.032,1,,.339,.400,,0,0,anderju01
10,Justin Anderson,SF,28,CLE,3,47,.500,22.0,,.250,.125,.000,.000,.125,.750,,1.000,1.000,,,1.000,.333,,1.000,1.000,,.000,0,,.333,.000,,0,0,anderju01
