,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Quincy Acy,PF,25,SAC,59,876,.556,9.7,,.771,.458,.121,.037,.154,.229,,.606,.735,.385,.500,.424,.388,,.710,.947,,.215,43,,.347,.529,,0,0,acyqu01
2,Jordan Adams,SG,21,MEM,2,15,.333,10.8,,.833,.333,.000,.500,.000,.167,,.400,.500,,.333,,.000,,.500,,,.000,0,,.000,,,0,0,adamsjo01
3,Steven Adams,C,22,OKC,80,2014,.613,2.2,,1.000,.721,.258,.016,.005,.000,,.613,.655,.500,.571,.500,,,.762,,,.277,101,,,,,0,0,adamsst01
4,Arron Afflalo,SG,30,NYK,71,2371,.443,14.8,,.702,.115,.178,.193,.217,.298,,.469,.609,.458,.455,.416,.382,,.490,.912,,.003,2,,.424,.446,,0,0,afflaar01
5,Alexis Ajinça,C,27,NOP,59,861,.476,9.4,,.997,.283,.257,.108,.346,.003,,.478,.674,.346,.324,.468,.000,,.767,,,.098,27,,.000,,,0,0,ajincal01
6,Cole Aldrich,C,27,LAC,60,800,.596,2.8,,1.000,.560,.427,.013,.000,.000,,.596,.667,.521,.000,,,,.776,,,.093,17,,,,,0,0,aldrico01
7,LaMarcus Aldridge,PF,30,SAS,74,2261,.513,10.0,,.985,.279,.191,.211,.303,.015,,.521,.733,.465,.427,.426,.000,,.660,,,.047,47,,.500,.000,,0,0,aldrila01
8,Cliff Alexander,PF,20,POR,8,36,.500,7.4,,1.000,.400,.300,.100,.200,.000,,.500,1.000,.000,.000,.500,,,.400,,,.200,2,,,,,0,0,alexacl01
9,Lavoy Allen,PF,26,IND,79,1599,.516,7.6,,1.000,.381,.273,.103,.243,.000,,.516,.709,.446,.289,.389,,,.691,,,.081,28,,,,,0,0,allenla01
10,Tony Allen,SG,34,MEM,64,1620,.458,6.3,,.910,.582,.168,.047,.113,.090,,.468,.575,.203,.364,.358,.357,,.580,.933,,.051,23,,.714,.367,,0,0,allento01
11,Al-Farouq Aminu,SF,25,POR,82,2341,.416,14.9,,.515,.252,.121,.047,.095,.485,,.468,.597,.299,.382,.382,.361,,.595,.921,,.061,42,,.410,.392,,1,0,aminual01
12,Lou Amundson,PF,33,NYK,29,204,.358,4.8,,1.000,.566,.226,.113,.094,.000,,.358,.533,.167,.000,.200,,,.632,,,.038,2,,,,,0,0,amundlo01
13,Chris Andersen,C,37,TOT,27,402,.528,7.6,,.806,.639,.056,.028,.083,.194,,.586,.674,.000,.000,.500,.286,,.676,1.000,,.097,7,,.071,.000,,0,0,anderch01
13,Chris Andersen,C,37,MIA,7,36,.400,15.2,,.500,.300,.100,.000,.100,.500,,.400,.667,.000,,.000,.400,,.000,1.000,,.100,1,,.000,,,0,0,anderch01
13,Chris Andersen,C,37,MEM,20,366,.548,6.4,,.855,.694,.048,.032,.081,.145,,.604,.674,.000,.000,.600,.222,,.719,1.000,,.097,6,,.111,.000,,0,0,anderch01
14,Alan Anderson,SG,33,WAS,13,192,.356,18.7,,.373,.153,.085,.102,.034,.627,,.409,.556,.200,.333,.500,.324,,.333,1.000,,.000,0,,.216,.375,,1,0,anderal01
15,James Anderson,SG,26,SAC,51,721,.376,14.8,,.517,.253,.152,.051,.062,.483,,.478,.622,.407,.000,.455,.267,,.523,.870,,.039,6,,.198,.412,,1,0,anderja01
16,Justin Anderson,SF,22,DAL,55,647,.406,14.9,,.526,.251,.097,.063,.114,.474,,.533,.773,.235,.455,.300,.265,,.449,.909,,.097,17,,.410,.294,,0,0,anderju01
17,Kyle Anderson,SF,22,SAS,78,1245,.468,11.5,,.875,.217,.200,.251,.210,.125,,.488,.609,.373,.500,.452,.324,,.484,1.000,,.034,9,,.865,.375,,0,0,anderky01
18,Ryan Anderson,PF,27,NOP,66,2008,.427,15.3,,.615,.227,.097,.112,.179,.385,,.466,.521,.433,.375,.470,.366,,.444,.924,,.020,16,,.165,.322,,5,0,anderry01
19,Giannis Antetokounmpo,PG,21,MIL,80,2823,.506,7.5,,.892,.509,.180,.058,.143,.108,,.537,.684,.346,.288,.359,.257,,.485,.821,,.143,141,,.321,.343,,4,0,antetgi01
20,Thanasis Antetokounmpo,SF,23,NYK,2,6,.750,7.0,,.750,.750,.000,.000,.000,.250,,1.000,1.000,,,,.000,,.333,,,.500,2,,.000,,,0,0,antetth01
21,Carmelo Anthony,SF,31,NYK,72,2530,.434,14.0,,.763,.213,.087,.208,.255,.237,,.463,.540,.404,.423,.453,.339,,.273,.743,,.018,19,,.103,.375,,1,0,anthoca01
22,Joel Anthony,C,33,DET,19,96,.600,4.4,,1.000,.500,.200,.300,.000,.000,,.600,.800,.000,.667,,,,.667,,,.200,2,,,,,0,0,anthojo01
23,Keith Appling,PG,23,ORL,5,27,.250,14.9,,.625,.250,.000,.125,.250,.375,,.400,1.000,,.000,.000,.000,,.000,,,.000,0,,.667,.000,,0,0,applike01
24,Trevor Ariza,SF,30,HOU,81,2859,.416,16.2,,.419,.255,.054,.035,.077,.581,,.478,.594,.283,.267,.318,.371,,.599,.914,,.068,55,,.415,.430,,1,0,arizatr01
25,Darrell Arthur,PF,27,DEN,70,1516,.452,14.6,,.761,.209,.096,.115,.342,.239,,.473,.569,.362,.446,.455,.385,,.784,1.000,,.045,19,,.282,.364,,2,0,arthuda01
26,Ömer Aşık,C,29,NOP,68,1178,.533,1.5,,1.000,.851,.133,.015,.005,.000,,.533,.590,.231,.000,.000,,,.712,,,.231,43,,,,,0,0,asikom01
27,D.J. Augustin,PG,28,TOT,62,1178,.423,15.4,,.520,.260,.106,.071,.080,.480,,.440,.516,.270,.480,.393,.405,,.175,.632,,.000,0,,.220,.514,,3,1,augusdj01
27,D.J. Augustin,PG,28,OKC,34,519,.380,15.7,,.496,.256,.099,.033,.107,.504,,.367,.452,.250,.000,.385,.393,,.227,.750,,.000,0,,.246,.400,,1,0,augusdj01
27,D.J. Augustin,PG,28,DEN,28,659,.445,15.3,,.533,.262,.109,.092,.066,.467,,.475,.550,.280,.571,.400,.411,,.155,.568,,.000,0,,.206,.591,,2,1,augusdj01
28,Jeff Ayres,C,28,LAC,17,107,.522,6.7,,.957,.478,.217,.130,.130,.043,,.545,.636,.000,1.000,.667,.000,,.750,,,.087,1,,.000,,,0,0,pendeje02
29,Luke Babbitt,SF,26,NOP,47,845,.422,12.9,,.623,.218,.263,.104,.038,.377,,.433,.429,.447,.400,.455,.404,,.538,.955,,.010,3,,.220,.292,,0,0,babbilu01
30,Cameron Bairstow,C,25,CHI,18,103,.325,10.3,,.875,.275,.250,.150,.200,.125,,.343,.273,.300,.500,.375,.200,,.667,1.000,,.000,0,,.600,.333,,0,0,bairsca01
31,Leandro Barbosa,SG,33,GSW,68,1079,.462,11.8,,.703,.368,.127,.073,.132,.297,,.508,.632,.255,.296,.531,.355,,.682,.974,,.003,1,,.309,.500,,1,0,barbole01
32,J.J. Barea,PG,31,DAL,74,1667,.446,13.5,,.634,.193,.243,.113,.086,.366,,.481,.591,.405,.525,.393,.385,,.189,.570,,.000,0,,.146,.342,,1,0,bareajo01
33,Andrea Bargnani,C,30,BRK,46,634,.455,13.8,,.943,.140,.122,.194,.487,.057,,.471,.462,.471,.593,.426,.188,,.863,1.000,,.000,0,,.000,,,1,0,bargnan01
34,Harrison Barnes,SF,23,GSW,66,2042,.466,13.9,,.662,.227,.147,.104,.183,.338,,.508,.625,.409,.394,.509,.383,,.634,.988,,.093,54,,.444,.358,,0,0,barneha02
35,Matt Barnes,SF,35,MEM,76,2190,.381,15.4,,.466,.270,.107,.029,.061,.534,,.449,.561,.311,.400,.214,.322,,.634,.941,,.013,8,,.284,.305,,3,0,barnema02
