,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Shareef Abdur-Rahim,C,30,SAC,80,2015,.474,7.8,,.969,.381,.304,.061,.223,.031,,.484,.562,.472,.375,.397,.150,,.541,1.000,,.099,59,,.400,.375,,0,0,abdursh01
2,Hassan Adams,SG,22,NJN,61,495,.556,5.2,,.993,.681,.059,.074,.178,.007,,.560,.652,.000,.300,.500,.000,,.747,,,.111,15,,.000,,,0,0,adamsha01
3,Maurice Ager,SG,22,DAL,32,214,.314,12.8,,.786,.357,.043,.071,.314,.214,,.309,.280,.333,.000,.409,.333,,.235,.400,,.057,2,,.200,.000,,0,0,agerma01
4,LaMarcus Aldridge,C,21,POR,63,1392,.503,9.3,,.996,.367,.129,.194,.305,.004,,.505,.710,.484,.312,.390,.000,,.680,,,.121,52,,.000,,,0,0,aldrila01
5,Malik Allen,PF,28,CHI,60,638,.415,12.2,,.996,.178,.167,.244,.407,.004,,.416,.522,.279,.349,.467,.000,,.710,,,.004,1,,.000,,,0,0,allenma01
6,Ray Allen*,SG,31,SEA,55,2219,.438,16.2,,.616,.181,.090,.129,.215,.384,,.479,.608,.365,.477,.419,.372,,.306,.806,,.008,9,,.181,.363,,3,0,allenra02
7,Tony Allen,SG,25,BOS,33,805,.514,7.7,,.873,.548,.124,.062,.139,.127,,.553,.669,.406,.188,.389,.242,,.448,.875,,.066,16,,.364,.167,,0,0,allento01
8,Rafer Alston,PG,30,HOU,82,3040,.375,16.4,,.481,.220,.113,.043,.106,.519,,.389,.487,.348,.227,.296,.363,,.272,.797,,.000,0,,.174,.272,,0,0,alstora01
9,Lou Amundson,PF,24,TOT,11,89,.400,1.9,,1.000,.800,.067,.133,.000,.000,,.400,.500,.000,.000,,,,.833,,,.200,3,,,,,0,0,amundlo01
9,Lou Amundson,PF,24,UTA,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,amundlo01
9,Lou Amundson,PF,24,PHI,10,87,.400,1.9,,1.000,.800,.067,.133,.000,.000,,.400,.500,.000,.000,,,,.833,,,.200,3,,,,,0,0,amundlo01
10,Alan Anderson,SG,24,CHA,17,256,.457,12.6,,.753,.383,.074,.086,.210,.247,,.525,.613,.333,.714,.353,.250,,.406,1.000,,.012,0,,.400,.375,,1,0,anderal01
11,Derek Anderson,SF,32,CHA,50,1190,.429,18.1,,.483,.160,.031,.068,.224,.517,,.507,.702,.556,.350,.409,.355,,.583,.926,,.007,2,,.355,.315,,0,0,anderde01
12,Carmelo Anthony,SF,22,DEN,65,2486,.476,10.0,,.897,.422,.081,.114,.281,.103,,.499,.641,.407,.333,.380,.268,,.584,.875,,.115,157,,.121,.333,,2,0,anthoca01
13,Rafael Araújo,C,26,UTA,28,248,.415,8.8,,1.000,.323,.277,.077,.323,.000,,.415,.524,.333,.400,.381,,,.704,,,.031,2,,,,,0,0,araujra01
14,Gilbert Arenas,PG,25,WAS,74,2942,.418,16.2,,.623,.242,.048,.066,.267,.377,,.459,.572,.347,.353,.402,.351,,.251,.580,,.006,9,,.087,.294,,2,0,arenagi01
15,Trevor Ariza,SG,21,ORL,57,1278,.539,6.3,,.981,.633,.073,.046,.229,.019,,.549,.677,.222,.176,.376,.000,,.585,,,.124,46,,.286,.000,,1,0,arizatr01
16,Darrell Armstrong,PG,38,IND,81,1275,.414,19.5,,.432,.154,.053,.053,.172,.568,,.515,.707,.250,.400,.462,.336,,.452,.736,,.000,0,,.271,.328,,6,1,armstda01
17,Hilton Armstrong,C,22,NOK,56,634,.544,5.5,,1.000,.576,.136,.112,.176,.000,,.544,.694,.294,.429,.318,,,.529,,,.232,28,,,,,0,0,armsthi01
18,Carlos Arroyo,PG,27,ORL,72,1304,.425,13.8,,.893,.192,.092,.195,.414,.107,,.443,.435,.500,.409,.449,.275,,.196,.929,,.000,0,,.255,.462,,0,0,arroyca01
19,Chucky Atkins,PG,32,MEM,75,2064,.434,15.5,,.572,.291,.059,.059,.164,.428,,.474,.524,.357,.452,.436,.379,,.113,.767,,.000,0,,.170,.500,,4,0,atkinch01
20,James Augustine,PF,22,ORL,2,7,.333,0.0,,1.000,1.000,.000,.000,.000,.000,,.333,.333,,,,,,1.000,,,.000,0,,,,,0,0,augusja01
21,Kelenna Azubuike,SG,23,GSW,41,669,.445,12.9,,.641,.336,.132,.050,.123,.359,,.454,.622,.138,.364,.370,.430,,.531,.971,,.050,10,,.278,.455,,0,0,azubuke01
22,Renaldo Balkman,SF,22,NYK,68,1064,.505,4.9,,.902,.735,.055,.040,.073,.098,,.540,.629,.200,.091,.150,.185,,.604,1.000,,.175,44,,.741,.200,,1,0,balkmre01
23,Marcus Banks,PG,25,PHO,45,503,.429,13.0,,.852,.367,.036,.031,.418,.148,,.473,.625,.286,.167,.378,.172,,.443,.400,,.015,3,,.069,.000,,1,0,banksma01
24,Leandro Barbosa,SG,24,PHO,80,2613,.476,14.4,,.606,.325,.059,.065,.157,.394,,.504,.604,.258,.458,.408,.434,,.478,.879,,.000,0,,.326,.510,,6,0,barbole01
25,J.J. Barea,PG,22,DAL,33,191,.359,12.8,,.731,.321,.103,.128,.179,.269,,.386,.520,.500,.300,.143,.286,,.318,.667,,.000,0,,.143,.000,,0,0,bareajo01
26,Andrea Bargnani,PF,21,TOR,65,1629,.427,17.1,,.571,.190,.050,.110,.221,.429,,.468,.597,.194,.333,.486,.373,,.701,.910,,.046,24,,.026,.286,,0,0,bargnan01
27,Matt Barnes,PF,26,GSW,76,1813,.438,14.6,,.538,.256,.175,.025,.081,.462,,.500,.671,.345,.250,.373,.366,,.698,.972,,.041,24,,.334,.351,,0,0,barnema02
28,Andre Barrett,PG,24,CHI,6,29,.500,7.7,,1.000,.500,.000,.250,.250,.000,,.500,.750,,.500,.000,,,.500,,,.000,0,,,,,0,0,barrean01
29,Earl Barron,C,25,MIA,28,203,.289,11.3,,.988,.241,.193,.108,.446,.012,,.293,.550,.250,.111,.216,.000,,.625,,,.024,2,,.000,,,0,0,barroea01
30,Brent Barry,SG,35,SAS,75,1631,.475,19.7,,.325,.127,.059,.045,.094,.675,,.536,.685,.560,.211,.475,.446,,.770,.977,,.014,6,,.265,.474,,1,0,barrybr01
31,Brandon Bass,PF,21,NOK,21,162,.341,7.7,,.977,.409,.205,.250,.114,.023,,.349,.500,.222,.182,.400,.000,,.533,,,.091,2,,.000,,,0,0,bassbr01
32,Maceo Baston,PF,31,IND,47,405,.645,5.0,,.908,.671,.158,.000,.079,.092,,.667,.706,.583,,.500,.429,,.717,1.000,,.316,23,,.000,,,0,0,bastoma01
33,Esteban Batista,PF,23,ATL,13,81,.500,2.4,,1.000,.813,.063,.125,.000,.000,,.500,.538,.000,.500,,,,.625,,,.063,1,,,,,0,0,batises01
34,Tony Battie,PF,30,ORL,66,1575,.489,8.1,,.997,.336,.261,.219,.181,.003,,.490,.645,.489,.329,.400,.000,,.739,,,.150,47,,.000,,,0,0,battito01
35,Shane Battier,SF,28,HOU,82,2988,.446,16.7,,.430,.159,.165,.055,.050,.570,,.480,.587,.435,.361,.424,.421,,.400,.975,,.002,1,,.558,.452,,0,0,battish01
36,Charlie Bell,SG,27,MIL,82,2848,.437,15.2,,.629,.275,.036,.072,.246,.371,,.488,.627,.286,.471,.367,.352,,.542,.913,,.013,11,,.335,.380,,0,0,bellch01
37,Raja Bell,SG,30,PHO,78,2917,.432,19.2,,.478,.120,.033,.061,.264,.522,,.452,.605,.419,.362,.406,.413,,.620,.956,,.004,4,,.375,.457,,2,0,bellra01
38,Mike Bibby,PG,28,SAC,82,2784,.404,18.9,,.587,.108,.051,.040,.389,.413,,.435,.524,.356,.447,.419,.360,,.413,.890,,.000,0,,.121,.397,,0,0,bibbymi01
39,Andris Biedriņš,C,20,GSW,82,2382,.599,1.9,,1.000,.744,.251,.003,.002,.000,,.599,.667,.404,.500,.000,,,.716,,,.131,76,,,,,0,0,biedran01
40,Chauncey Billups,PG,30,DET,70,2533,.427,16.9,,.612,.180,.042,.136,.254,.388,,.479,.599,.353,.396,.459,.345,,.259,.477,,.001,1,,.149,.277,,1,0,billuch01
41,Steve Blake,PG,26,TOT,82,2225,.411,18.9,,.591,.118,.045,.079,.350,.409,,.472,.550,.304,.475,.466,.322,,.465,.910,,.002,1,,.293,.393,,5,0,blakest01
41,Steve Blake,PG,26,MIL,33,583,.349,20.8,,.473,.062,.047,.109,.256,.527,,.426,.375,.500,.429,.424,.279,,.654,.789,,.000,0,,.235,.188,,1,0,blakest01
41,Steve Blake,PG,26,DEN,49,1642,.432,18.3,,.632,.137,.045,.068,.382,.368,,.483,.577,.235,.500,.476,.343,,.422,.958,,.003,1,,.321,.467,,4,0,blakest01
42,Will Blalock,PG,23,DET,14,166,.300,8.1,,.833,.533,.133,.067,.100,.167,,.320,.438,.250,.000,.000,.200,,.375,1.000,,.000,0,,.200,.000,,0,0,blalowi01
43,Andray Blatche,PF,20,WAS,56,682,.437,9.1,,.863,.477,.132,.051,.203,.137,,.482,.628,.346,.200,.300,.148,,.451,1.000,,.107,21,,.222,.000,,0,0,blatcan01
44,Mark Blount,C,31,MIN,82,2544,.509,11.9,,.963,.281,.104,.147,.431,.037,,.517,.669,.333,.480,.475,.290,,.825,1.000,,.060,46,,.323,.400,,0,0,blounma01
45,Keith Bogans,SG,26,ORL,59,990,.404,17.0,,.441,.233,.057,.029,.122,.559,,.426,.579,.286,.000,.300,.387,,.457,.943,,.000,0,,.489,.388,,1,0,boganke01
46,Andrew Bogut,C,22,MIL,66,2258,.553,4.4,,.992,.599,.223,.100,.070,.008,,.556,.658,.479,.333,.250,.200,,.545,1.000,,.103,62,,.000,,,1,0,bogutan01
47,Matt Bonner,PF,26,SAS,56,653,.447,15.1,,.603,.181,.198,.101,.122,.397,,.490,.628,.383,.458,.483,.383,,.586,.972,,.017,4,,.191,.278,,0,0,bonnema01
48,Josh Boone,PF,22,NJN,61,669,.579,0.9,,1.000,.871,.123,.006,.000,.000,,.579,.611,.381,.000,,,,.788,,,.292,44,,,,,0,0,boonejo01
49,Calvin Booth,C,30,WAS,44,380,.470,10.7,,.970,.333,.061,.273,.303,.030,,.469,.636,.500,.222,.500,.500,,.900,1.000,,.091,6,,.000,,,0,0,boothca01
50,Carlos Boozer,PF,25,UTA,74,2557,.561,6.9,,1.000,.462,.166,.194,.178,.000,,.561,.720,.438,.446,.385,,,.697,,,.065,68,,,,,0,0,boozeca01
51,Chris Bosh*,C,22,TOR,69,2658,.496,9.7,,.968,.348,.158,.157,.304,.032,,.501,.656,.428,.343,.444,.343,,.569,.833,,.093,90,,.057,.000,,1,1,boshch01
52,Bruce Bowen,SF,35,SAS,82,2464,.405,18.2,,.503,.122,.049,.075,.257,.497,,.426,.579,.348,.429,.367,.384,,.820,1.000,,.002,1,,.841,.410,,1,0,bowenbr01
53,Earl Boykins,PG,30,TOT,66,2031,.420,15.0,,.689,.178,.124,.165,.222,.311,,.430,.555,.389,.394,.380,.397,,.224,.779,,.000,0,,.184,.318,,0,0,boykiea01
53,Earl Boykins,PG,30,DEN,31,877,.413,14.9,,.709,.175,.119,.164,.251,.291,,.429,.621,.311,.419,.358,.373,,.252,.780,,.000,0,,.209,.304,,0,0,boykiea01
53,Earl Boykins,PG,30,MIL,35,1154,.427,15.1,,.670,.182,.128,.166,.194,.330,,.431,.493,.460,.369,.408,.419,,.195,.778,,.000,0,,.163,.333,,0,0,boykiea01
54,Cedric Bozeman,SG,23,ATL,23,199,.282,11.8,,.667,.359,.179,.026,.103,.333,,.346,.429,.286,.000,.250,.154,,.556,1.000,,.051,2,,.462,.000,,0,0,bozemce01
55,Elton Brand,PF,27,LAC,80,3077,.533,9.1,,.999,.265,.226,.339,.168,.001,,.532,.688,.547,.462,.407,1.000,,.624,1.000,,.051,60,,.000,,,0,0,brandel01
56,Ronnie Brewer,SG,21,UTA,56,675,.528,7.6,,.953,.565,.073,.041,.275,.047,,.554,.725,.214,.125,.358,.000,,.755,,,.171,32,,.333,.000,,0,0,brewero02
57,Primož Brezec,C,27,CHA,58,838,.445,10.0,,.989,.365,.106,.150,.369,.011,,.446,.520,.276,.488,.406,.333,,.719,1.000,,.022,6,,.333,1.000,,0,0,brezepr01
58,Andre Brown,PF,25,SEA,38,271,.568,4.8,,.986,.514,.324,.108,.041,.014,,.575,.632,.583,.375,.333,.000,,.667,,,.135,10,,.000,,,0,0,brownan01
59,Dee Brown,PG,22,UTA,49,450,.327,12.4,,.714,.408,.061,.051,.194,.286,,.371,.450,.167,.200,.316,.214,,.423,.833,,.000,0,,.179,.200,,0,0,brownde03
60,Devin Brown,SG,28,NOK,58,1662,.420,14.3,,.591,.286,.119,.061,.124,.409,,.463,.541,.455,.353,.348,.357,,.421,.914,,.023,13,,.203,.413,,3,0,brownde02
61,Kwame Brown,C,24,LAL,41,1132,.591,1.7,,.996,.760,.223,.008,.004,.004,,.593,.641,.444,.000,1.000,.000,,.629,,,.169,37,,.000,,,0,0,brownkw01
62,P.J. Brown,PF,37,CHI,72,1456,.407,9.8,,.995,.333,.120,.244,.299,.005,,.409,.424,.220,.431,.448,.000,,.788,,,.036,13,,.000,,,1,0,brownpj01
63,Shannon Brown,SG,21,CLE,23,202,.378,15.1,,.662,.284,.041,.095,.243,.338,,.429,.619,.333,.286,.278,.280,,.619,1.000,,.054,4,,.560,.357,,1,1,brownsh01
64,Kobe Bryant*,SG,28,LAL,77,3140,.463,14.5,,.773,.223,.090,.140,.321,.227,,.497,.619,.468,.488,.426,.344,,.351,.642,,.038,59,,.080,.375,,2,0,bryanko01
65,Greg Buckner,SG,30,DAL,76,1372,.411,13.2,,.656,.288,.140,.090,.137,.344,,.464,.663,.333,.296,.293,.311,,.604,1.000,,.003,1,,.544,.268,,0,0,buckngr01
66,Pat Burke,C,33,PHO,23,164,.354,12.7,,.662,.369,.077,.108,.108,.338,,.395,.542,.600,.000,.143,.273,,.706,1.000,,.138,7,,.227,.200,,0,0,burkepa01
67,Caron Butler,SF,26,WAS,63,2474,.463,11.7,,.926,.314,.127,.085,.400,.074,,.480,.601,.363,.386,.441,.250,,.446,.611,,.059,54,,.208,.400,,4,1,butleca01
68,Jackie Butler,C,21,SAS,11,103,.457,6.3,,1.000,.314,.457,.114,.114,.000,,.457,.818,.250,.250,.500,,,.563,,,.029,1,,,,,0,0,butleja01
69,Rasual Butler,SF,27,NOK,81,2223,.398,18.0,,.539,.117,.055,.127,.241,.461,,.424,.576,.465,.370,.368,.369,,.539,.940,,.016,11,,.256,.398,,1,0,butlera01
70,Andrew Bynum,C,19,LAL,82,1793,.558,3.4,,.993,.569,.354,.063,.007,.007,,.561,.683,.408,.393,.000,.000,,.660,,,.149,66,,.333,.000,,1,0,bynuman01
71,José Calderón,PG,25,TOR,77,1614,.521,12.0,,.851,.402,.030,.053,.366,.149,,.553,.635,.667,.407,.476,.333,,.176,.560,,.000,0,,.173,.462,,1,0,caldejo01
72,Marcus Camby,C,32,DEN,70,2369,.473,9.0,,.997,.407,.135,.114,.341,.003,,.475,.616,.416,.427,.347,.000,,.689,,,.103,62,,1.000,.000,,0,0,cambyma01
73,Brian Cardinal,PF,29,MEM,28,313,.494,17.8,,.482,.200,.035,.035,.212,.518,,.585,.588,.333,.333,.667,.409,,.750,.944,,.000,0,,.136,.333,,0,0,cardibr01
74,Rodney Carney,SF,22,PHI,67,1169,.464,12.1,,.816,.311,.135,.117,.253,.184,,.491,.648,.415,.370,.394,.347,,.650,.920,,.107,38,,.361,.538,,3,0,carnero01
75,Matt Carroll,SG,26,CHA,72,1878,.433,16.9,,.594,.160,.064,.082,.289,.406,,.445,.476,.524,.352,.437,.416,,.695,.973,,.002,0,,.509,.419,,0,0,carroma01
76,Anthony Carter,PG,31,DEN,2,37,.375,24.5,,.750,.125,.000,.000,.625,.250,,.500,1.000,,,.400,.000,,.333,,,.000,0,,.000,,,1,0,cartean01
77,Vince Carter,SG,30,NJN,82,3126,.454,12.9,,.727,.331,.109,.064,.223,.273,,.491,.582,.437,.382,.413,.357,,.453,.814,,.057,86,,.119,.442,,1,0,cartevi01
78,Sam Cassell,PG,37,LAC,58,1407,.418,15.1,,.826,.115,.101,.258,.352,.174,,.444,.569,.460,.453,.391,.294,,.262,.844,,.000,0,,.083,.333,,0,0,cassesa01
79,Kelvin Cato,C,32,NYK,18,95,.318,3.6,,1.000,.682,.182,.045,.091,.000,,.318,.200,.750,.000,.500,,,.571,,,.136,2,,,,,0,0,catoke01
80,Tyson Chandler,C,24,NOK,73,2525,.624,2.4,,.998,.690,.250,.047,.011,.002,,.625,.712,.470,.273,.200,.000,,.469,,,.295,125,,.000,,,0,0,chandty01
81,Josh Childress,SG,23,ATL,55,2024,.504,7.3,,.851,.616,.052,.050,.133,.149,,.533,.621,.333,.269,.304,.338,,.511,1.000,,.106,52,,.688,.396,,1,0,childjo01
82,Doug Christie,SG,36,LAC,7,82,.294,18.1,,.647,.118,.059,.059,.412,.353,,.364,1.000,.000,.000,.286,.167,,.250,1.000,,.000,0,,.500,.333,,0,0,chrisdo01
