,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Shareef Abdur-Rahim,PF,27,TOT,85,2684,.475,7.8,,.968,.357,.319,.116,.176,.032,,.482,.585,.426,.426,.414,.265,,.539,.889,,.069,71,,.206,.429,,0,0,abdursh01
1,Shareef Abdur-Rahim,PF,27,ATL,53,1956,.485,7.9,,.971,.351,.309,.132,.180,.029,,.493,.581,.447,.452,.430,.217,,.540,.800,,.068,52,,.174,.000,,0,0,abdursh01
1,Shareef Abdur-Rahim,PF,27,POR,32,728,.447,7.4,,.958,.375,.348,.068,.167,.042,,.451,.596,.370,.278,.364,.364,,.535,1.000,,.072,19,,.273,1.000,,0,0,abdursh01
2,Malik Allen,PF,25,MIA,45,616,.419,13.1,,1.000,.111,.177,.232,.480,.000,,.419,.500,.429,.370,.421,,,.675,,,.010,2,,,,,0,0,allenma01
3,Ray Allen*,SG,28,SEA,56,2152,.440,15.3,,.628,.181,.138,.146,.164,.372,,.468,.701,.329,.378,.407,.392,,.371,.797,,.021,20,,.225,.447,,3,0,allenra02
4,Rafer Alston,PG,27,MIA,82,2581,.376,17.9,,.432,.174,.086,.047,.124,.568,,.382,.504,.318,.167,.337,.371,,.214,.851,,.001,1,,.134,.362,,3,0,alstora01
5,Chris Andersen,PF,25,DEN,71,1029,.443,6.4,,.995,.606,.054,.108,.227,.005,,.446,.537,.182,.273,.348,.000,,.678,,,.212,38,,.000,,,0,0,anderch01
6,Derek Anderson,SG,29,POR,51,1810,.376,18.1,,.577,.145,.025,.093,.314,.423,,.428,.539,.400,.298,.417,.305,,.550,.835,,.020,12,,.232,.350,,1,0,anderde01
7,Kenny Anderson,PG,33,IND,44,905,.441,10.5,,.984,.313,.141,.156,.375,.016,,.444,.588,.444,.300,.385,.250,,.580,1.000,,.000,0,,1.000,.250,,0,0,anderke01
8,Shandon Anderson,SG,30,NYK,80,1974,.422,11.2,,.773,.346,.140,.129,.158,.227,,.463,.595,.367,.342,.360,.281,,.624,.972,,.025,14,,.586,.267,,0,0,andersh01
9,Carmelo Anthony,SF,19,DEN,82,2995,.426,10.3,,.854,.452,.065,.060,.277,.146,,.444,.541,.232,.341,.357,.322,,.528,.768,,.087,121,,.079,.353,,0,0,anthoca01
10,Robert Archibald,C-PF,23,TOT,32,256,.273,4.2,,1.000,.636,.152,.091,.121,.000,,.273,.286,.400,.000,.250,,,.444,,,.030,1,,,,,0,0,archiro01
10,Robert Archibald,PF,23,PHO,1,6,.000,7.1,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0,archiro01
10,Robert Archibald,PF,23,ORL,1,4,.500,7.4,,1.000,.000,.500,.500,.000,.000,,.500,,1.000,.000,,,,1.000,,,.000,0,,,,,0,0,archiro01
10,Robert Archibald,C,23,TOR,30,246,.267,3.9,,1.000,.700,.100,.067,.133,.000,,.267,.286,.333,.000,.250,,,.375,,,.033,1,,,,,0,0,archiro01
11,Gilbert Arenas,PG,22,WAS,55,2066,.392,15.5,,.636,.220,.111,.084,.221,.364,,.401,.572,.168,.377,.356,.375,,.262,.760,,.020,18,,.147,.327,,0,0,arenagi01
12,Brandon Armstrong,SG,23,NJN,56,434,.371,17.4,,.703,.126,.023,.103,.451,.297,,.374,.545,.000,.389,.342,.365,,.761,.684,,.000,0,,.404,.333,,0,0,armstbr01
13,Darrell Armstrong,PG,35,NOH,79,2247,.395,18.6,,.417,.174,.027,.056,.160,.583,,.508,.625,.250,.488,.432,.315,,.506,.756,,.005,4,,.203,.310,,4,1,armstda01
14,Carlos Arroyo,PG,24,UTA,71,2008,.441,14.5,,.848,.220,.052,.145,.431,.152,,.462,.515,.275,.486,.450,.325,,.352,.737,,.000,0,,.179,.429,,2,0,arroyca01
15,Chucky Atkins,PG,29,TOT,64,1544,.397,18.3,,.502,.186,.043,.054,.219,.498,,.457,.489,.286,.385,.481,.336,,.315,.753,,.000,0,,.212,.333,,4,0,atkinch01
15,Chucky Atkins,PG,29,DET,40,751,.374,19.9,,.447,.140,.017,.060,.230,.553,,.438,.455,.500,.286,.463,.323,,.413,.738,,.000,0,,.223,.310,,3,0,atkinch01
15,Chucky Atkins,PG,29,BOS,24,793,.418,16.7,,.554,.229,.068,.048,.209,.446,,.471,.509,.235,.500,.500,.351,,.246,.769,,.000,0,,.198,.364,,1,0,atkinch01
16,Stacey Augmon,SF,35,NOH,69,1416,.412,8.7,,.980,.375,.161,.236,.207,.020,,.418,.569,.321,.354,.292,.143,,.739,1.000,,.032,10,,.286,.000,,1,0,augmost01
17,Vin Baker,PF,32,TOT,54,1313,.481,7.2,,.993,.405,.273,.144,.171,.007,,.483,.571,.407,.419,.446,.333,,.628,1.000,,.044,18,,.000,,,0,0,bakervi01
