,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Precious Achiuwa,C,23,TOR,55,1140,.485,9.7,,.733,.381,.262,.069,.012,.267,,.564,.734,.406,.286,.200,.269,,.623,.966,,.141,49,,.444,.250,,1,0,achiupr01
2,Steven Adams,C,29,MEM,42,1133,.597,2.6,,.996,.696,.281,.019,.000,.004,,.599,.645,.500,.400,,.000,,.503,,,.163,41,,1.000,.000,,0,0,adamsst01
3,Bam Adebayo,C,25,MIA,75,2598,.540,7.3,,.989,.295,.379,.260,.047,.011,,.545,.714,.479,.497,.288,.083,,.594,1.000,,.136,139,,.000,,,1,0,adebaba01
4,Ochai Agbaji,SG,22,UTA,59,1209,.427,16.9,,.409,.150,.210,.026,.023,.591,,.532,.621,.494,.400,.444,.355,,.762,.988,,.054,17,,.412,.457,,0,0,agbajoc01
5,Santi Aldama,PF,22,MEM,77,1682,.470,14.6,,.493,.280,.166,.030,.017,.507,,.591,.707,.471,.250,.444,.353,,.680,.968,,.118,54,,.391,.365,,1,0,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,59,884,.444,16.9,,.461,.139,.207,.044,.071,.539,,.515,.634,.443,.385,.571,.384,,.329,.803,,.010,2,,.277,.386,,2,0,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,.488,16.5,,.488,.118,.247,.059,.065,.512,,.578,.650,.524,.400,.818,.402,,.313,.714,,.006,1,,.241,.381,,1,0,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,23,356,.384,17.4,,.424,.168,.152,.024,.080,.576,,.415,.619,.263,.333,.300,.361,,.364,.923,,.016,1,,.319,.391,,1,0,alexani01
7,Grayson Allen,SG,27,MIL,72,1972,.440,18.7,,.343,.180,.104,.054,.005,.657,,.518,.670,.345,.400,.000,.399,,.606,.884,,.027,12,,.213,.474,,0,0,allengr01
8,Jarrett Allen,C,24,CLE,68,2220,.644,4.4,,.984,.570,.304,.075,.027,.016,,.653,.765,.516,.511,.294,.100,,.769,1.000,,.316,177,,.600,.000,,0,0,allenja01
9,Jose Alvarado,PG,24,NOP,61,1310,.411,15.6,,.495,.186,.243,.051,.014,.505,,.488,.670,.395,.360,.143,.336,,.381,.940,,.000,0,,.287,.380,,3,0,alvarjo01
10,Kyle Anderson,PF,29,MIN,69,1957,.509,9.9,,.788,.246,.426,.087,.028,.212,,.536,.648,.512,.465,.143,.410,,.512,.930,,.020,10,,.448,.468,,1,0,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,63,2024,.553,8.1,,.866,.480,.212,.091,.084,.134,,.596,.791,.354,.353,.355,.275,,.415,.617,,.166,198,,.023,.250,,0,0,antetgi01
12,Thanasis Antetokounmpo,PF,30,MIL,37,206,.435,7.7,,.826,.478,.304,.022,.022,.174,,.526,.682,.357,.000,.000,.000,,.650,,,.130,6,,.375,.000,,1,0,antetth01
13,Cole Anthony,PG,22,ORL,60,1552,.454,14.7,,.662,.143,.249,.151,.120,.338,,.500,.632,.447,.522,.425,.364,,.248,.733,,.023,11,,.083,.353,,0,0,anthoco01
14,OG Anunoby,SF,25,TOR,67,2386,.476,13.5,,.585,.293,.173,.062,.056,.415,,.539,.695,.366,.364,.460,.387,,.566,.937,,.130,103,,.392,.458,,1,0,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,20,172,.243,20.2,,.378,.027,.189,.108,.054,.622,,.071,.000,.143,.000,.000,.348,,1.000,.875,,.000,0,,.043,.000,,0,0,arcidry01
15,Ryan Arcidiacono,PG,28,NYK,11,26,.200,16.9,,.400,.200,.200,.000,.000,.600,,.000,.000,.000,,,.333,,,1.000,,.000,0,,.333,.000,,0,0,arcidry01
15,Ryan Arcidiacono,PG,28,POR,9,146,.250,20.7,,.375,.000,.188,.125,.063,.625,,.083,,.167,.000,.000,.350,,1.000,.857,,.000,0,,.000,,,0,0,arcidry01
