,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Precious Achiuwa,PF-C,24,TOT,59,1360,.500,7.8,,.783,.524,.202,.046,.010,.217,,.564,.693,.313,.263,.250,.270,,.591,.958,,.151,56,,.483,.302,,0,0,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,.459,9.5,,.724,.418,.247,.047,.012,.276,,.528,.662,.357,.250,.500,.277,,.662,1.000,,.147,21,,.362,.294,,0,0,achiupr01
1,Precious Achiuwa,PF,24,NYK,34,923,.529,6.5,,.825,.600,.171,.046,.008,.175,,.586,.708,.268,.273,.000,.262,,.552,.909,,.154,35,,.619,.308,,0,0,achiupr01
2,Bam Adebayo,C,26,MIA,56,1933,.511,8.2,,.981,.249,.367,.292,.073,.019,,.517,.740,.482,.410,.361,.188,,.585,1.000,,.153,113,,.000,,,0,0,adebaba01
3,Ochai Agbaji,SG,23,TOT,66,1296,.409,15.0,,.471,.240,.178,.041,.012,.529,,.522,.683,.344,.429,.250,.309,,.786,.982,,.073,21,,.453,.390,,0,0,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,1003,.426,15.9,,.430,.201,.181,.036,.012,.570,,.551,.720,.422,.333,.333,.331,,.831,.979,,.068,15,,.451,.406,,0,0,agbajoc01
3,Ochai Agbaji,SG,23,TOR,15,293,.366,12.5,,.581,.344,.172,.054,.011,.419,,.463,.625,.125,.600,.000,.231,,.680,1.000,,.086,6,,.462,.333,,0,0,agbajoc01
4,Santi Aldama,PF,23,MEM,54,1391,.431,15.5,,.480,.218,.190,.054,.018,.520,,.529,.673,.417,.407,.333,.340,,.688,.955,,.067,30,,.309,.309,,0,0,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,66,1544,.438,17.7,,.380,.147,.151,.043,.038,.620,,.525,.672,.460,.389,.375,.384,,.518,.970,,.017,7,,.457,.449,,2,0,alexani01
6,Grayson Allen,SG,28,PHO,61,2054,.504,18.1,,.348,.197,.130,.019,.002,.652,,.557,.667,.420,.400,.000,.476,,.602,.903,,.030,12,,.294,.500,,0,0,allengr01
7,Jarrett Allen,C,25,CLE,61,1934,.626,4.2,,.992,.571,.316,.081,.023,.008,,.631,.721,.530,.500,.267,.000,,.805,,,.250,135,,.200,.000,,0,0,allenja01
8,Jose Alvarado,PG,25,NOP,45,774,.417,17.3,,.421,.162,.177,.074,.007,.579,,.482,.614,.417,.350,.500,.369,,.564,.897,,.000,0,,.268,.524,,1,0,alvarjo01
