,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Jeff Adrien,PF,25,HOU,8,63,.438,8.5,,1.000,.313,.313,.125,.250,.000,,.438,.600,.200,1.000,.250,,,.429,,,.125,1,,,,,0,0,adrieje01
2,Arron Afflalo,SG,26,DEN,62,2086,.471,13.5,,.684,.272,.142,.107,.163,.316,,.504,.684,.323,.373,.447,.398,,.689,.966,,.009,6,,.493,.450,,0,0,afflaar01
3,Blake Ahearn,PG,27,UTA,4,30,.286,21.0,,.357,.000,.000,.214,.143,.643,,.400,,,.333,.500,.222,,.500,.500,,.000,0,,.556,.000,,0,0,ahearbl01
4,Solomon Alabi,C,23,TOR,14,122,.361,6.7,,1.000,.528,.111,.278,.083,.000,,.361,.579,.000,.200,.000,,,.462,,,.222,6,,,,,0,0,alabiso01
5,Cole Aldrich,C,23,OKC,26,173,.524,3.6,,1.000,.548,.429,.024,.000,.000,,.524,.696,.333,.000,,,,.773,,,.333,13,,,,,0,0,aldrico01
6,LaMarcus Aldridge,PF,26,POR,55,1994,.512,10.6,,.988,.281,.182,.205,.320,.012,,.516,.687,.523,.404,.434,.182,,.536,.500,,.062,54,,.364,.000,,1,0,aldrila01
7,Lavoy Allen,PF,22,PHI,41,624,.473,10.8,,1.000,.222,.210,.240,.329,.000,,.473,.676,.600,.400,.309,,,.848,,,.048,7,,,,,0,0,allenla01
8,Ray Allen*,SG,36,BOS,46,1565,.458,17.4,,.525,.148,.085,.103,.189,.475,,.463,.685,.405,.373,.366,.453,,.642,.934,,.006,2,,.368,.500,,0,0,allenra02
9,Tony Allen,SG,30,MEM,58,1525,.469,7.4,,.942,.533,.167,.071,.170,.058,,.479,.582,.347,.250,.382,.308,,.619,1.000,,.033,13,,.577,.467,,0,0,allento01
10,Morris Almond,SG,26,WAS,4,67,.353,16.0,,.824,.176,.059,.118,.471,.176,,.357,.667,.000,.000,.375,.333,,1.000,1.000,,.000,0,,.333,.000,,0,0,almonmo01
11,Al-Farouq Aminu,SF,21,NOH,66,1477,.411,9.7,,.871,.389,.205,.077,.200,.129,,.431,.563,.320,.250,.356,.277,,.591,1.000,,.110,37,,.340,.250,,0,0,aminual01
12,Lou Amundson,PF,29,IND,60,753,.430,4.7,,1.000,.570,.256,.150,.024,.000,,.430,.534,.302,.258,.400,,,.629,,,.130,22,,,,,0,0,amundlo01
13,Chris Andersen,C,33,DEN,32,486,.546,5.1,,1.000,.713,.074,.037,.176,.000,,.546,.623,.500,.750,.211,,,.644,,,.231,23,,,,,0,0,anderch01
14,Alan Anderson,SF,29,TOR,17,461,.387,16.9,,.570,.148,.106,.106,.211,.430,,.383,.619,.267,.200,.367,.393,,.452,.875,,.028,3,,.246,.400,,0,0,anderal01
15,James Anderson,SG,22,SAS,51,603,.379,14.0,,.609,.322,.121,.040,.126,.391,,.443,.679,.238,.429,.045,.279,,.681,1.000,,.057,7,,.471,.344,,1,0,anderja01
16,Ryan Anderson,PF,23,ORL,61,1964,.439,16.2,,.443,.296,.065,.020,.062,.557,,.496,.594,.265,.400,.298,.393,,.476,.994,,.036,26,,.263,.441,,0,0,anderry01
17,Carmelo Anthony,SF,27,NYK,55,1876,.430,12.8,,.802,.294,.101,.154,.253,.198,,.454,.615,.260,.392,.382,.335,,.324,.676,,.028,28,,.118,.292,,0,0,anthoca01
18,Joel Anthony,C,29,MIA,64,1349,.559,3.8,,1.000,.599,.336,.066,.000,.000,,.559,.681,.392,.300,,,,.694,,,.191,25,,,,,0,0,anthojo01
19,Gilbert Arenas,PG,30,MEM,17,211,.406,20.9,,.391,.078,.031,.109,.172,.609,,.520,.600,.500,.429,.545,.333,,.308,.923,,.000,0,,.026,1.000,,0,0,arenagi01
20,Trevor Ariza,SF,26,NOH,41,1350,.417,11.7,,.784,.340,.156,.062,.226,.216,,.440,.591,.317,.240,.352,.333,,.554,.966,,.045,18,,.448,.410,,1,0,arizatr01
21,Ömer Aşık,C,25,CHI,66,971,.506,2.4,,1.000,.788,.186,.013,.013,.000,,.506,.545,.379,.500,.000,,,.696,,,.199,27,,,,,0,0,asikom01
22,D.J. Augustin,PG,24,CHA,48,1408,.376,14.4,,.632,.294,.127,.064,.148,.368,,.396,.490,.210,.323,.403,.341,,.230,.623,,.000,0,,.134,.375,,2,0,augusdj01
23,Gustavo Ayón,PF,26,NOH,54,1088,.536,5.5,,.996,.575,.215,.130,.077,.004,,.538,.653,.429,.382,.250,.000,,.800,,,.050,12,,.000,,,0,0,ayongu01
24,Jeff Ayres,C,24,IND,20,106,.417,7.6,,1.000,.417,.250,.167,.167,.000,,.417,.533,.333,.500,.167,,,.800,,,.250,8,,,,,0,0,pendeje02
25,Kelenna Azubuike,SG,28,DAL,3,18,.375,14.4,,.625,.250,.125,.000,.250,.375,,.400,1.000,.000,,.000,.333,,.500,1.000,,.125,1,,.333,1.000,,0,0,azubuke01
26,Luke Babbitt,SF,22,POR,40,537,.410,18.4,,.422,.092,.162,.064,.104,.578,,.384,.813,.357,.182,.167,.430,,.214,.953,,.006,0,,.170,.529,,0,0,babbilu01
27,Renaldo Balkman,SF,27,NYK,14,115,.500,11.2,,.719,.531,.000,.000,.188,.281,,.609,.706,,,.333,.222,,.643,.500,,.156,4,,.667,.167,,0,0,balkmre01
28,Leandro Barbosa,SG,29,TOT,64,1382,.425,13.6,,.733,.273,.155,.082,.223,.267,,.441,.609,.384,.442,.275,.382,,.529,.877,,.000,0,,.335,.351,,1,0,barbole01
28,Leandro Barbosa,SG,29,TOR,42,946,.436,13.4,,.756,.278,.159,.081,.238,.244,,.461,.603,.431,.486,.306,.360,,.557,.850,,.000,0,,.360,.300,,1,0,barbole01
28,Leandro Barbosa,SG,29,IND,22,436,.399,14.0,,.678,.262,.148,.082,.186,.322,,.387,.625,.259,.333,.176,.424,,.438,.920,,.000,0,,.288,.471,,0,0,barbole01
