,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Steven Adams,C,26,OKC,63,1680,.592,4.4,,.994,.513,.397,.082,.002,.006,,.594,.743,.416,.513,1.000,.333,,.670,1.000,,.176,78,,.333,.000,,1,1,adamsst01
2,Bam Adebayo,PF,22,MIA,72,2417,.557,5.8,,.982,.481,.301,.144,.056,.018,,.564,.726,.445,.404,.227,.143,,.715,.500,,.219,157,,.571,.125,,1,0,adebaba01
3,LaMarcus Aldridge,C,34,SAS,53,1754,.493,13.7,,.802,.202,.129,.227,.245,.198,,.519,.719,.471,.461,.433,.389,,.567,.951,,.044,31,,.185,.379,,1,0,aldrila01
4,Kyle Alexander,C,23,MIA,2,13,.500,1.5,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,.000,,,.000,0,,,,,0,0,alexaky01
5,Nickeil Alexander-Walker,SG,21,NOP,47,591,.368,15.9,,.500,.244,.173,.053,.030,.500,,.391,.523,.261,.214,.375,.346,,.192,.913,,.008,2,,.188,.360,,4,0,alexani01
6,Grayson Allen,SG,24,MEM,38,718,.466,16.9,,.438,.151,.179,.104,.004,.562,,.545,.711,.444,.500,.000,.404,,.600,.982,,.044,10,,.255,.556,,0,0,allengr01
7,Jarrett Allen,C,21,BRK,70,1852,.649,2.6,,.987,.755,.211,.019,.002,.013,,.658,.746,.367,.444,.000,.000,,.795,,,.447,177,,.833,.000,,0,0,allenja01
8,Kadeem Allen,PG,27,NYK,10,117,.432,15.1,,.636,.159,.182,.227,.068,.364,,.500,.571,.375,.600,.333,.313,,.286,.800,,.000,0,,.313,.400,,0,0,allenka01
9,Al-Farouq Aminu,PF,29,ORL,18,380,.291,13.3,,.581,.267,.244,.000,.070,.419,,.320,.435,.190,,.333,.250,,.438,.889,,.012,1,,.222,.375,,0,0,aminual01
10,Justin Anderson,SG,26,BRK,10,107,.263,20.3,,.237,.211,.026,.000,.000,.763,,.444,.375,1.000,,,.207,,1.000,1.000,,.053,2,,.276,.250,,0,0,anderju01
11,Kyle Anderson,SF,26,MEM,67,1330,.474,11.8,,.743,.260,.263,.136,.085,.257,,.541,.663,.506,.400,.500,.282,,.541,1.000,,.030,10,,.518,.250,,2,0,anderky01
12,Ryan Anderson,C,31,HOU,2,14,.286,21.5,,.286,.143,.000,.143,.000,.714,,.500,.000,,1.000,,.200,,.000,1.000,,.000,0,,.000,,,0,0,anderry01
13,Giannis Antetokounmpo,PF,25,MIL,63,1917,.553,9.8,,.763,.482,.160,.073,.048,.237,,.631,.779,.343,.433,.400,.304,,.438,.551,,.170,197,,.034,.500,,0,0,antetgi01
