,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Alex Acker,SG,26,TOT,25,199,.395,14.7,,.737,.224,.066,.118,.329,.263,,.411,.294,.400,.556,.440,.350,,.478,.714,,.013,0,,.450,.222,,0,0,ackeral01
1,Alex Acker,SG,26,DET,7,20,.364,17.8,,.636,.091,.091,.091,.364,.364,,.571,1.000,.000,.000,.750,.000,,.500,,,.000,0,,.500,.000,,0,0,ackeral01
1,Alex Acker,SG,26,LAC,18,179,.400,14.1,,.754,.246,.062,.123,.323,.246,,.388,.250,.500,.625,.381,.438,,.474,.714,,.015,0,,.438,.286,,0,0,ackeral01
2,Hassan Adams,SG,24,TOR,12,52,.308,7.9,,1.000,.462,.154,.154,.231,.000,,.308,.333,.000,.000,.667,,,.500,,,.077,1,,,,,0,0,adamsha01
3,Arron Afflalo,SG,23,DET,74,1234,.437,15.8,,.643,.240,.023,.070,.310,.357,,.456,.625,.429,.333,.355,.402,,.534,.930,,.003,1,,.654,.429,,0,0,afflaar01
4,Maurice Ager,SG,24,NJN,20,97,.349,11.2,,.860,.442,.023,.047,.349,.140,,.405,.632,.000,.000,.200,.000,,.467,,,.047,1,,.000,,,0,0,agerma01
5,Blake Ahearn,PG,24,SAS,3,19,.333,18.4,,.333,.167,.167,.000,.000,.667,,.000,.000,.000,,,.500,,,1.000,,.000,0,,.250,1.000,,0,0,ahearbl01
6,Alexis Ajinça,PF,20,CHA,31,182,.362,13.3,,.971,.174,.159,.159,.478,.029,,.373,.417,.364,.273,.394,.000,,.720,,,.058,3,,.000,,,0,0,ajincal01
7,LaMarcus Aldridge,PF,23,POR,81,3004,.484,11.0,,.977,.245,.211,.179,.343,.023,,.489,.671,.450,.422,.418,.250,,.567,1.000,,.098,108,,.643,.389,,3,0,aldrila01
8,Joe Alexander,SF,22,MIL,59,716,.416,12.2,,.812,.302,.094,.180,.237,.188,,.432,.622,.217,.341,.345,.348,,.709,.938,,.061,14,,.370,.353,,0,0,alexajo01
9,Malik Allen,PF,30,MIL,49,579,.429,13.2,,.994,.176,.076,.288,.453,.006,,.432,.433,.385,.469,.416,.000,,.753,,,.029,5,,.000,,,0,0,allenma01
10,Ray Allen*,SG,33,BOS,79,2876,.480,17.0,,.533,.188,.058,.096,.191,.467,,.542,.641,.517,.520,.462,.409,,.540,.925,,.003,3,,.379,.478,,0,0,allenra02
11,Tony Allen,SG,27,BOS,46,887,.482,6.5,,.905,.585,.173,.049,.099,.095,,.510,.620,.367,.071,.321,.222,,.519,1.000,,.063,18,,.407,.273,,0,0,allento01
12,Morris Almond,SG,23,UTA,25,255,.407,11.6,,.790,.370,.099,.074,.247,.210,,.438,.467,.375,.667,.350,.294,,.857,1.000,,.012,1,,.588,.300,,0,0,almonmo01
13,Rafer Alston,PG,32,TOT,77,2447,.385,14.5,,.596,.279,.140,.051,.126,.404,,.417,.445,.409,.286,.417,.338,,.118,.804,,.000,0,,.097,.344,,3,0,alstora01
13,Rafer Alston,PG,32,HOU,48,1591,.370,15.4,,.559,.238,.149,.061,.111,.441,,.387,.403,.410,.250,.397,.348,,.159,.738,,.000,0,,.065,.400,,2,0,alstora01
13,Rafer Alston,PG,32,ORL,29,856,.413,13.0,,.661,.352,.124,.034,.151,.339,,.462,.495,.405,.400,.444,.317,,.066,.969,,.000,0,,.168,.294,,1,0,alstora01
14,Lou Amundson,PF,26,PHO,76,1044,.536,3.1,,.996,.728,.164,.060,.044,.004,,.538,.604,.293,.333,.636,.000,,.701,,,.168,37,,.000,,,1,0,amundlo01
15,Chris Andersen,C,30,DEN,71,1460,.548,3.7,,.966,.747,.089,.065,.065,.034,,.560,.628,.269,.368,.368,.200,,.639,.500,,.247,64,,.300,.333,,1,1,anderch01
16,Ryan Anderson,PF,20,NJN,66,1312,.393,13.3,,.536,.413,.054,.010,.059,.464,,.417,.435,.318,.500,.375,.365,,.582,.986,,.049,18,,.217,.341,,0,0,anderry01
17,Carmelo Anthony,SF,24,DEN,66,2277,.443,11.5,,.859,.351,.084,.132,.292,.141,,.455,.568,.386,.314,.402,.371,,.428,.873,,.057,64,,.176,.433,,3,0,anthoca01
18,Joel Anthony,C,26,MIA,65,1048,.483,3.4,,1.000,.627,.271,.068,.034,.000,,.483,.595,.313,.375,.000,,,.596,,,.178,17,,,,,0,0,anthojo01
19,Gilbert Arenas,PG,27,WAS,2,63,.261,14.3,,.696,.304,.087,.000,.304,.304,,.250,.143,.500,,.286,.286,,.250,1.000,,.000,0,,.143,.000,,0,0,arenagi01
20,Trevor Ariza,SF,23,LAL,82,1999,.460,12.3,,.680,.435,.050,.037,.158,.320,,.526,.625,.400,.182,.372,.319,,.549,.934,,.122,67,,.429,.280,,5,0,arizatr01
21,Hilton Armstrong,C,24,NOH,70,1092,.561,5.1,,.992,.561,.220,.138,.073,.008,,.566,.696,.444,.353,.333,.000,,.587,,,.264,60,,.000,,,2,0,armsthi01
22,Darrell Arthur,PF,20,MEM,76,1464,.438,8.8,,.995,.381,.177,.161,.278,.005,,.440,.554,.325,.443,.355,.000,,.775,,,.128,50,,.000,,,0,0,arthuda01
23,Chucky Atkins,PG,34,TOT,33,412,.301,19.5,,.496,.142,.018,.027,.310,.504,,.339,.313,.000,.000,.400,.263,,.632,.867,,.000,0,,.175,.300,,1,0,atkinch01
23,Chucky Atkins,PG,34,DEN,14,115,.333,22.2,,.370,.037,.000,.000,.333,.630,,.400,1.000,,,.333,.294,,.750,.800,,.000,0,,.235,.500,,0,0,atkinch01
23,Chucky Atkins,PG,34,OKC,19,297,.291,18.6,,.535,.174,.023,.035,.302,.465,,.326,.267,.000,.000,.423,.250,,.600,.900,,.000,0,,.150,.167,,1,0,atkinch01
24,D.J. Augustin,PG,21,CHA,72,1908,.430,15.2,,.604,.277,.066,.079,.182,.396,,.424,.471,.366,.286,.434,.439,,.151,.861,,.000,0,,.191,.447,,4,0,augusdj01
