,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Arron Afflalo,SG,24,DEN,82,2221,.465,15.3,,.574,.258,.056,.079,.181,.426,,.488,.550,.364,.391,.481,.434,,.543,.972,,.012,6,,.562,.436,,0,0,afflaar01
2,Alexis Ajinça,C,21,CHA,6,30,.500,8.4,,1.000,.400,.200,.100,.300,.000,,.500,1.000,.000,.000,.333,,,.800,,,.100,1,,,,,0,0,ajincal01
3,LaMarcus Aldridge,PF,24,POR,78,2922,.495,10.8,,.986,.247,.215,.210,.314,.014,,.498,.716,.442,.431,.409,.313,,.570,1.000,,.078,87,,.375,.667,,3,0,aldrila01
4,Joe Alexander,SF,23,CHI,8,29,.167,9.2,,.833,.500,.000,.167,.167,.167,,.200,.333,,.000,.000,.000,,.000,,,.000,0,,1.000,.000,,0,0,alexajo01
5,Malik Allen,PF,31,DEN,51,456,.397,14.3,,.948,.198,.060,.112,.578,.052,,.409,.435,.143,.538,.403,.167,,.622,1.000,,.017,2,,.667,.250,,0,0,allenma01
6,Ray Allen*,SG,34,BOS,80,2819,.477,15.8,,.590,.224,.085,.084,.196,.410,,.556,.679,.410,.561,.476,.363,,.643,.917,,.010,10,,.286,.316,,0,0,allenra02
7,Tony Allen,SG,28,BOS,54,889,.510,5.6,,.980,.640,.142,.071,.126,.020,,.520,.667,.250,.278,.219,.000,,.628,,,.063,16,,.200,.000,,2,0,allento01
8,Rafer Alston,PG,33,TOT,52,1421,.348,14.7,,.623,.233,.168,.049,.173,.377,,.349,.404,.373,.318,.260,.345,,.124,.828,,.000,0,,.190,.406,,1,0,alstora01
8,Rafer Alston,PG,33,NJN,27,766,.343,13.8,,.686,.245,.188,.058,.195,.314,,.353,.412,.385,.375,.241,.322,,.104,.750,,.000,0,,.138,.167,,1,0,alstora01
8,Rafer Alston,PG,33,MIA,25,655,.355,16.2,,.521,.213,.136,.036,.136,.479,,.341,.389,.348,.167,.304,.370,,.167,.900,,.000,0,,.247,.550,,0,0,alstora01
9,Lou Amundson,PF,27,PHO,79,1168,.551,3.1,,.996,.725,.159,.072,.040,.004,,.553,.595,.455,.450,.364,.000,,.697,,,.149,39,,.000,,,1,0,amundlo01
10,Chris Andersen,PF,31,DEN,76,1695,.566,4.0,,.988,.769,.052,.036,.131,.012,,.573,.627,.385,.222,.424,.000,,.711,,,.315,69,,.000,,,2,0,anderch01
11,David Andersen,C,29,HOU,63,891,.432,14.1,,.771,.165,.185,.176,.244,.229,,.458,.518,.444,.483,.410,.346,,.658,.963,,.018,4,,.026,.000,,0,0,anderda03
12,Antonio Anderson,SF,24,OKC,1,15,.333,18.6,,1.000,.000,.000,.333,.667,.000,,.333,,,1.000,.000,,,1.000,,,.000,0,,,,,0,0,anderan02
13,Ryan Anderson,PF,21,ORL,63,911,.436,15.6,,.456,.330,.034,.018,.075,.544,,.514,.586,.308,.429,.310,.370,,.418,.923,,.039,14,,.227,.396,,0,0,anderry01
14,Carmelo Anthony,SF,25,DEN,69,2634,.458,11.1,,.875,.362,.099,.125,.291,.125,,.478,.595,.324,.444,.400,.316,,.375,.847,,.041,57,,.107,.300,,0,0,anthoca01
15,Joel Anthony,C,27,MIA,80,1322,.478,3.0,,1.000,.604,.352,.038,.006,.000,,.478,.510,.429,.500,.000,,,.632,,,.214,25,,,,,0,0,anthojo01
16,Gilbert Arenas,PG,28,WAS,32,1169,.411,15.6,,.706,.203,.110,.093,.300,.294,,.437,.528,.353,.421,.411,.348,,.163,.508,,.003,1,,.066,.250,,1,0,arenagi01
17,Trevor Ariza,SF,24,HOU,72,2629,.394,14.3,,.593,.329,.055,.062,.146,.407,,.436,.571,.218,.194,.315,.334,,.457,.846,,.074,68,,.216,.375,,2,0,arizatr01
18,Hilton Armstrong,PF-C,25,TOT,33,335,.354,6.8,,.987,.456,.241,.139,.152,.013,,.359,.500,.316,.182,.167,.000,,.714,,,.177,10,,.000,,,0,0,armsthi01
18,Hilton Armstrong,PF,25,NOH,18,239,.380,6.3,,1.000,.500,.220,.120,.160,.000,,.380,.560,.364,.000,.125,,,.842,,,.180,7,,,,,0,0,armsthi01
18,Hilton Armstrong,C,25,SAC,6,56,.333,5.3,,1.000,.500,.250,.167,.083,.000,,.333,.500,.333,.000,.000,,,.500,,,.250,2,,,,,0,0,armsthi01
18,Hilton Armstrong,C,25,HOU,9,40,.294,9.2,,.941,.294,.294,.176,.176,.059,,.313,.200,.200,.667,.333,.000,,.400,,,.118,1,,.000,,,0,0,armsthi01
19,Carlos Arroyo,PG,30,MIA,72,1585,.475,16.0,,.933,.115,.032,.173,.613,.067,,.489,.488,.417,.554,.474,.280,,.368,.714,,.000,0,,.600,.200,,0,0,arroyca01
20,Darrell Arthur,PF,21,MEM,32,457,.432,8.6,,.993,.370,.219,.144,.260,.007,,.434,.481,.500,.429,.316,.000,,.667,,,.068,7,,.000,,,1,0,arthuda01
21,Chucky Atkins,PG,35,DET,40,644,.363,18.5,,.535,.166,.025,.038,.306,.465,,.417,.538,.250,.333,.375,.301,,.314,.818,,.000,0,,.288,.333,,1,0,atkinch01
22,D.J. Augustin,PG,22,CHA,80,1472,.386,15.6,,.591,.283,.060,.076,.172,.409,,.381,.415,.423,.364,.320,.393,,.286,.829,,.000,0,,.208,.459,,5,0,augusdj01
23,Jeff Ayres,C,22,POR,39,405,.662,4.9,,1.000,.569,.215,.123,.092,.000,,.662,.757,.429,.625,.667,,,.791,,,.308,19,,,,,0,0,pendeje02
24,Kelenna Azubuike,SF,26,GSW,9,231,.545,11.8,,.693,.420,.114,.045,.114,.307,,.623,.784,.500,.250,.300,.370,,.553,.900,,.136,12,,.296,.500,,0,0,azubuke01
25,Renaldo Balkman,SF,25,DEN,13,91,.333,12.7,,.611,.389,.056,.056,.111,.389,,.545,.857,.000,.000,.000,.000,,.500,,,.000,0,,.143,.000,,0,0,balkmre01
26,Marcus Banks,PG,28,TOR,22,244,.534,15.7,,.671,.288,.055,.027,.301,.329,,.653,.762,.500,.500,.591,.292,,.281,.857,,.000,0,,.375,.444,,1,0,banksma01
27,Leandro Barbosa,PG,27,PHO,44,786,.425,14.0,,.627,.323,.082,.058,.164,.373,,.485,.610,.367,.286,.367,.324,,.514,.750,,.000,0,,.434,.390,,1,0,barbole01
28,J.J. Barea,PG,25,DAL,78,1546,.440,12.7,,.702,.324,.129,.095,.154,.298,,.476,.550,.294,.480,.469,.357,,.142,.554,,.000,0,,.134,.381,,0,0,bareajo01
29,Andrea Bargnani,PF,24,TOR,80,2799,.470,14.7,,.716,.198,.148,.144,.226,.284,,.509,.664,.497,.479,.399,.372,,.688,.983,,.039,42,,.031,.500,,4,1,bargnan01
30,Matt Barnes,SF,29,ORL,81,2097,.487,11.6,,.628,.452,.088,.023,.065,.372,,.586,.623,.531,.231,.528,.319,,.683,.924,,.043,22,,.483,.320,,4,0,barnema02
