,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Álex Abrines,SG,23,OKC,68,1055,.393,20.6,,.276,.120,.047,.044,.065,.724,,.426,.488,.438,.333,.364,.381,,.600,.968,,.015,5,,.231,.404,,2,0,abrinal01
2,Quincy Acy,PF,26,TOT,38,558,.412,16.2,,.471,.265,.065,.076,.059,.529,,.413,.489,.273,.308,.400,.411,,.727,.973,,.035,6,,.278,.360,,1,0,acyqu01
2,Quincy Acy,PF,26,DAL,6,48,.294,15.3,,.588,.235,.118,.059,.118,.412,,.400,.500,.500,1.000,.000,.143,,.750,1.000,,.118,2,,.286,.500,,0,0,acyqu01
2,Quincy Acy,PF,26,BRK,32,510,.425,16.3,,.458,.268,.059,.078,.052,.542,,.414,.488,.222,.250,.500,.434,,.724,.972,,.026,4,,.277,.348,,1,0,acyqu01
3,Steven Adams,C,23,OKC,80,2389,.571,3.7,,.998,.557,.388,.046,.005,.002,,.572,.655,.488,.367,.000,.000,,.668,,,.198,112,,.000,,,1,0,adamsst01
4,Arron Afflalo,SG,31,SAC,61,1580,.440,16.8,,.640,.100,.117,.186,.236,.360,,.457,.571,.449,.449,.424,.411,,.504,.968,,.002,1,,.384,.517,,1,0,afflaar01
5,Alexis Ajinça,C,28,NOP,39,584,.500,9.0,,.978,.348,.253,.107,.270,.022,,.511,.710,.378,.579,.354,.000,,.820,,,.129,20,,.000,,,0,0,ajincal01
6,Cole Aldrich,C,28,MIN,62,531,.523,3.0,,1.000,.581,.407,.012,.000,.000,,.523,.640,.371,.000,,,,.733,,,.128,11,,,,,0,0,aldrico01
7,LaMarcus Aldridge,PF,31,SAS,72,2335,.477,11.8,,.947,.222,.194,.202,.328,.053,,.480,.700,.422,.387,.424,.411,,.577,.957,,.041,37,,.411,.435,,0,0,aldrila01
8,Lavoy Allen,PF,27,IND,61,871,.458,8.9,,.994,.357,.256,.060,.321,.006,,.461,.583,.465,.200,.370,.000,,.740,,,.030,4,,.000,,,0,0,allenla01
9,Tony Allen,SG,35,MEM,71,1914,.461,5.6,,.909,.652,.166,.030,.061,.091,,.479,.557,.273,.333,.278,.278,,.552,1.000,,.027,16,,.704,.316,,0,0,allento01
10,Al-Farouq Aminu,PF,26,POR,61,1773,.393,14.0,,.545,.320,.135,.030,.060,.455,,.445,.530,.302,.357,.357,.330,,.460,1.000,,.058,24,,.358,.355,,3,0,aminual01
11,Chris Andersen,C,38,CLE,12,114,.409,7.4,,.864,.636,.045,.045,.136,.136,,.474,.500,1.000,.000,.333,.000,,.556,,,.136,3,,.000,,,0,0,anderch01
12,Alan Anderson,SF,34,LAC,30,308,.375,17.6,,.450,.175,.088,.088,.100,.550,,.444,.857,.143,.143,.250,.318,,.563,.857,,.000,0,,.364,.250,,0,0,anderal01
13,Justin Anderson,SF,23,TOT,75,1228,.424,14.1,,.558,.319,.128,.057,.050,.442,,.522,.707,.339,.280,.136,.299,,.539,.948,,.096,37,,.227,.341,,2,0,anderju01
13,Justin Anderson,SF,23,DAL,51,710,.401,14.1,,.560,.296,.152,.058,.051,.440,,.477,.671,.333,.250,.071,.303,,.459,.973,,.072,17,,.270,.364,,1,0,anderju01
13,Justin Anderson,SF,23,PHI,24,518,.463,14.1,,.556,.358,.086,.056,.049,.444,,.600,.759,.357,.333,.250,.292,,.648,.905,,.136,20,,.153,.273,,1,0,anderju01
14,Kyle Anderson,SF,23,SAS,72,1020,.445,11.2,,.809,.344,.196,.105,.163,.191,,.462,.611,.439,.273,.294,.375,,.577,1.000,,.019,4,,.725,.414,,1,0,anderky01
15,Ryan Anderson,PF,28,HOU,72,2116,.418,19.9,,.345,.144,.074,.035,.092,.655,,.446,.568,.351,.444,.338,.403,,.378,.975,,.009,6,,.142,.542,,0,0,anderry01
16,Giannis Antetokounmpo,SF,22,MIL,80,2845,.521,8.7,,.857,.496,.149,.064,.146,.143,,.563,.709,.394,.338,.342,.272,,.420,.714,,.164,194,,.111,.200,,4,0,antetgi01
17,Carmelo Anthony,SF,32,NYK,74,2538,.433,16.6,,.697,.127,.076,.211,.284,.303,,.466,.563,.419,.437,.457,.359,,.313,.762,,.011,12,,.109,.435,,7,0,anthoca01
18,Joel Anthony,C,34,SAS,19,122,.625,3.8,,1.000,.563,.313,.125,.000,.000,,.625,.778,.400,.500,,,,.800,,,.250,4,,,,,0,0,anthojo01
19,Trevor Ariza,SF,31,HOU,80,2773,.409,18.6,,.305,.207,.054,.013,.031,.695,,.556,.655,.395,.400,.280,.344,,.615,.958,,.041,29,,.351,.390,,1,0,arizatr01
20,Darrell Arthur,PF,28,DEN,41,639,.442,18.8,,.456,.140,.033,.079,.205,.544,,.429,.600,.000,.471,.364,.453,,.786,.981,,.023,5,,.231,.481,,0,0,arthuda01
21,Ömer Aşık,C,30,NOP,31,482,.477,1.6,,1.000,.908,.092,.000,.000,.000,,.477,.525,.000,,,,,.710,,,.262,15,,,,,0,0,asikom01
22,D.J. Augustin,PG,29,ORL,78,1538,.377,18.1,,.470,.164,.097,.060,.149,.530,,.412,.482,.360,.355,.390,.347,,.200,.737,,.000,0,,.186,.373,,4,0,augusdj01
23,Luke Babbitt,SF,27,MIA,68,1065,.402,21.7,,.253,.043,.032,.100,.078,.747,,.366,.167,.222,.429,.455,.414,,.615,.966,,.000,0,,.305,.422,,0,0,babbilu01
24,Ron Baker,SG,23,NYK,52,857,.378,14.3,,.604,.346,.106,.041,.120,.396,,.450,.547,.130,.333,.462,.267,,.373,.870,,.005,1,,.337,.241,,3,0,bakerro01
25,Wade Baldwin,PG,20,MEM,33,405,.313,11.3,,.809,.357,.157,.174,.113,.191,,.355,.439,.167,.350,.385,.136,,.303,.333,,.043,4,,.182,.000,,1,0,baldwwa01
26,Leandro Barbosa,SG,34,PHO,67,963,.439,13.1,,.750,.321,.120,.082,.230,.250,,.466,.595,.319,.375,.389,.357,,.321,.829,,.000,0,,.367,.361,,0,0,barbole01
27,J.J. Barea,PG,32,DAL,35,771,.414,16.3,,.569,.146,.169,.125,.128,.431,,.456,.540,.414,.442,.432,.358,,.180,.396,,.000,0,,.068,.300,,0,0,bareajo01
28,Harrison Barnes,PF,24,DAL,79,2803,.468,13.1,,.827,.183,.186,.194,.265,.173,,.492,.679,.483,.452,.398,.351,,.434,.949,,.045,48,,.284,.317,,0,0,barneha02
29,Matt Barnes,SF,36,TOT,74,1777,.391,16.8,,.444,.220,.114,.032,.080,.556,,.467,.577,.389,.133,.395,.331,,.735,.897,,.019,7,,.255,.388,,2,0,barnema02
29,Matt Barnes,SF,36,SAC,54,1367,.384,16.8,,.449,.209,.133,.031,.078,.551,,.453,.563,.412,.083,.367,.327,,.705,.884,,.021,7,,.223,.362,,2,0,barnema02
29,Matt Barnes,SF,36,GSW,20,410,.422,16.9,,.422,.267,.033,.033,.089,.578,,.526,.625,.000,.333,.500,.346,,.850,.944,,.011,0,,.385,.450,,0,0,barnema02
30,Will Barton,SG,26,DEN,60,1705,.443,13.0,,.647,.303,.174,.095,.077,.353,,.483,.579,.379,.460,.353,.370,,.346,.724,,.029,17,,.136,.281,,1,0,bartowi01
31,Brandon Bass,PF,31,LAC,52,577,.575,6.8,,.984,.532,.118,.237,.097,.016,,.579,.687,.500,.477,.333,.333,,.679,1.000,,.199,35,,.333,.000,,0,0,bassbr01
32,Nicolas Batum,SG,28,CHO,77,2617,.403,17.3,,.585,.117,.102,.182,.185,.415,,.453,.640,.384,.435,.389,.333,,.457,.867,,.013,12,,.089,.333,,2,0,batumni01
33,Jerryd Bayless,PG,28,PHI,3,71,.344,12.0,,.844,.313,.094,.250,.188,.156,,.333,.700,.333,.125,.000,.400,,.222,.000,,.000,0,,.000,,,0,0,bayleje01
34,Aron Baynes,C,30,DET,75,1163,.513,5.6,,1.000,.513,.251,.136,.100,.000,,.513,.566,.429,.526,.429,,,.734,,,.115,31,,,,,0,0,baynear01
35,Kent Bazemore,SF,27,ATL,73,1963,.409,14.8,,.631,.272,.100,.062,.198,.369,,.446,.566,.222,.311,.434,.346,,.522,.848,,.021,13,,.327,.414,,1,0,bazemke01
36,Bradley Beal,SG,23,WAS,77,2684,.482,15.9,,.582,.238,.101,.085,.157,.418,,.538,.634,.425,.469,.505,.404,,.486,.803,,.038,48,,.154,.447,,3,0,bealbr01
37,Malik Beasley,SG,20,DEN,22,165,.452,12.4,,.616,.466,.014,.068,.068,.384,,.533,.618,.000,.200,.400,.321,,.417,1.000,,.068,4,,.429,.417,,0,0,beaslma01
38,Michael Beasley,PF,28,MIL,56,935,.532,10.2,,.894,.303,.246,.167,.175,.106,,.545,.699,.490,.456,.451,.419,,.545,1.000,,.034,13,,.488,.333,,0,0,beaslmi01
39,Marco Belinelli,SG,30,CHO,74,1778,.429,18.7,,.540,.132,.052,.052,.306,.460,,.488,.667,.344,.469,.436,.360,,.679,.853,,.003,1,,.145,.463,,1,0,belinma01
40,DeAndre' Bembry,SF,22,ATL,38,371,.480,8.1,,.816,.582,.092,.092,.051,.184,,.575,.632,.333,.333,.800,.056,,.696,1.000,,.112,9,,.333,.167,,1,0,bembrde01
41,Dragan Bender,PF,19,PHO,43,574,.354,18.3,,.373,.205,.062,.019,.087,.627,,.483,.576,.500,.667,.214,.277,,.552,1.000,,.031,5,,.287,.345,,0,0,bendedr01
42,Anthony Bennett,PF,23,BRK,23,264,.413,13.9,,.478,.370,.087,.011,.011,.522,,.568,.676,.250,.000,.000,.271,,.440,.923,,.098,9,,.375,.167,,0,0,bennean01
43,Ben Bentil,PF,21,DAL,3,10,.000,15.6,,.667,.000,.333,.000,.333,.333,,.000,,.000,,.000,.000,,,,,.000,0,,1.000,.000,,0,0,bentibe01
44,Dāvis Bertāns,PF,24,SAS,67,808,.440,20.4,,.261,.150,.030,.026,.056,.739,,.557,.714,.286,.167,.462,.399,,.765,.957,,.073,16,,.202,.486,,1,0,bertada01
45,Patrick Beverley,SG,28,HOU,67,2058,.420,15.9,,.470,.210,.173,.055,.033,.530,,.463,.544,.436,.367,.222,.382,,.297,.836,,.004,1,,.323,.387,,1,0,beverpa01
46,Bismack Biyombo,C,24,ORL,81,1793,.528,4.0,,1.000,.581,.319,.077,.029,.000,,.528,.680,.324,.346,.100,,,.816,,,.230,69,,,,,0,0,biyombi01
47,Nemanja Bjelica,PF,28,MIN,65,1190,.424,14.8,,.503,.264,.177,.034,.028,.497,,.531,.638,.444,.250,.400,.316,,.526,.964,,.020,7,,.209,.378,,0,0,bjeline01
48,Tarik Black,C,25,LAL,67,1091,.510,3.3,,.993,.667,.262,.037,.024,.007,,.510,.622,.286,.364,.143,.500,,.685,.000,,.190,47,,.000,,,1,0,blackta01
