,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Shareef Abdur-Rahim,PF,29,SAC,72,1961,.525,7.9,,.965,.392,.290,.071,.212,.035,,.536,.657,.464,.400,.455,.227,,.535,1.000,,.111,65,,.182,.250,,0,0,abdursh01
2,Alex Acker,SG,23,DET,5,35,.250,16.1,,.688,.188,.000,.313,.188,.313,,.273,.000,,.400,.333,.200,,.333,.000,,.000,0,,.200,.000,,0,0,ackeral01
3,Malik Allen,PF,27,CHI,54,701,.490,11.5,,.996,.186,.186,.291,.332,.004,,.488,.435,.522,.472,.512,1.000,,.725,.000,,.028,6,,.000,,,0,0,allenma01
4,Ray Allen*,SG,30,SEA,78,3022,.454,17.2,,.565,.145,.100,.123,.197,.435,,.486,.628,.400,.451,.447,.412,,.337,.751,,.011,16,,.170,.432,,4,0,allenra02
5,Tony Allen,PG,24,BOS,51,978,.471,7.4,,.876,.544,.153,.058,.120,.124,,.492,.617,.310,.250,.273,.324,,.466,.909,,.044,12,,.471,.438,,0,0,allento01
6,Rafer Alston,PG,29,HOU,63,2431,.379,15.7,,.577,.225,.117,.041,.195,.423,,.418,.530,.419,.233,.326,.327,,.174,.912,,.000,0,,.212,.439,,1,0,alstora01
7,Chris Andersen,C,27,NOK,32,570,.571,2.7,,1.000,.827,.031,.051,.092,.000,,.571,.617,.333,.400,.333,,,.536,,,.245,20,,,,,0,0,anderch01
8,Alan Anderson,SF,23,CHA,36,564,.414,12.6,,.680,.370,.083,.044,.182,.320,,.415,.537,.267,.375,.242,.414,,.569,.875,,.066,11,,.621,.472,,0,0,anderal01
9,Derek Anderson,SG,31,TOT,43,1047,.356,17.9,,.558,.125,.059,.109,.264,.442,,.402,.579,.278,.394,.350,.299,,.382,.875,,.007,2,,.291,.385,,0,0,anderde01
9,Derek Anderson,SG,31,HOU,20,582,.393,17.7,,.613,.127,.064,.104,.318,.387,,.462,.682,.455,.444,.382,.284,,.408,.789,,.012,2,,.194,.385,,0,0,anderde01
9,Derek Anderson,SG,31,MIA,23,465,.308,18.2,,.485,.123,.054,.115,.192,.515,,.302,.438,.000,.333,.280,.313,,.316,.952,,.000,0,,.388,.385,,0,0,anderde01
10,Shandon Anderson,SF,32,MIA,48,638,.429,13.3,,.849,.246,.087,.135,.381,.151,,.458,.548,.455,.294,.458,.263,,.816,1.000,,.000,0,,.474,.333,,0,0,andersh01
11,Martynas Andriuškevičius,C,19,CLE,6,9,.000,6.9,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0,andrima01
12,Carmelo Anthony,SF,21,DEN,80,2941,.481,10.5,,.903,.429,.059,.077,.339,.097,,.506,.620,.315,.364,.428,.243,,.613,.919,,.109,165,,.151,.261,,5,0,anthoca01
13,Rafael Araújo,C,25,TOR,52,601,.366,6.8,,.993,.386,.290,.214,.103,.007,,.368,.464,.262,.355,.333,.000,,.792,,,.055,8,,1.000,.000,,0,0,araujra01
14,Gilbert Arenas,PG,24,WAS,80,3384,.447,15.3,,.676,.231,.079,.100,.266,.324,,.485,.637,.318,.407,.431,.369,,.282,.603,,.016,24,,.102,.345,,2,0,arenagi01
15,Trevor Ariza,SF,20,TOT,57,999,.412,6.0,,.978,.606,.106,.080,.186,.022,,.416,.540,.250,.222,.190,.200,,.511,.000,,.133,26,,.600,.000,,1,0,arizatr01
15,Trevor Ariza,SF,20,NYK,36,709,.418,6.5,,.979,.575,.110,.082,.212,.021,,.420,.548,.188,.333,.226,.333,,.550,.000,,.151,20,,.333,.000,,1,0,arizatr01
15,Trevor Ariza,SF,20,ORL,21,290,.400,5.0,,.975,.663,.100,.075,.138,.025,,.410,.528,.375,.000,.091,.000,,.438,,,.100,6,,1.000,.000,,0,0,arizatr01
16,Darrell Armstrong,PG,37,DAL,62,622,.336,16.4,,.625,.227,.070,.047,.281,.375,,.400,.483,.444,.333,.333,.229,,.375,.818,,.000,0,,.333,.438,,2,0,armstda01
17,Carlos Arroyo,PG-SG,26,TOT,77,1194,.444,12.3,,.947,.246,.095,.204,.402,.053,,.450,.516,.333,.455,.434,.350,,.273,.429,,.000,0,,.100,.000,,0,0,arroyca01
17,Carlos Arroyo,PG,26,DET,50,600,.363,12.4,,.962,.248,.070,.223,.420,.038,,.364,.436,.091,.457,.318,.333,,.327,.500,,.000,0,,.167,.000,,0,0,arroyca01
17,Carlos Arroyo,SG,26,ORL,27,594,.502,12.3,,.937,.244,.113,.190,.389,.063,,.512,.574,.440,.452,.523,.357,,.245,.400,,.000,0,,.071,.000,,0,0,arroyca01
18,Chucky Atkins,PG-SG,31,TOT,71,1713,.394,17.6,,.522,.187,.072,.038,.225,.478,,.431,.533,.244,.273,.434,.354,,.217,.742,,.000,0,,.164,.378,,3,0,atkinch01
18,Chucky Atkins,SG,31,WAS,28,552,.379,18.8,,.471,.144,.080,.023,.224,.529,,.402,.640,.214,.000,.359,.359,,.394,.697,,.000,0,,.250,.478,,1,0,atkinch01
18,Chucky Atkins,PG,31,MEM,43,1161,.401,17.1,,.544,.206,.068,.045,.226,.456,,.442,.500,.259,.333,.467,.352,,.156,.766,,.000,0,,.121,.273,,2,0,atkinch01
19,Stacey Augmon,SF,37,ORL,36,385,.342,6.9,,1.000,.342,.342,.233,.082,.000,,.342,.560,.240,.176,.333,,,.560,,,.041,3,,,,,0,0,augmost01
20,Vin Baker,C,34,LAC,8,85,.467,4.8,,1.000,.467,.400,.067,.067,.000,,.467,.429,.500,1.000,.000,,,.429,,,.067,1,,,,,0,0,bakervi01
21,Marcus Banks,PG,24,TOT,58,1497,.468,13.0,,.865,.346,.041,.047,.432,.135,,.486,.617,.316,.273,.421,.349,,.345,.545,,.009,4,,.048,.333,,2,0,banksma01
21,Marcus Banks,PG,24,BOS,18,269,.413,14.3,,.763,.325,.063,.050,.325,.238,,.443,.692,.400,.000,.269,.316,,.333,.833,,.000,0,,.105,.500,,2,0,banksma01
21,Marcus Banks,PG,24,MIN,40,1228,.479,12.8,,.887,.351,.036,.046,.454,.113,,.494,.603,.286,.333,.443,.364,,.347,.438,,.010,4,,.023,.000,,0,0,banksma01
22,Leandro Barbosa,SG,23,PHO,57,1592,.481,12.0,,.654,.427,.069,.065,.093,.346,,.501,.574,.282,.324,.453,.444,,.409,.793,,.002,0,,.316,.371,,2,0,barbole01
23,Matt Barnes,PF-SF,25,TOT,56,631,.500,7.8,,.893,.493,.193,.043,.164,.107,,.536,.609,.444,.500,.435,.200,,.701,1.000,,.064,9,,.733,.182,,0,0,barnema02
23,Matt Barnes,SF,25,NYK,6,93,.367,10.3,,.867,.367,.200,.067,.233,.133,,.385,.636,.333,.000,.143,.250,,.700,1.000,,.067,2,,1.000,.250,,0,0,barnema02
23,Matt Barnes,PF,25,PHI,50,538,.536,7.1,,.900,.527,.191,.036,.145,.100,,.576,.603,.476,.750,.563,.182,,.702,1.000,,.064,7,,.636,.143,,0,0,barnema02
24,Andre Barrett,PG,23,TOT,19,282,.365,12.7,,.865,.308,.096,.077,.385,.135,,.400,.469,.500,.500,.300,.143,,.222,.500,,.000,0,,.429,.167,,0,0,barrean01
24,Andre Barrett,PG,23,PHO,2,21,.429,12.9,,.857,.286,.000,.286,.286,.143,,.500,.500,,.500,.500,.000,,.333,,,.000,0,,1.000,.000,,0,0,barrean01
24,Andre Barrett,PG,23,TOR,17,261,.361,12.7,,.866,.309,.103,.062,.392,.134,,.393,.467,.500,.500,.289,.154,,.212,.500,,.000,0,,.385,.200,,0,0,barrean01
25,Earl Barron,C,24,MIA,8,45,.313,9.7,,1.000,.188,.250,.375,.188,.000,,.313,.000,.500,.333,.333,,,.800,,,.000,0,,,,,0,0,barroea01
26,Brent Barry,SG,34,SAS,74,1259,.452,18.1,,.414,.177,.078,.035,.125,.586,,.531,.689,.407,.333,.442,.396,,.605,.950,,.035,10,,.287,.500,,0,0,barrybr01
27,Jon Barry,SG,36,HOU,20,342,.385,18.2,,.508,.169,.015,.077,.246,.492,,.394,.455,.000,.200,.438,.375,,.692,.833,,.000,0,,.250,.250,,0,0,barryjo01
28,Eddie Basden,SF,22,CHI,19,141,.405,8.6,,.811,.541,.108,.027,.135,.189,,.467,.600,.000,.000,.400,.143,,.714,1.000,,.000,0,,.429,.333,,0,0,basdeed01
29,Brandon Bass,PF,20,NOK,29,268,.400,6.7,,1.000,.457,.214,.171,.157,.000,,.400,.563,.400,.167,.182,,,.607,,,.086,6,,,,,0,0,bassbr01
30,Esteban Batista,PF,22,ATL,57,495,.425,1.3,,.988,.850,.125,.013,.000,.013,,.430,.471,.200,.000,,.000,,.441,,,.050,4,,.000,,,0,0,batises01
31,Tony Battie,C,29,ORL,82,2215,.507,8.6,,.989,.313,.245,.261,.170,.011,,.513,.676,.430,.479,.383,.000,,.718,,,.125,63,,.000,,,1,0,battito01
