,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Quincy Acy,SF,23,TOT,63,847,.468,8.2,,.894,.461,.220,.050,.163,.106,,.492,.600,.387,.429,.348,.267,,.694,1.000,,.191,25,,.667,.300,,0,0,acyqu01
1,Quincy Acy,SF,23,TOR,7,61,.429,14.1,,.643,.357,.071,.000,.214,.357,,.444,.600,1.000,,.000,.400,,.750,1.000,,.143,2,,.400,.500,,0,0,acyqu01
1,Quincy Acy,SF,23,SAC,56,786,.472,7.5,,.921,.472,.236,.055,.157,.079,,.496,.600,.367,.429,.400,.200,,.690,1.000,,.197,23,,.800,.250,,0,0,acyqu01
2,Steven Adams,C,20,OKC,81,1197,.503,3.2,,1.000,.659,.292,.043,.005,.000,,.503,.615,.296,.250,.000,,,.613,,,.162,26,,,,,0,0,adamsst01
3,Jeff Adrien,PF,27,TOT,53,961,.520,5.5,,1.000,.560,.222,.098,.120,.000,,.520,.617,.426,.333,.394,,,.643,,,.109,27,,,,,0,0,adrieje01
3,Jeff Adrien,PF,27,CHA,25,256,.550,3.0,,1.000,.825,.075,.100,.000,.000,,.550,.576,.667,.250,,,,.545,,,.075,3,,,,,0,0,adrieje01
3,Jeff Adrien,PF,27,MIL,28,705,.515,5.9,,1.000,.515,.247,.098,.140,.000,,.515,.628,.414,.348,.394,,,.661,,,.115,24,,,,,0,0,adrieje01
4,Arron Afflalo,SG,28,ORL,73,2552,.459,16.1,,.703,.157,.081,.161,.304,.297,,.473,.591,.366,.509,.420,.427,,.530,.883,,.002,2,,.300,.489,,2,0,afflaar01
5,Alexis Ajinça,C,25,NOP,56,951,.546,6.8,,.996,.494,.197,.181,.129,.004,,.548,.642,.388,.467,.531,.000,,.706,,,.213,46,,.000,,,0,0,ajincal01
6,Cole Aldrich,C,25,NYK,46,330,.541,3.4,,1.000,.492,.508,.000,.000,.000,,.541,.633,.452,,,,,.545,,,.131,7,,,,,0,0,aldrico01
7,LaMarcus Aldridge,PF,28,POR,69,2498,.458,12.5,,.989,.186,.162,.226,.415,.011,,.461,.675,.364,.388,.442,.200,,.599,.667,,.027,36,,.067,.000,,1,0,aldrila01
8,Lavoy Allen,PF,24,TOT,65,1072,.447,9.7,,.957,.290,.270,.140,.257,.043,,.460,.563,.531,.286,.364,.154,,.697,1.000,,.020,6,,.000,,,0,0,allenla01
8,Lavoy Allen,PF,24,PHI,51,960,.440,10.0,,.951,.282,.267,.132,.271,.049,,.455,.547,.535,.286,.361,.154,,.678,1.000,,.023,6,,.000,,,0,0,allenla01
8,Lavoy Allen,PF,24,IND,14,112,.500,7.7,,1.000,.353,.294,.206,.147,.000,,.500,.667,.500,.286,.400,,,.824,,,.000,0,,,,,0,0,allenla01
9,Ray Allen*,SG,38,MIA,73,1936,.442,18.2,,.431,.166,.063,.087,.118,.569,,.530,.622,.471,.511,.438,.375,,.516,.957,,.011,6,,.411,.425,,3,1,allenra02
10,Tony Allen,SG,32,MEM,55,1278,.494,8.1,,.886,.562,.123,.048,.153,.114,,.527,.647,.373,.300,.286,.234,,.580,1.000,,.048,20,,.596,.286,,3,0,allento01
11,Al-Farouq Aminu,SF,23,NOP,80,2045,.474,8.6,,.903,.453,.204,.040,.202,.097,,.496,.661,.317,.450,.320,.271,,.674,1.000,,.087,42,,.625,.333,,0,0,aminual01
12,Lou Amundson,PF,31,TOT,19,185,.500,4.1,,1.000,.625,.281,.063,.031,.000,,.500,.650,.333,.000,.000,,,.750,,,.313,9,,,,,0,0,amundlo01
12,Lou Amundson,PF,31,NOP,18,184,.500,4.1,,1.000,.625,.281,.063,.031,.000,,.500,.650,.333,.000,.000,,,.750,,,.313,9,,,,,0,0,amundlo01
12,Lou Amundson,PF,31,CHI,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,amundlo01
13,Chris Andersen,C,35,MIA,72,1396,.644,4.2,,.956,.789,.080,.018,.069,.044,,.662,.747,.182,.400,.316,.250,,.707,1.000,,.291,78,,.250,.333,,1,0,anderch01
14,Alan Anderson,SF,31,BRK,78,1773,.400,17.0,,.489,.181,.087,.103,.118,.511,,.464,.659,.238,.400,.386,.339,,.436,.893,,.019,9,,.359,.281,,2,0,anderal01
15,James Anderson,SG,24,PHI,80,2309,.431,15.1,,.510,.308,.098,.049,.056,.490,,.530,.661,.343,.314,.325,.328,,.680,.904,,.057,37,,.271,.316,,2,0,anderja01
16,Ryan Anderson,PF,25,NOP,22,795,.438,16.8,,.537,.198,.093,.090,.155,.463,,.463,.529,.333,.344,.527,.409,,.420,.985,,.003,1,,.128,.476,,0,0,anderry01
17,Giannis Antetokounmpo,SF,19,MIL,77,1897,.414,10.8,,.718,.476,.098,.045,.098,.282,,.440,.573,.171,.105,.220,.347,,.621,.707,,.160,61,,.127,.067,,1,0,antetgi01
18,Carmelo Anthony,PF,29,NYK,77,2982,.452,15.2,,.747,.191,.078,.199,.279,.253,,.469,.589,.320,.443,.447,.402,,.292,.713,,.022,34,,.080,.364,,5,0,anthoca01
19,Joel Anthony,C,31,TOT,33,186,.375,7.1,,1.000,.281,.375,.281,.063,.000,,.375,.444,.417,.333,.000,,,.583,,,.000,0,,,,,0,0,anthojo01
19,Joel Anthony,C,31,MIA,12,37,.333,8.3,,1.000,.333,.167,.333,.167,.000,,.333,.500,1.000,.000,.000,,,.500,,,.000,0,,,,,0,0,anthojo01
19,Joel Anthony,C,31,BOS,21,149,.385,6.8,,1.000,.269,.423,.269,.038,.000,,.385,.429,.364,.429,.000,,,.600,,,.000,0,,,,,0,0,anthojo01
20,Pero Antić,C,31,ATL,50,925,.418,17.5,,.418,.218,.075,.041,.085,.582,,.545,.688,.182,.417,.560,.327,,.537,.982,,.041,12,,.181,.484,,0,0,anticpe01
21,Trevor Ariza,SF,28,WAS,77,2723,.456,16.6,,.482,.254,.070,.033,.124,.518,,.509,.650,.300,.214,.415,.407,,.589,.956,,.050,42,,.396,.446,,4,1,arizatr01
22,Hilton Armstrong,C,29,GSW,15,97,.474,7.0,,1.000,.474,.158,.263,.105,.000,,.474,.778,.000,.200,.500,,,.444,,,.158,3,,,,,0,0,armsthi01
23,Darrell Arthur,SF,25,DEN,68,1161,.395,15.8,,.844,.146,.076,.095,.527,.156,,.399,.517,.226,.333,.403,.375,,.841,1.000,,.027,9,,.234,.333,,1,0,arthuda01
24,Ömer Aşık,C,27,HOU,48,968,.532,2.8,,1.000,.784,.174,.021,.021,.000,,.532,.597,.273,.750,.000,,,.644,,,.211,36,,,,,0,0,asikom01
25,D.J. Augustin,PG,26,TOT,71,1939,.415,16.6,,.538,.224,.096,.068,.149,.462,,.427,.534,.246,.367,.411,.401,,.297,.639,,.000,0,,.190,.365,,7,1,augusdj01
25,D.J. Augustin,PG,26,TOR,10,82,.292,16.3,,.542,.208,.125,.042,.167,.458,,.462,.400,.333,.000,.750,.091,,.000,1.000,,.000,0,,.273,.333,,0,0,augusdj01
25,D.J. Augustin,PG,26,CHI,61,1857,.419,16.6,,.537,.225,.095,.069,.148,.463,,.426,.538,.242,.375,.398,.411,,.308,.636,,.000,0,,.187,.367,,7,1,augusdj01
26,Gustavo Ayón,C,28,ATL,26,429,.510,4.1,,1.000,.706,.147,.078,.069,.000,,.510,.528,.533,.250,.571,,,.788,,,.039,4,,,,,0,0,ayongu01
27,Jeff Ayres,PF,26,SAS,73,952,.580,4.8,,1.000,.644,.167,.109,.080,.000,,.580,.714,.345,.421,.214,,,.792,,,.224,36,,,,,0,0,pendeje02
28,Chris Babb,SG,23,BOS,14,132,.267,23.5,,.100,.067,.000,.000,.033,.900,,.667,1.000,,,.000,.222,,1.000,1.000,,.000,0,,.222,.167,,0,0,babbch01
29,Luke Babbitt,PF,24,NOP,27,473,.390,19.4,,.383,.065,.136,.117,.065,.617,,.407,.600,.381,.333,.400,.379,,.375,1.000,,.000,0,,.137,.462,,0,0,babbilu01
30,Leandro Barbosa,PG,31,PHO,20,368,.427,9.9,,.809,.427,.183,.076,.122,.191,,.462,.625,.250,.500,.188,.280,,.347,.857,,.000,0,,.200,.000,,0,0,barbole01
31,J.J. Barea,PG,29,MIN,79,1471,.387,13.8,,.648,.290,.149,.076,.133,.352,,.426,.505,.306,.420,.391,.316,,.155,.452,,.000,0,,.095,.409,,0,0,bareajo01
32,Andrea Bargnani,C,28,NYK,42,1257,.442,13.7,,.785,.207,.165,.147,.265,.215,,.487,.615,.434,.365,.489,.278,,.760,.967,,.026,13,,.019,.500,,0,0,bargnan01
33,Harrison Barnes,SF,21,GSW,78,2204,.399,12.9,,.720,.224,.225,.138,.131,.280,,.419,.592,.386,.255,.360,.347,,.493,.970,,.056,37,,.400,.355,,0,0,barneha02
34,Matt Barnes,SF,33,LAC,63,1735,.438,16.1,,.463,.262,.120,.009,.072,.537,,.549,.681,.444,.400,.263,.343,,.754,.969,,.042,21,,.375,.330,,1,0,barnema02
35,Will Barton,SG,23,POR,41,387,.417,11.4,,.788,.353,.167,.096,.173,.212,,.447,.691,.269,.133,.296,.303,,.491,.800,,.109,16,,.455,.400,,1,0,bartowi01
36,Brandon Bass,PF,28,BOS,82,2266,.486,9.3,,.992,.348,.171,.233,.240,.008,,.487,.603,.290,.562,.385,.333,,.603,.500,,.110,75,,.333,.000,,1,0,bassbr01
