,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Bobby Simmons,24,LAC,59.0,384.0,615,0.624,75,37.3,16.4,5.9,2.7,1.4,0.2,.466,.435,.846,6.8,.117,simmobo01
2,Dwyane Wade,23,MIA,15.0,129.0,615,0.210,77,38.6,24.1,5.2,6.8,1.6,1.1,.478,.289,.762,11.0,.177,wadedw01
3,Tayshaun Prince,24,DET,14.0,107.0,615,0.174,82,37.1,14.7,5.3,3.0,0.7,0.9,.487,.341,.807,9.4,.149,princta01
4,Primož Brezec,25,CHA,5.0,75.0,615,0.122,72,31.6,13.0,7.4,1.2,0.5,0.8,.512,,.745,4.9,.104,brezepr01
5,Dan Dickau,26,TOT,5.0,68.0,615,0.111,71,29.4,12.5,2.5,4.9,1.1,0.1,.405,.347,.833,3.5,.079,dickada01
6,LeBron James,20,CLE,4.0,57.0,615,0.093,80,42.4,27.2,7.4,7.2,2.2,0.7,.472,.351,.750,14.3,.203,jamesle01
7,Amar'e Stoudemire,22,PHO,5.0,46.0,615,0.075,80,36.1,26.0,8.9,1.6,1.0,1.6,.559,.188,.733,14.6,.243,stoudam01
8T,Larry Hughes,26,WAS,1.0,28.0,615,0.046,61,38.7,22.0,6.3,4.7,2.9,0.3,.430,.282,.777,7.7,.157,hughela01
8T,Joel Przybilla,25,POR,1.0,28.0,615,0.046,76,24.4,6.4,7.7,1.0,0.3,2.1,.598,,.517,4.7,.121,przybjo01
10,Chris Bosh,20,TOR,1.0,21.0,615,0.034,81,37.2,16.8,8.9,1.9,0.9,1.4,.471,.300,.760,6.8,.108,boshch01
11,Grant Hill,32,ORL,2.0,17.0,615,0.028,67,34.9,19.7,4.7,3.3,1.4,0.4,.509,.231,.821,6.6,.136,hillgr01
12,Udonis Haslem,24,MIA,1.0,16.0,615,0.026,80,33.4,10.9,9.1,1.4,0.8,0.5,.540,.000,.791,9.2,.165,hasleud01
13T,Damon Jones,28,MIA,2.0,14.0,615,0.023,82,31.4,11.6,2.8,4.3,0.5,0.1,.456,.432,.791,8.7,.162,jonesda01
13T,Luke Ridnour,23,SEA,1.0,14.0,615,0.023,82,31.4,10.0,2.5,5.9,1.1,0.3,.405,.376,.883,5.4,.100,ridnolu01
15,Gilbert Arenas,23,WAS,1.0,13.0,615,0.021,80,40.9,25.5,4.7,5.1,1.7,0.3,.431,.365,.814,11.5,.169,arenagi01
16,Kirk Hinrich,24,CHI,1.0,12.0,615,0.020,77,36.4,15.7,3.9,6.4,1.6,0.3,.397,.355,.792,7.2,.124,hinriki01
17,Kyle Korver,23,PHI,0.0,9.0,615,0.015,82,32.5,11.5,4.6,2.2,1.3,0.4,.418,.405,.854,6.6,.119,korveky01
18,Tyson Chandler,22,CHI,0.0,8.0,615,0.013,80,27.4,8.0,9.7,0.8,0.9,1.8,.494,.000,.673,8.3,.183,chandty01
19,Josh Howard,24,DAL,1.0,7.0,615,0.011,76,32.2,12.6,6.4,1.4,1.5,0.6,.475,.296,.733,6.4,.126,howarjo01
20T,Vince Carter,28,TOT,1.0,6.0,615,0.010,77,36.7,24.5,5.2,4.2,1.4,0.6,.452,.406,.798,9.4,.159,cartevi01
20T,Joe Johnson,23,PHO,0.0,6.0,615,0.010,82,39.5,17.1,5.1,3.5,1.0,0.3,.461,.478,.750,7.6,.112,johnsjo02
22T,Shawn Marion,26,PHO,1.0,5.0,615,0.008,81,38.8,19.4,11.3,1.9,2.0,1.5,.476,.334,.833,12.5,.191,mariosh01
22T,Dirk Nowitzki,26,DAL,1.0,5.0,615,0.008,78,38.7,26.1,9.7,3.1,1.2,1.5,.459,.399,.869,15.6,.248,nowitdi01
