,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Monta Ellis,21,GSW,47.0,352.0,645,0.546,77,34.3,16.5,3.2,4.1,1.7,0.3,.475,.273,.763,4.0,.072,ellismo01
2,Kevin Martin,23,SAC,44.0,349.0,645,0.541,80,35.2,20.2,4.3,2.2,1.2,0.1,.473,.381,.844,10.2,.173,martike02
3,Deron Williams,22,UTA,13.0,101.0,645,0.157,80,36.9,16.2,3.3,9.3,1.0,0.2,.456,.322,.767,7.2,.117,willide01
4,Tyson Chandler,24,NOK,6.0,72.0,645,0.112,73,34.6,9.5,12.4,0.9,0.5,1.8,.624,.000,.527,7.9,.150,chandty01
5,Andris Biedriņš,20,GSW,8.0,64.0,645,0.099,82,29.0,9.5,9.3,1.1,0.8,1.7,.599,,.521,6.7,.136,biedran01
6,Al Jefferson,22,BOS,2.0,62.0,645,0.096,69,33.6,16.0,11.0,1.3,0.7,1.5,.514,.000,.681,6.6,.137,jeffeal01
7,Luol Deng,21,CHI,2.0,44.0,645,0.068,82,37.5,18.8,7.1,2.5,1.2,0.6,.517,.143,.777,11.3,.176,denglu01
8,Leandro Barbosa,24,PHO,3.0,24.0,645,0.037,80,32.7,18.1,2.7,4.0,1.2,0.2,.476,.434,.845,8.2,.151,barbole01
9,Andre Iguodala,23,PHI,1.0,14.0,645,0.022,76,40.3,18.2,5.7,5.7,2.0,0.4,.447,.310,.820,7.7,.120,iguodan01
10,David Lee,23,NYK,0.0,12.0,645,0.019,58,29.8,10.7,10.4,1.8,0.8,0.4,.600,,.815,6.9,.191,leeda02
11,Jason Kapono,25,MIA,0.0,10.0,645,0.016,67,26.4,10.9,2.7,1.2,0.6,0.0,.494,.514,.892,4.2,.114,kaponja01
12T,Josh Howard,26,DAL,1.0,9.0,645,0.014,70,35.1,18.9,6.8,1.8,1.2,0.8,.459,.385,.827,8.8,.173,howarjo01
12T,Mikki Moore,31,NJN,0.0,9.0,645,0.014,79,26.4,9.8,5.1,0.9,0.6,0.8,.609,.000,.681,5.7,.131,mooremi01
14,Carlos Boozer,25,UTA,1.0,8.0,645,0.012,74,34.6,20.9,11.7,3.0,0.9,0.3,.561,,.685,9.9,.185,boozeca01
15,José Calderón,25,TOR,0.0,6.0,645,0.009,77,21.0,8.7,1.7,5.0,0.8,0.1,.521,.333,.818,5.4,.162,caldejo01
16,Amar'e Stoudemire,24,PHO,1.0,5.0,645,0.008,82,32.8,20.4,9.6,1.0,1.0,1.3,.575,.000,.781,11.2,.201,stoudam01
17T,Matt Carroll,26,CHA,0.0,3.0,645,0.005,72,26.1,12.1,2.9,1.3,0.7,0.1,.433,.416,.904,4.6,.117,carroma01
17T,Eddy Curry,24,NYK,0.0,3.0,645,0.005,81,35.2,19.5,7.0,0.8,0.4,0.5,.576,1.000,.615,4.7,.079,curryed01
17T,Boštjan Nachbar,26,NJN,0.0,3.0,645,0.005,76,20.2,9.2,3.3,0.8,0.4,0.3,.457,.423,.805,4.1,.128,nachbbo01
20,Caron Butler,26,WAS,0.0,2.0,645,0.003,63,39.3,19.1,7.4,3.7,2.1,0.3,.463,.250,.863,5.3,.103,butleca01
21T,Andrew Bynum,19,LAL,0.0,1.0,645,0.002,82,21.9,7.8,5.9,1.1,0.1,1.6,.558,.000,.668,4.2,.112,bynuman01
21T,Ben Gordon,23,CHI,0.0,1.0,645,0.002,82,33.0,21.4,3.1,3.6,0.8,0.2,.455,.413,.864,8.6,.152,gordobe01
21T,Nenê,24,DEN,0.0,1.0,645,0.002,64,26.8,12.2,7.0,1.2,1.0,0.9,.570,.000,.689,5.3,.148,hilarne01
21T,Dwight Howard,21,ORL,0.0,1.0,645,0.002,82,36.9,17.6,12.3,1.9,0.9,1.9,.603,.500,.586,9.7,.154,howardw01
21T,Sasha Pavlović,23,CLE,0.0,1.0,645,0.002,67,22.9,9.0,2.4,1.6,0.8,0.3,.453,.405,.794,3.1,.098,pavloal01
21T,Josh Smith,21,ATL,0.0,1.0,645,0.002,72,36.8,16.4,8.6,3.3,1.4,2.9,.439,.250,.693,4.4,.079,smithjo03
21T,Gerald Wallace,24,CHA,0.0,1.0,645,0.002,72,36.7,18.1,7.2,2.6,2.0,1.0,.502,.325,.691,7.7,.141,wallage01
21T,Luke Walton,26,LAL,0.0,1.0,645,0.002,60,33.0,11.4,5.0,4.3,1.0,0.4,.474,.387,.745,3.8,.092,waltolu01
21T,Chris Wilcox,24,SEA,0.0,1.0,645,0.002,82,31.5,13.5,7.7,1.0,0.9,0.5,.529,.000,.684,6.0,.112,wilcoch01
