,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Pascal Siakam,24,TOR,86.0,469.0,500,0.938,80,31.9,16.9,6.9,3.1,0.9,0.7,.549,.369,.785,9.3,.175,siakapa01
2,D'Angelo Russell,22,BRK,12.0,255.0,500,0.510,81,30.2,21.1,3.9,7.0,1.2,0.2,.434,.369,.780,5.0,.097,russeda01
3,De'Aaron Fox,21,SAC,1.0,77.0,500,0.154,81,31.4,17.3,3.8,7.3,1.6,0.6,.458,.371,.727,5.6,.106,foxde01
4,Buddy Hield,26,SAC,0.0,22.0,500,0.044,82,31.9,20.7,5.0,2.5,0.7,0.4,.458,.427,.886,5.9,.108,hieldbu01
5,Nikola Vučević,28,ORL,0.0,20.0,500,0.040,80,31.4,20.8,12.0,3.8,1.0,1.1,.518,.364,.789,10.1,.193,vucevni01
6,Domantas Sabonis,22,IND,0.0,10.0,500,0.020,74,24.8,14.1,9.3,2.9,0.6,0.4,.590,.529,.715,7.6,.197,sabondo01
7,Montrezl Harrell,25,LAC,0.0,9.0,500,0.018,82,26.3,16.6,6.5,2.0,0.9,1.3,.615,.176,.643,8.7,.193,harremo01
8,Derrick Rose,30,MIN,1.0,8.0,500,0.016,51,27.3,18.0,2.7,4.3,0.6,0.2,.482,.370,.856,3.0,.102,rosede01
9,John Collins,21,ATL,0.0,6.0,500,0.012,61,30.0,19.5,9.8,2.0,0.4,0.6,.560,.348,.763,6.0,.158,collijo01
10,Giannis Antetokounmpo,24,MIL,0.0,4.0,500,0.008,72,32.8,27.7,12.5,5.9,1.3,1.5,.578,.256,.729,14.4,.292,antetgi01
11T,Malik Beasley,22,DEN,0.0,3.0,500,0.006,81,23.2,11.3,2.5,1.2,0.7,0.1,.474,.402,.848,4.5,.115,beaslma01
11T,Danilo Gallinari,30,LAC,0.0,3.0,500,0.006,68,30.3,19.8,6.1,2.6,0.7,0.3,.463,.433,.904,8.2,.191,gallida01
11T,Paul George,28,OKC,0.0,3.0,500,0.006,77,36.9,28.0,8.2,4.1,2.2,0.4,.438,.386,.839,11.9,.201,georgpa01
14T,Bojan Bogdanović,29,IND,0.0,2.0,500,0.004,81,31.8,18.0,4.1,2.0,0.9,0.0,.497,.425,.807,6.8,.126,bogdabo02
14T,Thomas Bryant,21,WAS,0.0,2.0,500,0.004,72,20.8,10.5,6.3,1.3,0.3,0.9,.616,.333,.781,5.6,.178,bryanth01
16T,Willie Cauley-Stein,25,SAC,0.0,1.0,500,0.002,81,27.3,11.9,8.4,2.4,1.2,0.6,.556,.500,.551,6.7,.146,caulewi01
16T,Spencer Dinwiddie,25,BRK,0.0,1.0,500,0.002,68,28.1,16.8,2.4,4.6,0.6,0.3,.442,.335,.806,4.8,.121,dinwisp01
16T,Bryn Forbes,25,SAS,0.0,1.0,500,0.002,82,28.0,11.8,2.9,2.1,0.5,0.0,.456,.426,.885,3.8,.079,forbebr01
16T,Jerami Grant,24,OKC,0.0,1.0,500,0.002,80,32.7,13.6,5.2,1.0,0.8,1.3,.497,.392,.710,7.3,.134,grantje01
16T,Zach LaVine,23,CHI,0.0,1.0,500,0.002,63,34.5,23.7,4.7,4.5,1.0,0.4,.467,.374,.832,2.8,.062,lavinza01
16T,Josh Richardson,25,MIA,0.0,1.0,500,0.002,73,34.8,16.6,3.6,4.1,1.1,0.5,.412,.357,.861,5.6,.106,richajo01
16T,Derrick White,24,SAS,0.0,1.0,500,0.002,67,25.8,9.9,3.7,3.9,1.0,0.7,.479,.338,.772,3.6,.101,whitede01
