,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Zach Randolph,22,POR,59.0,379.0,605,0.626,81,37.9,20.1,10.5,2.0,0.8,0.5,.485,.200,.761,7.1,.111,randoza01
2,Carlos Boozer,22,CLE,12.0,166.0,605,0.274,75,34.6,15.5,11.4,2.0,1.0,0.7,.523,.167,.768,9.4,.174,boozeca01
3,James Posey,27,MEM,17.0,137.0,605,0.226,82,29.9,13.7,4.9,1.5,1.7,0.5,.478,.386,.830,10.0,.195,poseyja01
4,Andrei Kirilenko,22,UTA,11.0,101.0,605,0.167,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192,kirilan01
5,Michael Redd,24,MIL,9.0,95.0,605,0.157,82,36.8,21.7,5.0,2.3,1.0,0.1,.440,.350,.868,9.7,.154,reddmi01
6,Lamar Odom,24,MIA,1.0,31.0,605,0.051,80,37.5,17.1,9.7,4.1,1.1,0.9,.430,.298,.742,8.4,.134,odomla01
7,Jamaal Magloire,25,NOH,3.0,26.0,605,0.043,82,33.9,13.6,10.3,1.0,0.5,1.2,.473,.000,.751,7.6,.131,magloja01
8,Samuel Dalembert,22,PHI,3.0,25.0,605,0.041,82,26.8,8.0,7.6,0.3,0.5,2.3,.541,.000,.644,6.9,.151,dalemsa01
9,Joe Johnson,22,PHO,1.0,20.0,605,0.033,82,40.6,16.7,4.7,4.4,1.1,0.3,.430,.305,.750,3.3,.047,johnsjo02
10,Brian Cardinal,26,GSW,1.0,18.0,605,0.030,76,21.5,9.6,4.2,1.4,0.9,0.3,.472,.444,.878,7.2,.212,cardibr01
11,Rafer Alston,27,MIA,2.0,16.0,605,0.026,82,31.5,10.2,2.8,4.5,1.4,0.2,.376,.371,.769,5.9,.110,alstora01
12,Mark Blount,28,BOS,0.0,10.0,605,0.017,82,29.3,10.3,7.2,0.9,1.0,1.3,.566,,.719,6.5,.131,blounma01
13T,Quentin Richardson,23,LAC,1.0,8.0,605,0.013,65,36.0,17.2,6.4,2.1,1.0,0.3,.398,.352,.740,2.4,.050,richaqu01
13T,Carlos Arroyo,24,UTA,0.0,8.0,605,0.013,71,28.3,12.6,2.6,5.0,0.9,0.1,.441,.325,.804,4.7,.112,arroyca01
15T,Metta World Peace,24,IND,1.0,7.0,605,0.012,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,artesro01
15T,Yao Ming,23,HOU,0.0,7.0,605,0.012,82,32.8,17.5,9.0,1.5,0.3,1.9,.522,.000,.809,11.4,.202,mingya01
15T,Ronald Murray,24,SEA,0.0,7.0,605,0.012,82,24.6,12.4,2.5,2.5,1.0,0.3,.425,.293,.715,1.7,.040,murraro01
18,Erick Dampier,28,GSW,0.0,5.0,605,0.008,74,32.5,12.3,12.0,0.8,0.4,1.9,.535,.000,.654,8.9,.178,dampier01
19,Richard Jefferson,23,NJN,0.0,4.0,605,0.007,82,38.2,18.5,5.7,3.8,1.1,0.3,.498,.364,.763,11.0,.168,jefferi01
20T,Mike Dunleavy,23,GSW,0.0,3.0,605,0.005,75,31.1,11.7,5.9,2.9,0.9,0.2,.449,.370,.741,5.2,.107,dunlemi02
20T,Manu Ginóbili,26,SAS,0.0,3.0,605,0.005,77,29.4,12.8,4.5,3.8,1.8,0.2,.418,.359,.802,9.1,.194,ginobma01
20T,Corey Maggette,24,LAC,0.0,3.0,605,0.005,73,36.0,20.7,5.9,3.1,0.9,0.2,.447,.329,.848,8.6,.157,maggeco01
23,Tayshaun Prince,23,DET,0.0,2.0,605,0.003,82,32.9,10.3,4.8,2.3,0.8,0.8,.467,.363,.766,7.5,.134,princta01
24T,Raja Bell,27,UTA,0.0,1.0,605,0.002,82,24.6,11.2,2.9,1.3,0.8,0.2,.409,.373,.786,3.7,.088,bellra01
24T,Marcus Camby,29,DEN,0.0,1.0,605,0.002,72,30.0,8.6,10.1,1.8,1.2,2.6,.477,.000,.721,6.9,.154,cambyma01
24T,Pau Gasol,23,MEM,0.0,1.0,605,0.002,78,31.5,17.7,7.7,2.5,0.6,1.7,.482,.267,.714,8.1,.159,gasolpa01
24T,Nenê,21,DEN,0.0,1.0,605,0.002,77,32.5,11.8,6.5,2.2,1.5,0.5,.530,.000,.682,6.1,.117,hilarne01
24T,Stephen Jackson,25,ATL,0.0,1.0,605,0.002,80,36.8,18.1,4.6,3.1,1.8,0.3,.425,.340,.785,4.4,.072,jacksst02
24T,Desmond Mason,26,MIL,0.0,1.0,605,0.002,82,30.9,14.4,4.4,1.9,0.7,0.3,.472,.231,.769,5.7,.107,masonde01
24T,Kenny Thomas,26,PHI,0.0,1.0,605,0.002,74,36.5,13.6,10.1,1.5,1.1,0.4,.469,.200,.752,6.6,.118,thomake01
24T,Jason Williams,28,MEM,0.0,1.0,605,0.002,72,29.4,10.9,2.0,6.8,1.3,0.1,.407,.330,.837,5.4,.122,willija02
