,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Julius Randle,26,NYK,98.0,493.0,500,0.986,71,37.6,24.1,10.2,6.0,0.9,0.3,.456,.411,.811,7.8,.140,randlju01
2,Jerami Grant,26,DET,2.0,140.0,500,0.280,54,33.9,22.3,4.6,2.8,0.6,1.1,.429,.350,.845,3.2,.083,grantje01
3,Michael Porter Jr.,22,DEN,0.0,138.0,500,0.276,61,31.3,19.0,7.3,1.1,0.7,0.9,.542,.445,.791,6.9,.173,portemi01
4,Christian Wood,25,HOU,0.0,44.0,500,0.088,41,32.3,21.0,9.6,1.7,0.8,1.2,.514,.374,.631,2.8,.100,woodch01
5,Zach LaVine,25,CHI,0.0,20.0,500,0.040,58,35.1,27.4,5.0,4.9,0.8,0.5,.507,.419,.849,5.9,.138,lavinza01
6T,Chris Boucher,28,TOR,0.0,10.0,500,0.020,60,24.2,13.6,6.7,1.1,0.6,1.9,.514,.383,.788,6.1,.201,bouchch01
6T,Jaylen Brown,24,BOS,0.0,10.0,500,0.020,58,34.5,24.7,6.0,3.4,1.2,0.6,.484,.397,.764,4.8,.115,brownja02
8,Mikal Bridges,24,PHO,0.0,8.0,500,0.016,72,32.6,13.5,4.3,2.1,1.1,0.9,.543,.425,.840,8.0,.164,bridgmi01
9,Zion Williamson,20,NOP,0.0,6.0,500,0.012,61,33.2,27.0,7.2,3.7,0.9,0.6,.611,.294,.698,8.7,.205,willizi01
10T,Clint Capela,26,ATL,0.0,3.0,500,0.006,63,30.1,15.2,14.3,0.8,0.7,2.0,.594,,.573,8.2,.207,capelca01
10T,Jordan Clarkson,28,UTA,0.0,3.0,500,0.006,68,26.7,18.4,4.0,2.5,0.9,0.1,.425,.347,.896,4.2,.111,clarkjo01
10T,Luguentz Dort,21,OKC,0.0,3.0,500,0.006,52,29.7,14.0,3.6,1.7,0.9,0.4,.387,.343,.744,0.3,.011,dortlu01
10T,Darius Garland,21,CLE,0.0,3.0,500,0.006,54,33.1,17.4,2.4,6.1,1.2,0.1,.451,.395,.848,1.2,.033,garlada01
10T,Jordan Poole,21,GSW,0.0,3.0,500,0.006,51,19.4,12.0,1.8,1.9,0.5,0.2,.432,.351,.882,1.9,.094,poolejo01
10T,Nikola Vučević,30,TOT,0.0,3.0,500,0.006,70,33.5,23.4,11.7,3.8,0.9,0.7,.477,.400,.840,6.3,.129,vucevni01
16T,Kyle Anderson,27,MEM,0.0,2.0,500,0.004,69,27.3,12.4,5.7,3.6,1.2,0.8,.468,.360,.783,5.6,.143,anderky01
16T,RJ Barrett,20,NYK,0.0,2.0,500,0.004,72,34.9,17.6,5.8,3.0,0.7,0.3,.441,.401,.746,4.1,.078,barrerj01
16T,Miles Bridges,22,CHO,0.0,2.0,500,0.004,66,29.3,12.7,6.0,2.2,0.7,0.8,.503,.400,.867,4.2,.105,bridgmi02
19T,Lonzo Ball,23,NOP,0.0,1.0,500,0.002,55,31.8,14.6,4.8,5.7,1.5,0.6,.414,.378,.781,3.2,.089,balllo01
19T,Bojan Bogdanović,31,UTA,0.0,1.0,500,0.002,72,30.8,17.0,3.9,1.9,0.6,0.1,.439,.390,.879,5.2,.113,bogdabo02
19T,Shai Gilgeous-Alexander,22,OKC,0.0,1.0,500,0.002,35,33.7,23.7,4.7,5.9,0.8,0.7,.508,.418,.808,3.5,.143,gilgesh01
19T,Richaun Holmes,27,SAC,0.0,1.0,500,0.002,61,29.2,14.2,8.3,1.7,0.6,1.6,.637,.182,.794,6.1,.165,holmeri01
19T,T.J. McConnell,28,IND,0.0,1.0,500,0.002,69,26.0,8.6,3.7,6.6,1.9,0.3,.559,.313,.688,4.8,.128,mccontj01
19T,Terry Rozier,26,CHO,0.0,1.0,500,0.002,69,34.5,20.4,4.4,4.2,1.3,0.4,.450,.389,.817,5.2,.105,roziete01
19T,Andrew Wiggins,25,GSW,0.0,1.0,500,0.002,71,33.3,18.6,4.9,2.4,0.9,1.0,.477,.380,.714,3.9,.080,wiggian01
