,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Brandon Ingram,22,NOP,42.0,326.0,500,0.652,62,33.9,23.8,6.1,4.2,1.0,0.6,.463,.391,.851,5.1,.115,ingrabr01
2,Bam Adebayo,22,MIA,38.0,295.0,500,0.590,72,33.6,15.9,10.2,5.1,1.1,1.3,.557,.143,.691,8.5,.168,adebaba01
3,Luka Dončić,20,DAL,12.0,101.0,500,0.202,61,33.6,28.8,9.4,8.8,1.0,0.2,.463,.316,.758,8.8,.207,doncilu01
4,Jayson Tatum,21,BOS,3.0,57.0,500,0.114,66,34.3,23.4,7.0,3.0,1.4,0.9,.450,.403,.812,6.9,.146,tatumja01
5,Devonte' Graham,24,CHO,2.0,50.0,500,0.100,63,35.1,18.2,3.4,7.5,1.0,0.2,.382,.373,.820,3.4,.073,grahade01
6,Shai Gilgeous-Alexander,21,OKC,0.0,21.0,500,0.042,70,34.7,19.0,5.9,3.3,1.1,0.7,.471,.347,.807,6.1,.121,gilgesh01
7,Pascal Siakam,25,TOR,1.0,13.0,500,0.026,60,35.2,22.9,7.3,3.5,1.0,0.9,.453,.359,.792,5.4,.123,siakapa01
8,Christian Wood,24,DET,1.0,11.0,500,0.022,62,21.4,13.1,6.3,1.0,0.5,0.9,.567,.386,.744,5.1,.183,woodch01
9,Trae Young,21,ATL,0.0,10.0,500,0.020,60,35.3,29.6,4.3,9.3,1.1,0.1,.437,.361,.860,5.9,.133,youngtr01
10,Fred VanVleet,25,TOR,1.0,6.0,500,0.012,54,35.7,17.6,3.8,6.6,1.9,0.3,.413,.390,.848,5.8,.145,vanvlfr01
11T,Dāvis Bertāns,27,WAS,0.0,3.0,500,0.006,54,29.3,15.4,4.5,1.7,0.7,0.6,.434,.424,.852,3.5,.107,bertada01
11T,Jaylen Brown,23,BOS,0.0,3.0,500,0.006,57,33.9,20.3,6.4,2.1,1.1,0.4,.481,.382,.724,4.9,.123,brownja02
13,Markelle Fultz,21,ORL,0.0,2.0,500,0.004,72,27.7,12.1,3.3,5.1,1.3,0.2,.465,.267,.730,2.7,.065,fultzma01
14T,Spencer Dinwiddie,26,BRK,0.0,1.0,500,0.002,64,31.2,20.6,3.5,6.8,0.6,0.3,.415,.308,.778,4.8,.116,dinwisp01
14T,Duncan Robinson,25,MIA,0.0,1.0,500,0.002,73,29.7,13.5,3.2,1.4,0.5,0.3,.470,.446,.931,5.3,.118,robindu01
