,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Giannis Antetokounmpo,22,MIL,80.0,428.0,500,0.856,80,35.6,22.9,8.8,5.4,1.6,1.9,.521,.272,.770,12.4,.210,antetgi01
2,Nikola Jokić,21,DEN,14.0,161.0,500,0.322,73,27.9,16.7,9.8,4.9,0.8,0.8,.578,.324,.825,9.7,.228,jokicni01
3,Rudy Gobert,24,UTA,1.0,113.0,500,0.226,81,33.9,14.0,12.8,1.2,0.6,2.6,.661,.000,.653,14.3,.250,goberru01
4,Otto Porter Jr.,23,WAS,1.0,43.0,500,0.086,80,32.6,13.4,6.4,1.5,1.5,0.5,.516,.434,.832,9.4,.173,porteot01
5,Isaiah Thomas,27,BOS,0.0,35.0,500,0.070,76,33.8,28.9,2.7,5.9,0.9,0.2,.463,.379,.909,12.5,.234,thomais02
6,James Johnson,29,MIA,1.0,34.0,500,0.068,76,27.4,12.8,4.9,3.6,1.0,1.1,.479,.340,.707,5.1,.117,johnsja01
7,Bradley Beal,23,WAS,1.0,19.0,500,0.038,77,34.9,23.1,3.1,3.5,1.1,0.3,.482,.404,.825,8.5,.152,bealbr01
8,Devin Booker,20,PHO,1.0,18.0,500,0.036,78,35.0,22.1,3.2,3.4,0.9,0.3,.423,.363,.832,2.0,.035,bookede01
9,Tim Hardaway Jr.,24,ATL,0.0,14.0,500,0.028,79,27.3,14.5,2.8,2.3,0.7,0.2,.455,.357,.766,4.8,.107,hardati02
10,Mike Conley,29,MEM,1.0,5.0,500,0.010,69,33.2,20.5,3.5,6.3,1.3,0.3,.460,.408,.859,10.0,.209,conlemi01
11,Dion Waiters,25,MIA,0.0,4.0,500,0.008,46,30.1,15.8,3.3,4.3,0.9,0.4,.424,.395,.646,1.6,.057,waitedi01
12T,Gordon Hayward,26,UTA,0.0,3.0,500,0.006,73,34.5,21.9,5.4,3.5,1.0,0.3,.471,.398,.844,10.4,.199,haywago01
12T,Jusuf Nurkić,22,TOT,0.0,3.0,500,0.006,65,21.4,10.2,7.2,1.9,0.8,1.1,.507,.000,.571,2.0,.068,nurkiju01
12T,Kristaps Porziņģis,21,NYK,0.0,3.0,500,0.006,66,32.8,18.1,7.2,1.5,0.7,2.0,.450,.357,.786,4.5,.100,porzikr01
12T,Dennis Schröder,23,ATL,0.0,3.0,500,0.006,79,31.5,17.9,3.1,6.3,0.9,0.2,.451,.340,.855,3.7,.071,schrode01
16T,Harrison Barnes,24,DAL,0.0,2.0,500,0.004,79,35.5,19.2,5.0,1.5,0.8,0.2,.468,.351,.861,4.6,.078,barneha02
16T,Seth Curry,26,DAL,0.0,2.0,500,0.004,70,29.0,12.8,2.6,2.7,1.1,0.1,.481,.425,.850,4.6,.110,curryse01
16T,Gary Harris,22,DEN,0.0,2.0,500,0.004,57,31.3,14.9,3.1,2.9,1.2,0.1,.502,.420,.776,4.6,.124,harriga01
16T,Myles Turner,20,IND,0.0,2.0,500,0.004,81,31.4,14.5,7.3,1.3,0.9,2.1,.511,.348,.809,8.0,.151,turnemy01
20T,Avery Bradley,26,BOS,0.0,1.0,500,0.002,55,33.4,16.3,6.1,2.2,1.2,0.2,.463,.390,.731,3.1,.081,bradlav01
20T,Clint Capela,22,HOU,0.0,1.0,500,0.002,65,23.9,12.6,8.1,1.0,0.5,1.2,.643,,.531,5.9,.184,capelca01
20T,DeMar DeRozan,27,TOR,0.0,1.0,500,0.002,74,35.4,27.3,5.2,3.9,1.1,0.2,.467,.266,.842,9.0,.166,derozde01
20T,Joe Ingles,29,UTA,0.0,1.0,500,0.002,82,24.0,7.1,3.2,2.7,1.2,0.1,.452,.441,.735,5.0,.123,inglejo01
20T,John Wall,26,WAS,0.0,1.0,500,0.002,78,36.4,23.1,4.2,10.7,2.0,0.6,.451,.327,.801,8.8,.149,walljo01
20T,Hassan Whiteside,27,MIA,0.0,1.0,500,0.002,77,32.6,17.0,14.1,0.7,0.7,2.1,.557,,.628,9.5,.181,whiteha01
