,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Ja Morant,22,MEM,38.0,221.0,500,0.442,57,33.1,27.4,5.7,6.7,1.2,0.4,.493,.344,.761,6.7,.171,moranja01
2,Dejounte Murray,25,SAS,20.0,183.0,500,0.366,68,34.8,21.1,8.3,9.2,2.0,0.3,.462,.327,.794,7.3,.149,murrade01
3,Darius Garland,22,CLE,11.0,178.0,500,0.356,68,35.7,21.7,3.3,8.6,1.3,0.1,.462,.383,.892,6.3,.125,garlada01
4,Jordan Poole,22,GSW,15.0,131.0,500,0.262,76,30.0,18.5,3.4,4.0,0.8,0.3,.448,.364,.925,6.0,.126,poolejo01
5,Desmond Bane,23,MEM,7.0,74.0,500,0.148,76,29.8,18.2,4.4,2.7,1.2,0.4,.461,.436,.903,7.2,.153,banede01
6,Tyrese Maxey,21,PHI,6.0,52.0,500,0.104,75,35.3,17.5,3.2,4.3,0.7,0.4,.485,.427,.866,7.3,.132,maxeyty01
7,Miles Bridges,23,CHO,3.0,38.0,500,0.076,80,35.5,20.2,7.0,3.8,0.9,0.8,.491,.331,.802,7.2,.123,bridgmi02
8,Anfernee Simons,22,POR,0.0,13.0,500,0.026,57,29.5,17.3,2.6,3.9,0.5,0.1,.443,.405,.888,1.9,.055,simonan01
9,Robert Williams,24,BOS,0.0,4.0,500,0.008,61,29.6,10.0,9.6,2.0,0.9,2.2,.736,.000,.722,9.9,.262,williro04
10,Jaren Jackson Jr.,22,MEM,0.0,3.0,500,0.006,78,27.3,16.3,5.8,1.1,0.9,2.3,.415,.319,.823,5.4,.121,jacksja02
11,Jalen Brunson,25,DAL,0.0,2.0,500,0.004,79,31.9,16.3,3.9,4.8,0.8,0.0,.502,.373,.840,7.5,.143,brunsja01
12,Max Strus,25,MIA,0.0,1.0,500,0.002,68,23.3,10.6,3.0,1.4,0.4,0.2,.441,.410,.792,3.6,.110,strusma01
