,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,82,19880,.478,11.1,,.813,.347,.141,.119,.206,.187,,.503,.623,.420,.377,.431,.368,,.496,.867,,.057,340,,.270,988,,.309,.374
2,Boston Celtics,82,19880,.456,11.9,,.804,.330,.136,.112,.226,.196,,.481,.601,.380,.360,.425,.353,,.551,.865,,.050,304,,.261,895,,.284,.343
3,Charlotte Bobcats,82,19905,.478,11.4,,.800,.355,.120,.107,.217,.200,,.509,.624,.419,.398,.425,.356,,.563,.902,,.068,395,,.262,931,,.284,.362
4,Chicago Bulls*,82,19905,.426,13.1,,.781,.285,.099,.130,.267,.219,,.447,.566,.377,.362,.387,.351,,.529,.898,,.038,238,,.227,743,,.260,.375
5,Cleveland Cavaliers*,82,19830,.455,12.4,,.801,.309,.129,.110,.253,.199,,.480,.580,.418,.412,.418,.356,,.511,.858,,.044,256,,.240,822,,.249,.374
6,Dallas Mavericks*,82,19880,.443,11.9,,.823,.311,.131,.135,.246,.177,,.461,.567,.394,.407,.392,.361,,.458,.832,,.040,221,,.248,803,,.244,.418
7,Denver Nuggets*,82,19930,.454,12.4,,.781,.312,.120,.102,.247,.219,,.481,.618,.394,.357,.401,.358,,.584,.896,,.051,323,,.238,898,,.294,.386
8,Detroit Pistons*,82,19830,.452,11.3,,.843,.345,.117,.132,.249,.157,,.476,.583,.415,.391,.400,.325,,.502,.742,,.052,308,,.266,898,,.278,.352
9,Golden State Warriors,82,19830,.457,12.4,,.800,.276,.169,.111,.243,.200,,.483,.664,.384,.389,.389,.351,,.548,.883,,.047,291,,.216,869,,.287,.433
10,Houston Rockets,82,19830,.429,13.5,,.768,.252,.117,.148,.250,.232,,.447,.573,.379,.404,.378,.369,,.535,.902,,.035,192,,.200,664,,.274,.398
11,Indiana Pacers*,82,19730,.435,11.7,,.833,.299,.170,.126,.238,.167,,.454,.566,.398,.383,.391,.343,,.491,.838,,.045,260,,.238,768,,.279,.361
12,Los Angeles Clippers*,82,19805,.435,11.9,,.794,.320,.132,.123,.218,.206,,.458,.553,.415,.364,.396,.347,,.561,.869,,.044,263,,.257,845,,.251,.353
13,Los Angeles Lakers*,82,19855,.450,12.2,,.795,.317,.126,.120,.233,.205,,.475,.601,.386,.397,.391,.353,,.541,.829,,.051,306,,.247,874,,.248,.366
14,Memphis Grizzlies*,82,19855,.436,11.9,,.802,.325,.125,.123,.229,.198,,.461,.564,.394,.416,.377,.334,,.549,.860,,.047,259,,.255,797,,.273,.332
15,Miami Heat*,82,19755,.440,12.7,,.792,.277,.134,.118,.262,.208,,.461,.583,.399,.401,.389,.361,,.511,.773,,.052,299,,.204,670,,.276,.405
16,Milwaukee Bucks*,82,19855,.466,12.1,,.783,.315,.116,.151,.200,.217,,.497,.620,.460,.411,.388,.354,,.573,.867,,.053,317,,.239,851,,.306,.349
17,Minnesota Timberwolves,82,19855,.441,11.5,,.810,.334,.137,.118,.220,.190,,.459,.565,.433,.348,.373,.364,,.498,.799,,.051,303,,.264,848,,.230,.410
18,New Jersey Nets*,82,19780,.439,12.5,,.785,.304,.117,.119,.246,.215,,.464,.578,.389,.366,.405,.348,,.550,.849,,.041,237,,.237,773,,.241,.363
19,New Orleans/Oklahoma City Hornets,82,19805,.459,12.7,,.764,.290,.130,.107,.237,.236,,.487,.618,.400,.410,.408,.367,,.479,.850,,.038,218,,.232,833,,.248,.407
20,New York Knicks,82,19930,.467,12.8,,.765,.296,.114,.123,.233,.235,,.494,.626,.414,.406,.411,.378,,.531,.830,,.052,307,,.220,786,,.280,.453
21,Orlando Magic,82,19905,.454,12.3,,.797,.314,.116,.117,.250,.203,,.478,.601,.402,.393,.399,.357,,.514,.883,,.053,307,,.237,801,,.298,.396
