,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,66,15940,.495,13.6,,.600,.293,.167,.098,.043,.400,,.568,.691,.461,.449,.417,.384,,.533,.846,,.072,381,,.286,1008,,.278,.417
2,Boston Celtics,66,15965,.449,14.6,,.598,.201,.229,.101,.067,.402,,.518,.664,.439,.473,.416,.348,,.506,.806,,.049,262,,.277,883,,.193,.329
3,Brooklyn Nets,66,15915,.472,14.0,,.606,.245,.207,.094,.060,.394,,.531,.704,.404,.435,.413,.380,,.521,.808,,.055,278,,.268,875,,.206,.425
4,Chicago Bulls,67,16355,.472,14.9,,.544,.269,.148,.069,.058,.456,,.562,.680,.457,.408,.460,.366,,.578,.875,,.059,317,,.259,862,,.269,.419
5,Charlotte Hornets,67,16130,.492,13.9,,.594,.279,.189,.075,.051,.406,,.572,.726,.446,.440,.391,.375,,.554,.872,,.063,325,,.286,1016,,.244,.401
6,Cleveland Cavaliers,66,15965,.456,13.8,,.619,.267,.187,.106,.058,.381,,.515,.651,.410,.429,.391,.361,,.508,.850,,.057,278,,.268,840,,.273,.396
7,Dallas Mavericks,67,16080,.481,14.0,,.603,.240,.206,.096,.061,.397,,.555,.747,.432,.459,.370,.369,,.545,.841,,.053,295,,.262,947,,.286,.383
8,Denver Nuggets,67,16105,.465,13.3,,.645,.257,.223,.108,.057,.355,,.522,.687,.421,.411,.389,.362,,.544,.849,,.051,267,,.296,952,,.225,.377
9,Detroit Pistons,66,15915,.490,13.4,,.642,.227,.269,.086,.059,.358,,.556,.713,.474,.442,.490,.372,,.533,.827,,.054,290,,.294,1010,,.209,.400
10,Golden State Warriors,65,15750,.469,14.6,,.594,.160,.280,.095,.060,.406,,.546,.715,.521,.423,.410,.357,,.526,.851,,.048,261,,.271,942,,.235,.383
11,Houston Rockets,66,15965,.461,14.3,,.597,.216,.222,.100,.060,.403,,.538,.669,.474,.472,.410,.347,,.510,.821,,.053,271,,.259,830,,.239,.376
12,Indiana Pacers,67,16105,.501,12.6,,.673,.269,.249,.101,.054,.327,,.564,.695,.487,.486,.412,.372,,.471,.794,,.063,336,,.323,1137,,.221,.415
13,Los Angeles Clippers,66,15865,.469,14.1,,.604,.223,.233,.088,.060,.396,,.538,.698,.453,.453,.401,.362,,.539,.855,,.055,295,,.281,923,,.257,.376
14,Los Angeles Lakers,67,16205,.475,14.5,,.595,.208,.223,.097,.068,.405,,.541,.727,.451,.426,.428,.377,,.535,.847,,.057,328,,.248,879,,.222,.406
15,Memphis Grizzlies,67,16155,.472,13.8,,.596,.280,.181,.084,.051,.404,,.535,.663,.413,.448,.409,.378,,.541,.834,,.070,362,,.272,846,,.210,.414
16,Miami Heat,66,15865,.470,14.8,,.573,.198,.232,.090,.054,.427,,.552,.709,.495,.459,.380,.360,,.558,.868,,.054,279,,.250,853,,.266,.400
