,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,82,19905,.440,11.5,,.800,.312,.161,.141,.187,.200,,.461,.575,.386,.353,.416,.358,,.553,.886,,.048,294,,.240,840,,.261,.396
2,Boston Celtics*,82,19705,.437,13.0,,.768,.276,.129,.126,.238,.232,,.459,.605,.357,.391,.382,.362,,.593,.892,,.048,300,,.213,737,,.313,.400
3,Chicago Bulls,82,19830,.436,12.0,,.813,.313,.117,.148,.235,.187,,.454,.561,.376,.385,.395,.355,,.612,.897,,.046,279,,.240,795,,.255,.375
4,Cleveland Cavaliers,82,19855,.437,11.5,,.828,.304,.163,.164,.197,.172,,.451,.575,.330,.392,.408,.371,,.568,.810,,.047,293,,.235,795,,.293,.391
5,Dallas Mavericks*,82,19805,.459,11.9,,.784,.323,.133,.117,.211,.216,,.486,.631,.401,.361,.385,.363,,.564,.884,,.053,337,,.250,952,,.287,.382
6,Denver Nuggets*,82,19730,.453,11.0,,.841,.332,.158,.116,.236,.159,,.471,.586,.404,.405,.388,.356,,.611,.840,,.059,364,,.243,848,,.278,.323
7,Detroit Pistons*,82,19780,.413,12.0,,.815,.305,.123,.147,.240,.185,,.438,.544,.387,.377,.367,.302,,.554,.843,,.041,220,,.238,741,,.260,.349
8,Golden State Warriors,82,19855,.445,12.0,,.833,.252,.198,.134,.249,.167,,.459,.641,.363,.366,.399,.374,,.560,.829,,.039,237,,.197,769,,.254,.363
9,Houston Rockets*,82,19930,.412,12.9,,.808,.256,.135,.152,.266,.192,,.421,.543,.393,.365,.349,.372,,.586,.904,,.035,200,,.199,620,,.264,.398
10,Indiana Pacers*,82,19805,.432,11.9,,.836,.285,.158,.158,.235,.164,,.453,.597,.375,.373,.385,.324,,.586,.842,,.044,240,,.216,701,,.259,.338
11,Los Angeles Clippers,82,19805,.460,11.8,,.812,.312,.135,.149,.217,.188,,.483,.611,.402,.410,.399,.360,,.563,.876,,.051,317,,.236,863,,.241,.393
12,Los Angeles Lakers*,82,19855,.440,12.5,,.812,.278,.130,.156,.248,.188,,.464,.625,.394,.362,.383,.337,,.553,.774,,.048,312,,.209,770,,.214,.375
13,Memphis Grizzlies*,82,19880,.436,10.9,,.833,.356,.144,.125,.208,.167,,.456,.572,.353,.367,.383,.338,,.554,.799,,.055,313,,.273,904,,.210,.380
14,Miami Heat*,82,19755,.428,12.7,,.798,.259,.151,.139,.249,.202,,.450,.594,.391,.375,.378,.343,,.528,.812,,.038,222,,.194,643,,.223,.407
15,Milwaukee Bucks*,82,19780,.452,11.7,,.807,.315,.135,.161,.196,.193,,.475,.589,.423,.393,.396,.352,,.573,.862,,.050,305,,.242,861,,.265,.405
16,Minnesota Timberwolves*,82,19755,.414,12.1,,.822,.284,.139,.146,.253,.178,,.431,.572,.359,.358,.354,.334,,.578,.871,,.040,236,,.217,725,,.236,.380
17,New Jersey Nets*,82,19705,.427,12.4,,.811,.289,.122,.134,.266,.189,,.445,.568,.370,.378,.381,.350,,.564,.823,,.040,233,,.222,724,,.241,.354
18,New Orleans Hornets*,82,19830,.441,12.0,,.798,.315,.127,.132,.224,.202,,.467,.580,.400,.391,.390,.341,,.585,.872,,.048,288,,.242,798,,.295,.367
19,New York Knicks*,82,19880,.429,12.1,,.811,.284,.147,.149,.230,.189,,.450,.555,.396,.374,.405,.338,,.555,.867,,.042,256,,.220,691,,.271,.393
20,Orlando Magic,82,19830,.466,11.6,,.809,.325,.130,.142,.211,.191,,.487,.639,.413,.349,.391,.377,,.586,.886,,.062,396,,.233,927,,.279,.388
21,Philadelphia 76ers,82,19855,.432,12.3,,.791,.300,.132,.146,.214,.209,,.458,.592,.393,.366,.373,.333,,.595,.842,,.046,273,,.229,759,,.250,.386
22,Phoenix Suns,82,19730,.446,12.2,,.794,.312,.117,.139,.226,.206,,.471,.619,.391,.357,.379,.349,,.536,.879,,.054,328,,.238,888,,.292,.377
23,Portland Trail Blazers,82,19980,.450,11.7,,.814,.319,.139,.112,.243,.186,,.475,.569,.398,.422,.418,.341,,.609,.878,,.055,313,,.238,783,,.293,.377
24,Sacramento Kings*,82,19780,.454,12.0,,.826,.264,.181,.138,.243,.174,,.478,.641,.436,.390,.382,.339,,.509,.861,,.044,281,,.198,802,,.271,.380
25,San Antonio Spurs*,82,19755,.409,11.3,,.851,.270,.216,.169,.196,.149,,.423,.568,.344,.359,.367,.327,,.507,.814,,.038,206,,.230,737,,.228,.401
26,Seattle SuperSonics,82,19805,.450,12.2,,.789,.290,.157,.118,.224,.211,,.477,.641,.343,.386,.406,.349,,.522,.874,,.047,282,,.215,844,,.261,.368
27,Toronto Raptors,82,19980,.428,11.0,,.860,.319,.162,.160,.219,.140,,.447,.554,.403,.360,.388,.307,,.527,.832,,.045,249,,.226,689,,.226,.393
28,Utah Jazz,82,19780,.432,12.5,,.794,.277,.154,.120,.243,.206,,.455,.563,.387,.377,.415,.343,,.546,.887,,.043,234,,.210,604,,.216,.368
29,Washington Wizards,82,19830,.454,12.2,,.816,.281,.158,.140,.238,.184,,.479,.659,.331,.416,.403,.342,,.607,.861,,.050,323,,.217,877,,.281,.351
,League Average,82,19820,.439,12.0,,.813,.297,.147,.141,.229,.187,,.460,.592,.382,.377,.388,.347,,.565,.857,,.047,280,,.226,782,,.261,.378
